#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723010.1         -            799 5178at5820           -            464  1.6e-183  609.0  87.6   1   5   3.7e-22   2.4e-19   67.8   6.0     2    51    11    60    10    73 0.88 | transcript=PVPAM_130051600_t1 | gene=PVPAM_130051600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:2051921-2054702(+) | protein_length=799 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723010.1         -            799 5178at5820           -            464  1.6e-183  609.0  87.6   2   5  3.5e-101   2.2e-98  328.4  33.5    42   251    71   300    62   315 0.89 | transcript=PVPAM_130051600_t1 | gene=PVPAM_130051600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:2051921-2054702(+) | protein_length=799 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723010.1         -            799 5178at5820           -            464  1.6e-183  609.0  87.6   3   5     0.046        30    1.6   2.3   255   281   454   480   439   508 0.81 | transcript=PVPAM_130051600_t1 | gene=PVPAM_130051600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:2051921-2054702(+) | protein_length=799 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723010.1         -            799 5178at5820           -            464  1.6e-183  609.0  87.6   4   5   4.8e-12   3.1e-09   34.4   2.3   271   321   509   560   483   567 0.80 | transcript=PVPAM_130051600_t1 | gene=PVPAM_130051600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:2051921-2054702(+) | protein_length=799 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723010.1         -            799 5178at5820           -            464  1.6e-183  609.0  87.6   5   5   1.7e-59   1.1e-56  190.9  15.1   306   464   618   799   602   799 0.86 | transcript=PVPAM_130051600_t1 | gene=PVPAM_130051600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:2051921-2054702(+) | protein_length=799 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 5178at5820           -            464   5.9e-28   96.2  69.7   1   6   3.5e-07   0.00023   18.4   4.0    90   151    14    74     9    78 0.90 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 5178at5820           -            464   5.9e-28   96.2  69.7   2   6   5.5e-07   0.00036   17.8   7.1   107   152    77   121    74   125 0.91 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 5178at5820           -            464   5.9e-28   96.2  69.7   3   6   4.5e-07   0.00029   18.1   5.7   109   151   125   171   121   180 0.82 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 5178at5820           -            464   5.9e-28   96.2  69.7   4   6   6.6e-05     0.042   10.9   0.5   133   152   176   195   172   199 0.89 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 5178at5820           -            464   5.9e-28   96.2  69.7   5   6   7.7e-08     5e-05   20.6  11.4    87   150   200   262   196   267 0.90 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 5178at5820           -            464   5.9e-28   96.2  69.7   6   6   2.5e-13   1.6e-10   38.7   5.2    87   151   269   333   265   347 0.94 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
