#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719292.1         -            482 5771at5820           -            379    9e-235  776.7  18.7   1   2  6.1e-130  2.8e-127  422.9   7.2     1   201     2   213     2   219 0.96 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 5771at5820           -            379    9e-235  776.7  18.7   2   2  1.3e-110  5.8e-108  359.3   3.7   201   379   259   450   242   450 0.93 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720005.1         -            188 5771at5820           -            379   1.1e-15   55.6   0.0   1   1   2.7e-18   1.2e-15   55.4   0.0    48   195    10   154     2   178 0.87 | transcript=PVPAM_080022700_t1 | gene=PVPAM_080022700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000008:822474-824204(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722907.1         -            708 5771at5820           -            379   3.6e-13   47.3   0.3   1   3   5.2e-07   0.00024   18.3   0.0    64   176   369   480   343   485 0.86 | transcript=PVPAM_130040900_t1 | gene=PVPAM_130040900 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:1591335-1593461(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722907.1         -            708 5771at5820           -            379   3.6e-13   47.3   0.3   2   3   7.7e-11   3.6e-08   30.9   0.0    84   200   421   540   415   561 0.55 | transcript=PVPAM_130040900_t1 | gene=PVPAM_130040900 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:1591335-1593461(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722907.1         -            708 5771at5820           -            379   3.6e-13   47.3   0.3   3   3   0.00017     0.078   10.0   0.1   115   176   587   649   566   662 0.79 | transcript=PVPAM_130040900_t1 | gene=PVPAM_130040900 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:1591335-1593461(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 5771at5820           -            379   3.7e-13   47.3   2.0   1   2     2e-08   9.3e-06   22.9   0.2   128   201  1061  1135  1049  1149 0.90 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 5771at5820           -            379   3.7e-13   47.3   2.0   2   2   1.3e-08   5.9e-06   23.6   0.1    82   170  1157  1246  1146  1275 0.89 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722518.1         -            760 5771at5820           -            379   1.4e-10   38.8   3.2   1   1   6.2e-13   2.9e-10   37.8   3.2   279   348    41   111    15   132 0.85 | transcript=PVPAM_120075700_t1 | gene=PVPAM_120075700 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 4, putative | transcript_product=bromodomain protein 4, putative | location=CASCJQ010000012:2963809-2966091(-) | protein_length=760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720269.1         -            611 5771at5820           -            379   6.3e-09   33.4   1.5   1   2   0.00012     0.054   10.5   0.1   100   175    34   110     8   147 0.64 | transcript=PVPAM_080049200_t1 | gene=PVPAM_080049200 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=CASCJQ010000008:1907073-1909842(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720269.1         -            611 5771at5820           -            379   6.3e-09   33.4   1.5   2   2   5.6e-08   2.6e-05   21.5   0.2    81   168   158   248   149   265 0.88 | transcript=PVPAM_080049200_t1 | gene=PVPAM_080049200 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=CASCJQ010000008:1907073-1909842(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
