#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719537.1         -           1077 4823at5820           -            557  1.6e-294  976.2  56.8   1   6   7.3e-71   1.6e-67  226.9  17.4     1   109     1   109     1   127 0.95 | transcript=PVPAM_070015100_t1 | gene=PVPAM_070015100 | organism=Plasmodium_vivax_PAM | gene_product=FHA domain protein, putative | transcript_product=FHA domain protein, putative | location=CASCJQ010000007:518506-521739(+) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719537.1         -           1077 4823at5820           -            557  1.6e-294  976.2  56.8   2   6   6.4e-44   1.4e-40  138.0   0.1   107   189   158   240   147   247 0.88 | transcript=PVPAM_070015100_t1 | gene=PVPAM_070015100 | organism=Plasmodium_vivax_PAM | gene_product=FHA domain protein, putative | transcript_product=FHA domain protein, putative | location=CASCJQ010000007:518506-521739(+) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719537.1         -           1077 4823at5820           -            557  1.6e-294  976.2  56.8   3   6   1.5e-06    0.0032   14.6   0.1   189   229   280   328   268   347 0.76 | transcript=PVPAM_070015100_t1 | gene=PVPAM_070015100 | organism=Plasmodium_vivax_PAM | gene_product=FHA domain protein, putative | transcript_product=FHA domain protein, putative | location=CASCJQ010000007:518506-521739(+) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719537.1         -           1077 4823at5820           -            557  1.6e-294  976.2  56.8   4   6    0.0011       2.5    5.1   0.0   219   246   372   399   352   415 0.79 | transcript=PVPAM_070015100_t1 | gene=PVPAM_070015100 | organism=Plasmodium_vivax_PAM | gene_product=FHA domain protein, putative | transcript_product=FHA domain protein, putative | location=CASCJQ010000007:518506-521739(+) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719537.1         -           1077 4823at5820           -            557  1.6e-294  976.2  56.8   5   6  4.7e-184    1e-180  600.6  13.6   248   519   691   962   666   987 0.93 | transcript=PVPAM_070015100_t1 | gene=PVPAM_070015100 | organism=Plasmodium_vivax_PAM | gene_product=FHA domain protein, putative | transcript_product=FHA domain protein, putative | location=CASCJQ010000007:518506-521739(+) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719537.1         -           1077 4823at5820           -            557  1.6e-294  976.2  56.8   6   6   0.00024      0.52    7.3   0.4   516   548   994  1026   975  1035 0.73 | transcript=PVPAM_070015100_t1 | gene=PVPAM_070015100 | organism=Plasmodium_vivax_PAM | gene_product=FHA domain protein, putative | transcript_product=FHA domain protein, putative | location=CASCJQ010000007:518506-521739(+) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721917.1         -           1797 4823at5820           -            557   4.2e-64  215.6  12.8   1   5   1.5e-05     0.032   11.3   0.0    18    47     3    32     1    39 0.90 | transcript=PVPAM_120015100_t1 | gene=PVPAM_120015100 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000012:418015-424211(+) | protein_length=1797 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721917.1         -           1797 4823at5820           -            557   4.2e-64  215.6  12.8   2   5   9.4e-13     2e-09   35.1   0.5   115   164    80   129    64   147 0.86 | transcript=PVPAM_120015100_t1 | gene=PVPAM_120015100 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000012:418015-424211(+) | protein_length=1797 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721917.1         -           1797 4823at5820           -            557   4.2e-64  215.6  12.8   3   5   5.3e-60   1.2e-56  191.1   6.3   254   445   146   336   130   427 0.93 | transcript=PVPAM_120015100_t1 | gene=PVPAM_120015100 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000012:418015-424211(+) | protein_length=1797 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721917.1         -           1797 4823at5820           -            557   4.2e-64  215.6  12.8   4   5         3   6.5e+03  -10.8   9.1   507   533   601   627   578   654 0.41 | transcript=PVPAM_120015100_t1 | gene=PVPAM_120015100 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000012:418015-424211(+) | protein_length=1797 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721917.1         -           1797 4823at5820           -            557   4.2e-64  215.6  12.8   5   5         3   6.5e+03   -8.1   5.2   510   531   686   707   672   722 0.33 | transcript=PVPAM_120015100_t1 | gene=PVPAM_120015100 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000012:418015-424211(+) | protein_length=1797 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
