#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718254.1         -           1247 3072at5820           -            710         0 1058.6  55.9   1   7  7.8e-170  1.7e-166  554.2   9.9     1   241    28   268    28   291 0.97 | transcript=PVPAM_030025400_t1 | gene=PVPAM_030025400 | organism=Plasmodium_vivax_PAM | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=CASCJQ010000003:842377-846120(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718254.1         -           1247 3072at5820           -            710         0 1058.6  55.9   2   7  2.1e-104  4.4e-101  338.0   3.4   235   414   301   480   294   487 0.96 | transcript=PVPAM_030025400_t1 | gene=PVPAM_030025400 | organism=Plasmodium_vivax_PAM | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=CASCJQ010000003:842377-846120(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718254.1         -           1247 3072at5820           -            710         0 1058.6  55.9   3   7   1.3e-13   2.7e-10   37.9   0.0   413   456   550   593   538   614 0.86 | transcript=PVPAM_030025400_t1 | gene=PVPAM_030025400 | organism=Plasmodium_vivax_PAM | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=CASCJQ010000003:842377-846120(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718254.1         -           1247 3072at5820           -            710         0 1058.6  55.9   4   7   6.1e-13   1.3e-09   35.6   3.6   470   575   785   897   733   919 0.63 | transcript=PVPAM_030025400_t1 | gene=PVPAM_030025400 | organism=Plasmodium_vivax_PAM | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=CASCJQ010000003:842377-846120(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718254.1         -           1247 3072at5820           -            710         0 1058.6  55.9   5   7   1.6e-09   3.5e-06   24.3   0.2   566   629   996  1062   984  1096 0.79 | transcript=PVPAM_030025400_t1 | gene=PVPAM_030025400 | organism=Plasmodium_vivax_PAM | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=CASCJQ010000003:842377-846120(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718254.1         -           1247 3072at5820           -            710         0 1058.6  55.9   6   7    0.0072        15    2.3   0.1   616   650  1107  1139  1091  1150 0.83 | transcript=PVPAM_030025400_t1 | gene=PVPAM_030025400 | organism=Plasmodium_vivax_PAM | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=CASCJQ010000003:842377-846120(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718254.1         -           1247 3072at5820           -            710         0 1058.6  55.9   7   7   3.5e-29   7.5e-26   89.3   4.8   656   710  1193  1247  1186  1247 0.95 | transcript=PVPAM_030025400_t1 | gene=PVPAM_030025400 | organism=Plasmodium_vivax_PAM | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=CASCJQ010000003:842377-846120(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718128.1         -            623 3072at5820           -            710   4.1e-16   57.1   2.1   1   3   9.6e-10   2.1e-06   25.0   0.0    66   190    76   196     1   203 0.78 | transcript=PVPAM_030012400_t1 | gene=PVPAM_030012400 | organism=Plasmodium_vivax_PAM | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=CASCJQ010000003:342440-344311(-) | protein_length=623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718128.1         -            623 3072at5820           -            710   4.1e-16   57.1   2.1   2   3     1e-13   2.2e-10   38.1   2.4   242   337   199   289   189   294 0.75 | transcript=PVPAM_030012400_t1 | gene=PVPAM_030012400 | organism=Plasmodium_vivax_PAM | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=CASCJQ010000003:342440-344311(-) | protein_length=623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718128.1         -            623 3072at5820           -            710   4.1e-16   57.1   2.1   3   3         3   6.5e+03   -9.7  17.2   450   501   366   413   303   523 0.49 | transcript=PVPAM_030012400_t1 | gene=PVPAM_030012400 | organism=Plasmodium_vivax_PAM | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=CASCJQ010000003:342440-344311(-) | protein_length=623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718556.1         -           1484 3072at5820           -            710   2.5e-06   24.7   1.6   1   5   6.9e-06     0.015   12.3   1.2    45   108    72   139    68   145 0.83 | transcript=PVPAM_040030000_t1 | gene=PVPAM_040030000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=CASCJQ010000004:1051281-1055735(+) | protein_length=1484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718556.1         -           1484 3072at5820           -            710   2.5e-06   24.7   1.6   2   5      0.25   5.5e+02   -2.8   0.3   514   559   320   364   245   394 0.68 | transcript=PVPAM_040030000_t1 | gene=PVPAM_040030000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=CASCJQ010000004:1051281-1055735(+) | protein_length=1484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718556.1         -           1484 3072at5820           -            710   2.5e-06   24.7   1.6   3   5      0.89   1.9e+03   -4.6   8.3   413   536   497   621   479   653 0.44 | transcript=PVPAM_040030000_t1 | gene=PVPAM_040030000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=CASCJQ010000004:1051281-1055735(+) | protein_length=1484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718556.1         -           1484 3072at5820           -            710   2.5e-06   24.7   1.6   4   5   1.2e-09   2.5e-06   24.7   1.6   126   193  1138  1205  1119  1220 0.80 | transcript=PVPAM_040030000_t1 | gene=PVPAM_040030000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=CASCJQ010000004:1051281-1055735(+) | protein_length=1484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718556.1         -           1484 3072at5820           -            710   2.5e-06   24.7   1.6   5   5   0.00096       2.1    5.2   0.1   278   318  1226  1264  1219  1277 0.82 | transcript=PVPAM_040030000_t1 | gene=PVPAM_040030000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=CASCJQ010000004:1051281-1055735(+) | protein_length=1484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3072at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3072at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3072at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:39 2026
# [ok]
