#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720151.1         -           2147 9454at5820           -            232  7.1e-163  537.9  18.9   1   6   1.4e-35   2.3e-32  110.8   0.8    35   231    99   299    94   300 0.94 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720151.1         -           2147 9454at5820           -            232  7.1e-163  537.9  18.9   2   6   1.2e-36   1.9e-33  114.4   0.6    37   231   326   522   317   523 0.95 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720151.1         -           2147 9454at5820           -            232  7.1e-163  537.9  18.9   3   6   2.9e-30   4.6e-27   93.4   0.0    37   231   626   821   619   822 0.94 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720151.1         -           2147 9454at5820           -            232  7.1e-163  537.9  18.9   4   6   1.3e-39   2.2e-36  124.0   0.0    38   231   863  1059   856  1060 0.95 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720151.1         -           2147 9454at5820           -            232  7.1e-163  537.9  18.9   5   6   1.5e-16   2.4e-13   48.5   0.0    37   203  1089  1257  1077  1262 0.85 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720151.1         -           2147 9454at5820           -            232  7.1e-163  537.9  18.9   6   6   3.1e-18   5.1e-15   54.0   1.6    29   231  1334  1545  1328  1546 0.84 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717808.1         -            295 9454at5820           -            232  1.7e-134  445.0   4.2   1   2   2.3e-14   3.8e-11   41.4   0.3     8    35    42    69    35    74 0.92 | transcript=PVPAM_010032200_t1 | gene=PVPAM_010032200 | organism=Plasmodium_vivax_PAM | gene_product=von Willebrand factor A domain-related protein, putative | transcript_product=von Willebrand factor A domain-related protein, putative | location=CASCJQ010000001:1226117-1227004(+) | protein_length=295 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717808.1         -            295 9454at5820           -            232  1.7e-134  445.0   4.2   2   2  1.5e-125  2.5e-122  405.2   0.3    33   232    87   288    81   288 0.98 | transcript=PVPAM_010032200_t1 | gene=PVPAM_010032200 | organism=Plasmodium_vivax_PAM | gene_product=von Willebrand factor A domain-related protein, putative | transcript_product=von Willebrand factor A domain-related protein, putative | location=CASCJQ010000001:1226117-1227004(+) | protein_length=295 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721993.1         -            556 9454at5820           -            232   1.1e-13   49.6   0.1   1   1   1.2e-16   1.9e-13   48.9   0.1    21   231    22   232     5   233 0.84 | transcript=PVPAM_120023200_t1 | gene=PVPAM_120023200 | organism=Plasmodium_vivax_PAM | gene_product=thrombospondin-related anonymous protein, putative | transcript_product=thrombospondin-related anonymous protein, putative | location=CASCJQ010000012:753859-755529(+) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721466.1         -           1488 9454at5820           -            232   2.1e-08   32.4   0.1   1   1   2.6e-11   4.1e-08   31.4   0.1    33   175   322   467   310   495 0.85 | transcript=PVPAM_110037100_t1 | gene=PVPAM_110037100 | organism=Plasmodium_vivax_PAM | gene_product=TRAP-like protein, putative | transcript_product=TRAP-like protein, putative | location=CASCJQ010000011:1346879-1351345(-) | protein_length=1488 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
