#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718430.1         -            330 8180at5820           -            296  2.9e-184  609.6   6.5   1   1  7.4e-187    4e-184  609.1   6.5     1   296     1   328     1   328 0.97 | transcript=PVPAM_040017600_t1 | gene=PVPAM_040017600 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 2, putative | transcript_product=replication factor C subunit 2, putative | location=CASCJQ010000004:549762-550754(-) | protein_length=330 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722251.1         -            344 8180at5820           -            296   1.9e-55  186.6   1.2   1   1   4.9e-58   2.6e-55  186.2   1.2     4   260    13   279    10   295 0.81 | transcript=PVPAM_120048800_t1 | gene=PVPAM_120048800 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 3, putative | transcript_product=replication factor C subunit 3, putative | location=CASCJQ010000012:1758240-1759708(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723751.1         -            336 8180at5820           -            296     1e-46  158.0   3.2   1   1   3.9e-49   2.1e-46  157.0   3.2     6   226    18   241    13   287 0.85 | transcript=PVPAM_140067400_t1 | gene=PVPAM_140067400 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 4, putative | transcript_product=replication factor C subunit 4, putative | location=CASCJQ010000014:2694197-2695556(+) | protein_length=336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720395.1         -            349 8180at5820           -            296   4.1e-22   77.2   0.4   1   2   7.7e-25   4.1e-22   77.2   0.4     6   165     2   181     1   197 0.77 | transcript=PVPAM_090016000_t1 | gene=PVPAM_090016000 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 5, putative | transcript_product=replication factor C subunit 5, putative | location=CASCJQ010000009:574527-575576(-) | protein_length=349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720395.1         -            349 8180at5820           -            296   4.1e-22   77.2   0.4   2   2      0.39   2.1e+02   -0.6   0.6   135   273   288   319   244   341 0.59 | transcript=PVPAM_090016000_t1 | gene=PVPAM_090016000 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 5, putative | transcript_product=replication factor C subunit 5, putative | location=CASCJQ010000009:574527-575576(-) | protein_length=349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718417.1         -            945 8180at5820           -            296     1e-09   36.5   4.7   1   2   8.8e-05     0.047   11.4   0.1     3    30   393   420   391   425 0.89 | transcript=PVPAM_040016300_t1 | gene=PVPAM_040016300 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=CASCJQ010000004:507968-510805(+) | protein_length=945 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718417.1         -            945 8180at5820           -            296     1e-09   36.5   4.7   2   2     3e-09   1.6e-06   26.0   1.2    33   210   449   624   436   646 0.75 | transcript=PVPAM_040016300_t1 | gene=PVPAM_040016300 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=CASCJQ010000004:507968-510805(+) | protein_length=945 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720451.1         -            905 8180at5820           -            296   0.00016   19.5   0.0   1   2    0.0045       2.4    5.8   0.0     8    57   198   250   194   269 0.74 | transcript=PVPAM_090021600_t1 | gene=PVPAM_090021600 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 101, putative | transcript_product=heat shock protein 101, putative | location=CASCJQ010000009:782718-785978(-) | protein_length=905 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720451.1         -            905 8180at5820           -            296   0.00016   19.5   0.0   2   2   0.00013      0.07   10.8   0.0    15    64   612   661   605   711 0.83 | transcript=PVPAM_090021600_t1 | gene=PVPAM_090021600 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 101, putative | transcript_product=heat shock protein 101, putative | location=CASCJQ010000009:782718-785978(-) | protein_length=905 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720679.1         -            627 8180at5820           -            296    0.0031   15.3   0.4   1   2   1.7e-05    0.0091   13.7   0.0    31    64   341   376   314   390 0.75 | transcript=PVPAM_090044400_t1 | gene=PVPAM_090044400 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000009:1776366-1779201(-) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720679.1         -            627 8180at5820           -            296    0.0031   15.3   0.4   2   2       1.8   9.6e+02   -2.8   0.2   140   190   469   519   459   535 0.80 | transcript=PVPAM_090044400_t1 | gene=PVPAM_090044400 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000009:1776366-1779201(-) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
