#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723818.1         -            390 8201at5820           -            316  1.9e-195  647.0  16.6   1   2  3.2e-193  5.2e-190  629.2  10.8     1   297     1   302     1   311 0.97 | transcript=PVPAM_140074100_t1 | gene=PVPAM_140074100 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor RBM22, putative | transcript_product=pre-mRNA-splicing factor RBM22, putative | location=CASCJQ010000014:2906139-2907311(+) | protein_length=390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723818.1         -            390 8201at5820           -            316  1.9e-195  647.0  16.6   2   2   2.7e-08   4.4e-05   21.6   0.3   285   316   359   390   337   390 0.83 | transcript=PVPAM_140074100_t1 | gene=PVPAM_140074100 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor RBM22, putative | transcript_product=pre-mRNA-splicing factor RBM22, putative | location=CASCJQ010000014:2906139-2907311(+) | protein_length=390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 8201at5820           -            316   2.1e-08   32.5   7.4   1   4      0.12     2e+02   -0.3   0.0   224   259    18    52     9    97 0.66 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 8201at5820           -            316   2.1e-08   32.5   7.4   2   4   0.00025      0.41    8.6   0.2   216   286    98   175    85   178 0.74 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 8201at5820           -            316   2.1e-08   32.5   7.4   3   4   3.1e-06    0.0051   14.8   0.6   198   273   170   250   168   261 0.75 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 8201at5820           -            316   2.1e-08   32.5   7.4   4   4   4.5e-05     0.072   11.1   0.0   211   258   438   485   419   525 0.78 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720963.1         -            314 8201at5820           -            316     0.046   11.7   1.8   1   2   3.2e-05     0.052   11.5   0.0   221   289     7    80     2    92 0.80 | transcript=PVPAM_100023100_t1 | gene=PVPAM_100023100 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=CASCJQ010000010:798029-799180(+) | protein_length=314 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720963.1         -            314 8201at5820           -            316     0.046   11.7   1.8   2   2      0.39   6.3e+02   -1.9   0.8   145   172   262   290   250   295 0.79 | transcript=PVPAM_100023100_t1 | gene=PVPAM_100023100 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=CASCJQ010000010:798029-799180(+) | protein_length=314 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719714.1         -           1239 8201at5820           -            316     0.063   11.2   1.1   1   2   0.00021      0.34    8.9   0.2   158   183     6    31     3    46 0.89 | transcript=PVPAM_070032800_t1 | gene=PVPAM_070032800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:1204141-1208889(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719714.1         -           1239 8201at5820           -            316     0.063   11.2   1.1   2   2     0.083   1.3e+02    0.3   0.1   158   195    74   114    70   127 0.73 | transcript=PVPAM_070032800_t1 | gene=PVPAM_070032800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:1204141-1208889(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8201at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8201at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8201at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:24 2026
# [ok]
