#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722022.1         -           1673 1108at5820           -           1032         0 1498.3  55.0   1   7   4.4e-99   3.6e-96  321.8  12.9    17   227   184   431   177   443 0.85 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 1108at5820           -           1032         0 1498.3  55.0   2   7    2e-129  1.6e-126  422.3   6.1   235   483   490   771   476   775 0.89 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 1108at5820           -           1032         0 1498.3  55.0   3   7  1.1e-142  8.9e-140  466.1   7.7   480   760   807  1111   799  1113 0.94 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 1108at5820           -           1032         0 1498.3  55.0   4   7   9.7e-40   7.8e-37  125.3   0.1   759   836  1185  1262  1182  1267 0.96 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 1108at5820           -           1032         0 1498.3  55.0   5   7   4.6e-29   3.7e-26   90.0   0.2   835   915  1304  1397  1297  1402 0.89 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 1108at5820           -           1032         0 1498.3  55.0   6   7   8.2e-22   6.6e-19   66.0   0.0   930  1006  1535  1622  1522  1632 0.84 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 1108at5820           -           1032         0 1498.3  55.0   7   7   1.9e-07   0.00015   18.4   0.0  1006  1032  1645  1673  1635  1673 0.89 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723596.1         -           1143 1108at5820           -           1032   3.7e-77  258.8  44.0   1   3   5.5e-20   4.5e-17   59.9  11.2    29   173    46   204    38   223 0.83 | transcript=PVPAM_140052000_t1 | gene=PVPAM_140052000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=CASCJQ010000014:2024732-2028715(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723596.1         -           1143 1108at5820           -           1032   3.7e-77  258.8  44.0   2   3   7.2e-62   5.8e-59  198.6  21.8   298   861   419  1000   361  1007 0.74 | transcript=PVPAM_140052000_t1 | gene=PVPAM_140052000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=CASCJQ010000014:2024732-2028715(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723596.1         -           1143 1108at5820           -           1032   3.7e-77  258.8  44.0   3   3    0.0078       6.3    3.1   0.0   947  1006  1047  1106  1022  1124 0.79 | transcript=PVPAM_140052000_t1 | gene=PVPAM_140052000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=CASCJQ010000014:2024732-2028715(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723711.1         -            631 1108at5820           -           1032   6.5e-29   99.1  15.7   1   2     1e-25   8.2e-23   78.9   6.1   377   574     8   199     1   245 0.84 | transcript=PVPAM_140063500_t1 | gene=PVPAM_140063500 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=CASCJQ010000014:2513043-2515063(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
