#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722063.1         -           1981 538at5820            -           1455         0 2666.4  69.4   1   7  1.6e-168  8.7e-166  552.0   0.3     1   265     1   278     1   286 0.97 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 538at5820            -           1455         0 2666.4  69.4   2   7  1.4e-258  7.7e-256  850.4   3.6   264   704   331   800   326   806 0.96 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 538at5820            -           1455         0 2666.4  69.4   3   7   1.9e-91     1e-88  296.6  19.7   702   921   852  1093   837  1098 0.90 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 538at5820            -           1455         0 2666.4  69.4   4   7   7.1e-11   3.8e-08   29.6   0.2   921   957  1174  1210  1167  1223 0.90 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 538at5820            -           1455         0 2666.4  69.4   5   7   1.2e-80   6.3e-78  260.8   1.2   956  1113  1289  1460  1287  1475 0.93 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 538at5820            -           1455         0 2666.4  69.4   6   7   4.7e-45   2.5e-42  142.9   0.1  1107  1191  1599  1683  1581  1693 0.94 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 538at5820            -           1455         0 2666.4  69.4   7   7  2.4e-171  1.3e-168  561.4   6.5  1190  1455  1709  1981  1705  1981 0.98 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721934.1         -            817 538at5820            -           1455  2.2e-113  378.3  10.4   1   1  5.2e-116  2.8e-113  378.0  10.4    66   744   101   795    85   816 0.86 | transcript=PVPAM_120016800_t1 | gene=PVPAM_120016800 | organism=Plasmodium_vivax_PAM | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=CASCJQ010000012:524285-527026(-) | protein_length=817 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721099.1         -            800 538at5820            -           1455   2.5e-87  292.0  41.0   1   1   6.1e-90   3.3e-87  291.6  41.0    48   737    71   760    48   797 0.84 | transcript=PVPAM_100036700_t1 | gene=PVPAM_100036700 | organism=Plasmodium_vivax_PAM | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=CASCJQ010000010:1362733-1366496(+) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 538at5820            -           1455   5.2e-77  257.8  74.2   1   6   1.4e-21   7.4e-19   65.1   0.4    14   173    52   221    44   240 0.77 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 538at5820            -           1455   5.2e-77  257.8  74.2   2   6   1.9e-24     1e-21   74.6   0.1   182   265   335   416   323   439 0.88 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
