#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717977.1         -            256 10067at5820          -            223  1.2e-143  474.8   3.2   1   1  3.8e-144  2.1e-141  467.5   3.2     1   223     6   253     6   253 0.94 | transcript=PVPAM_020020900_t1 | gene=PVPAM_020020900 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=CASCJQ010000002:671250-672485(+) | protein_length=256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721316.1         -            246 10067at5820          -            223   3.6e-34  116.8   0.0   1   1   8.5e-37   4.6e-34  116.4   0.0     2   185     4   183     3   212 0.89 | transcript=PVPAM_110021900_t1 | gene=PVPAM_110021900 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=CASCJQ010000011:709930-710813(+) | protein_length=246 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721546.1         -            235 10067at5820          -            223   3.8e-31  106.9   0.1   1   1   9.4e-34   5.1e-31  106.5   0.1     2   186     5   183     4   213 0.91 | transcript=PVPAM_110045100_t1 | gene=PVPAM_110045100 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-2, putative | transcript_product=proteasome subunit alpha type-2, putative | location=CASCJQ010000011:1676814-1677673(+) | protein_length=235 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721315.1         -            241 10067at5820          -            223   3.9e-31  106.9   0.0   1   1   1.1e-33   5.7e-31  106.3   0.0     2   205     2   205     1   216 0.83 | transcript=PVPAM_110021800_t1 | gene=PVPAM_110021800 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-7, putative | transcript_product=proteasome subunit alpha type-7, putative | location=CASCJQ010000011:706641-707963(-) | protein_length=241 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722510.1         -            269 10067at5820          -            223   4.6e-30  103.4   0.2   1   1   1.1e-32   5.9e-30  103.0   0.2     3   181     6   175     4   213 0.82 | transcript=PVPAM_120074900_t1 | gene=PVPAM_120074900 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-1, putative | transcript_product=proteasome subunit alpha type-1, putative | location=CASCJQ010000012:2917627-2918866(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717747.1         -            260 10067at5820          -            223   1.3e-18   65.9   0.8   1   1   3.9e-21   2.1e-18   65.2   0.7     1   176     7   185     7   220 0.79 | transcript=PVPAM_010026100_t1 | gene=PVPAM_010026100 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-6, putative | transcript_product=proteasome subunit alpha type-6, putative | location=CASCJQ010000001:945649-947062(-) | protein_length=260 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720133.1         -            253 10067at5820          -            223   1.9e-18   65.4   0.3   1   1   7.1e-21   3.8e-18   64.4   0.3     2   176     7   178     6   212 0.84 | transcript=PVPAM_080035500_t1 | gene=PVPAM_080035500 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-3, putative | transcript_product=proteasome subunit alpha type-3, putative | location=CASCJQ010000008:1395362-1396221(+) | protein_length=253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722072.1         -            270 10067at5820          -            223   2.9e-06   25.5   0.1   1   1   1.3e-07   7.1e-05   21.0   0.1    27   184    39   186    35   199 0.77 | transcript=PVPAM_120031000_t1 | gene=PVPAM_120031000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-7, putative | transcript_product=proteasome subunit beta type-7, putative | location=CASCJQ010000012:1018619-1019431(-) | protein_length=270 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720014.1         -            273 10067at5820          -            223   2.4e-05   22.5   0.9   1   1   3.5e-07   0.00019   19.6   0.9    29   177    62   201    52   221 0.75 | transcript=PVPAM_080023600_t1 | gene=PVPAM_080023600 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=CASCJQ010000008:847200-848021(-) | protein_length=273 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719766.1         -            282 10067at5820          -            223   4.6e-05   21.6   0.2   1   2   5.1e-06    0.0027   15.8   0.1    26    93    26    95    19   133 0.86 | transcript=PVPAM_070038000_t1 | gene=PVPAM_070038000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=CASCJQ010000007:1389848-1390696(-) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719766.1         -            282 10067at5820          -            223   4.6e-05   21.6   0.2   2   2     0.021        11    4.0   0.0   133   185   177   231   148   266 0.70 | transcript=PVPAM_070038000_t1 | gene=PVPAM_070038000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=CASCJQ010000007:1389848-1390696(-) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
