#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722509.1         -            745 4465at5820           -            535  4.9e-231  766.8  94.0   1   3  5.2e-149  1.8e-146  487.7  69.9     1   368     1   448     1   452 0.86 | transcript=PVPAM_120074800_t1 | gene=PVPAM_120074800 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000012:2913353-2915895(-) | protein_length=745 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722509.1         -            745 4465at5820           -            535  4.9e-231  766.8  94.0   2   3   1.7e-19   5.9e-17   60.3   0.3   362   414   484   545   463   547 0.80 | transcript=PVPAM_120074800_t1 | gene=PVPAM_120074800 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000012:2913353-2915895(-) | protein_length=745 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722509.1         -            745 4465at5820           -            535  4.9e-231  766.8  94.0   3   3   1.6e-67   5.6e-65  218.8  10.0   411   534   611   739   606   740 0.94 | transcript=PVPAM_120074800_t1 | gene=PVPAM_120074800 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000012:2913353-2915895(-) | protein_length=745 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722473.1         -           2429 4465at5820           -            535   3.1e-16   57.9   0.2   1   2   3.3e-06    0.0011   16.4   0.1   229   276   220   266   206   292 0.79 | transcript=PVPAM_120071000_t1 | gene=PVPAM_120071000 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2710608-2718677(-) | protein_length=2429 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722473.1         -           2429 4465at5820           -            535   3.1e-16   57.9   0.2   2   2   4.9e-13   1.7e-10   39.0   0.0   418   533   278   403   272   405 0.75 | transcript=PVPAM_120071000_t1 | gene=PVPAM_120071000 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2710608-2718677(-) | protein_length=2429 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720204.1         -            604 4465at5820           -            535   1.1e-11   42.9   2.2   1   3      0.42   1.4e+02   -0.4   0.3   155   188   199   232   175   239 0.74 | transcript=PVPAM_080042600_t1 | gene=PVPAM_080042600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000008:1669784-1672716(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720204.1         -            604 4465at5820           -            535   1.1e-11   42.9   2.2   2   3   9.3e-05     0.032   11.7   0.1   219   262   247   290   241   298 0.89 | transcript=PVPAM_080042600_t1 | gene=PVPAM_080042600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000008:1669784-1672716(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720204.1         -            604 4465at5820           -            535   1.1e-11   42.9   2.2   3   3   4.3e-10   1.5e-07   29.3   0.0   416   534   296   418   289   419 0.81 | transcript=PVPAM_080042600_t1 | gene=PVPAM_080042600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000008:1669784-1672716(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 4465at5820           -            535   3.2e-11   41.4   8.6   1   2     0.001      0.35    8.2   7.5   205   271   147   209    57   235 0.77 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 4465at5820           -            535   3.2e-11   41.4   8.6   2   2   1.2e-10     4e-08   31.1   0.2   415   531   210   329   204   333 0.83 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722783.1         -            854 4465at5820           -            535   5.3e-10   37.3   2.6   1   3       2.6   8.8e+02   -3.0   0.2   256   337    29   114    19   116 0.57 | transcript=PVPAM_130028400_t1 | gene=PVPAM_130028400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=CASCJQ010000013:1044052-1047856(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722783.1         -            854 4465at5820           -            535   5.3e-10   37.3   2.6   2   3   8.2e-06    0.0028   15.1   0.7   168   265   581   678   567   684 0.67 | transcript=PVPAM_130028400_t1 | gene=PVPAM_130028400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=CASCJQ010000013:1044052-1047856(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722783.1         -            854 4465at5820           -            535   5.3e-10   37.3   2.6   3   3   1.3e-07   4.3e-05   21.1   0.0   459   534   721   802   677   803 0.84 | transcript=PVPAM_130028400_t1 | gene=PVPAM_130028400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=CASCJQ010000013:1044052-1047856(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
