#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721833.1         -           2304 926at5820            -           1653         0 2887.6 235.3   1   8   0.00023      0.74    5.4   0.4     1    18    36    53    36    58 0.91 | transcript=PVPAM_120006700_t1 | gene=PVPAM_120006700 | organism=Plasmodium_vivax_PAM | gene_product=intron-binding protein aquarius, putative | transcript_product=intron-binding protein aquarius, putative | location=CASCJQ010000012:68694-75608(-) | protein_length=2304 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721833.1         -           2304 926at5820            -           1653         0 2887.6 235.3   2   8    3e-121  9.8e-118  392.8  48.6    16   291    88   427    83   444 0.86 | transcript=PVPAM_120006700_t1 | gene=PVPAM_120006700 | organism=Plasmodium_vivax_PAM | gene_product=intron-binding protein aquarius, putative | transcript_product=intron-binding protein aquarius, putative | location=CASCJQ010000012:68694-75608(-) | protein_length=2304 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721833.1         -           2304 926at5820            -           1653         0 2887.6 235.3   3   8     3e-84   9.8e-81  270.2  33.1   290   466   545   749   530   752 0.87 | transcript=PVPAM_120006700_t1 | gene=PVPAM_120006700 | organism=Plasmodium_vivax_PAM | gene_product=intron-binding protein aquarius, putative | transcript_product=intron-binding protein aquarius, putative | location=CASCJQ010000012:68694-75608(-) | protein_length=2304 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721833.1         -           2304 926at5820            -           1653         0 2887.6 235.3   4   8     2e-79   6.6e-76  254.2  15.5   467   601   800   934   799   940 0.98 | transcript=PVPAM_120006700_t1 | gene=PVPAM_120006700 | organism=Plasmodium_vivax_PAM | gene_product=intron-binding protein aquarius, putative | transcript_product=intron-binding protein aquarius, putative | location=CASCJQ010000012:68694-75608(-) | protein_length=2304 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721833.1         -           2304 926at5820            -           1653         0 2887.6 235.3   5   8  2.1e-129  6.9e-126  419.8  20.1   597   810   979  1195   968  1203 0.95 | transcript=PVPAM_120006700_t1 | gene=PVPAM_120006700 | organism=Plasmodium_vivax_PAM | gene_product=intron-binding protein aquarius, putative | transcript_product=intron-binding protein aquarius, putative | location=CASCJQ010000012:68694-75608(-) | protein_length=2304 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721833.1         -           2304 926at5820            -           1653         0 2887.6 235.3   6   8   7.3e-74   2.4e-70  235.7   6.2   808   960  1269  1428  1265  1432 0.95 | transcript=PVPAM_120006700_t1 | gene=PVPAM_120006700 | organism=Plasmodium_vivax_PAM | gene_product=intron-binding protein aquarius, putative | transcript_product=intron-binding protein aquarius, putative | location=CASCJQ010000012:68694-75608(-) | protein_length=2304 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721833.1         -           2304 926at5820            -           1653         0 2887.6 235.3   7   8  1.2e-155    4e-152  506.8  24.4   958  1280  1455  1849  1450  1859 0.88 | transcript=PVPAM_120006700_t1 | gene=PVPAM_120006700 | organism=Plasmodium_vivax_PAM | gene_product=intron-binding protein aquarius, putative | transcript_product=intron-binding protein aquarius, putative | location=CASCJQ010000012:68694-75608(-) | protein_length=2304 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721833.1         -           2304 926at5820            -           1653         0 2887.6 235.3   8   8  1.3e-252  4.1e-249  828.3  33.4  1280  1653  1916  2296  1910  2296 0.98 | transcript=PVPAM_120006700_t1 | gene=PVPAM_120006700 | organism=Plasmodium_vivax_PAM | gene_product=intron-binding protein aquarius, putative | transcript_product=intron-binding protein aquarius, putative | location=CASCJQ010000012:68694-75608(-) | protein_length=2304 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719950.1         -           1547 926at5820            -           1653     1e-27   94.4   0.1   1   2   0.00013      0.42    6.2   0.0  1018  1075   825   881   814   898 0.86 | transcript=PVPAM_080017300_t1 | gene=PVPAM_080017300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=CASCJQ010000008:591895-596538(-) | protein_length=1547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719950.1         -           1547 926at5820            -           1653     1e-27   94.4   0.1   2   2   1.1e-28   3.4e-25   86.0   0.0  1319  1615   958  1243   925  1274 0.82 | transcript=PVPAM_080017300_t1 | gene=PVPAM_080017300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=CASCJQ010000008:591895-596538(-) | protein_length=1547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/926at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/926at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/926at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:25 2026
# [ok]
