#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719548.1         -            446 6760at5820           -            323  8.8e-198  654.3  13.8   1   1    1e-200  1.6e-197  653.5  13.8    18   317    84   384    80   385 0.99 | transcript=PVPAM_070016200_t1 | gene=PVPAM_070016200 | organism=Plasmodium_vivax_PAM | gene_product=cytosolic Fe-S cluster assembly factor NBP35, putative | transcript_product=cytosolic Fe-S cluster assembly factor NBP35, putative | location=CASCJQ010000007:573700-575040(+) | protein_length=446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720571.1         -            582 6760at5820           -            323   5.5e-30  102.9  12.5   1   4     1e-11   1.6e-08   32.4   0.0    67   120   118   171   105   176 0.87 | transcript=PVPAM_090033600_t1 | gene=PVPAM_090033600 | organism=Plasmodium_vivax_PAM | gene_product=Fe-S cluster assembly factor HCF101, putative | transcript_product=Fe-S cluster assembly factor HCF101, putative | location=CASCJQ010000009:1288739-1290487(+) | protein_length=582 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720571.1         -            582 6760at5820           -            323   5.5e-30  102.9  12.5   2   4     2e-24   3.2e-21   74.2   2.7   142   249   266   372   259   391 0.87 | transcript=PVPAM_090033600_t1 | gene=PVPAM_090033600 | organism=Plasmodium_vivax_PAM | gene_product=Fe-S cluster assembly factor HCF101, putative | transcript_product=Fe-S cluster assembly factor HCF101, putative | location=CASCJQ010000009:1288739-1290487(+) | protein_length=582 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720571.1         -            582 6760at5820           -            323   5.5e-30  102.9  12.5   3   4      0.16   2.6e+02   -1.1   0.0    33    53   371   395   370   403 0.68 | transcript=PVPAM_090033600_t1 | gene=PVPAM_090033600 | organism=Plasmodium_vivax_PAM | gene_product=Fe-S cluster assembly factor HCF101, putative | transcript_product=Fe-S cluster assembly factor HCF101, putative | location=CASCJQ010000009:1288739-1290487(+) | protein_length=582 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720571.1         -            582 6760at5820           -            323   5.5e-30  102.9  12.5   4   4     0.069   1.1e+02    0.1   1.0    37    70   499   533   491   548 0.71 | transcript=PVPAM_090033600_t1 | gene=PVPAM_090033600 | organism=Plasmodium_vivax_PAM | gene_product=Fe-S cluster assembly factor HCF101, putative | transcript_product=Fe-S cluster assembly factor HCF101, putative | location=CASCJQ010000009:1288739-1290487(+) | protein_length=582 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718899.1         -            374 6760at5820           -            323   0.00046   17.7   2.8   1   4   1.8e-05      0.03   11.8   0.0    63   111    25    73    10    79 0.81 | transcript=PVPAM_050029100_t1 | gene=PVPAM_050029100 | organism=Plasmodium_vivax_PAM | gene_product=ATPase GET3, putative | transcript_product=ATPase GET3, putative | location=CASCJQ010000005:1003197-1004321(-) | protein_length=374 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718899.1         -            374 6760at5820           -            323   0.00046   17.7   2.8   2   4       0.1   1.7e+02   -0.5   0.0   268   316    82   130    75   134 0.73 | transcript=PVPAM_050029100_t1 | gene=PVPAM_050029100 | organism=Plasmodium_vivax_PAM | gene_product=ATPase GET3, putative | transcript_product=ATPase GET3, putative | location=CASCJQ010000005:1003197-1004321(-) | protein_length=374 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718899.1         -            374 6760at5820           -            323   0.00046   17.7   2.8   3   4      0.22   3.6e+02   -1.6   0.0    61    79   141   159   135   167 0.83 | transcript=PVPAM_050029100_t1 | gene=PVPAM_050029100 | organism=Plasmodium_vivax_PAM | gene_product=ATPase GET3, putative | transcript_product=ATPase GET3, putative | location=CASCJQ010000005:1003197-1004321(-) | protein_length=374 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718899.1         -            374 6760at5820           -            323   0.00046   17.7   2.8   4   4    0.0075        12    3.2   0.6   199   251   224   275   216   311 0.80 | transcript=PVPAM_050029100_t1 | gene=PVPAM_050029100 | organism=Plasmodium_vivax_PAM | gene_product=ATPase GET3, putative | transcript_product=ATPase GET3, putative | location=CASCJQ010000005:1003197-1004321(-) | protein_length=374 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720393.1         -            543 6760at5820           -            323      0.36    8.2   6.5   1   3      0.02        32    1.8   0.0   277   303   280   307   248   318 0.83 | transcript=PVPAM_090015800_t1 | gene=PVPAM_090015800 | organism=Plasmodium_vivax_PAM | gene_product=ES2 protein, putative | transcript_product=ES2 protein, putative | location=CASCJQ010000009:569352-570983(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720393.1         -            543 6760at5820           -            323      0.36    8.2   6.5   2   3    0.0092        15    2.9   0.3    31    92   343   406   325   418 0.71 | transcript=PVPAM_090015800_t1 | gene=PVPAM_090015800 | organism=Plasmodium_vivax_PAM | gene_product=ES2 protein, putative | transcript_product=ES2 protein, putative | location=CASCJQ010000009:569352-570983(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
