#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717931.1         -           1191 1494at5820           -            912         0 1833.6  44.9   1   4  4.5e-222  4.9e-219  728.2  10.5     7   351    40   394    35   400 0.98 | transcript=PVPAM_020016300_t1 | gene=PVPAM_020016300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=CASCJQ010000002:474480-478546(+) | protein_length=1191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717931.1         -           1191 1494at5820           -            912         0 1833.6  44.9   2   4   3.5e-41   3.7e-38  129.6   0.8   355   438   485   577   476   583 0.90 | transcript=PVPAM_020016300_t1 | gene=PVPAM_020016300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=CASCJQ010000002:474480-478546(+) | protein_length=1191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717931.1         -           1191 1494at5820           -            912         0 1833.6  44.9   3   4   1.1e-62   1.2e-59  200.8   7.3   431   562   614   783   608   795 0.86 | transcript=PVPAM_020016300_t1 | gene=PVPAM_020016300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=CASCJQ010000002:474480-478546(+) | protein_length=1191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717931.1         -           1191 1494at5820           -            912         0 1833.6  44.9   4   4  6.4e-239  6.9e-236  783.9   3.8   560   912   822  1180   812  1180 0.98 | transcript=PVPAM_020016300_t1 | gene=PVPAM_020016300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=CASCJQ010000002:474480-478546(+) | protein_length=1191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722764.1         -           1355 1494at5820           -            912  1.9e-107  358.9  17.7   1   5   8.9e-52   9.5e-49  164.7   6.2     6   336   235   553   231   562 0.90 | transcript=PVPAM_130026500_t1 | gene=PVPAM_130026500 | organism=Plasmodium_vivax_PAM | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=CASCJQ010000013:979421-983488(-) | protein_length=1355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722764.1         -           1355 1494at5820           -            912  1.9e-107  358.9  17.7   2   5    0.0058       6.2    3.1   0.0   406   481   544   627   543   642 0.80 | transcript=PVPAM_130026500_t1 | gene=PVPAM_130026500 | organism=Plasmodium_vivax_PAM | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=CASCJQ010000013:979421-983488(-) | protein_length=1355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722764.1         -           1355 1494at5820           -            912  1.9e-107  358.9  17.7   3   5   2.3e-08   2.5e-05   21.0   0.0   508   559   822   873   812   877 0.91 | transcript=PVPAM_130026500_t1 | gene=PVPAM_130026500 | organism=Plasmodium_vivax_PAM | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=CASCJQ010000013:979421-983488(-) | protein_length=1355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722764.1         -           1355 1494at5820           -            912  1.9e-107  358.9  17.7   4   5   2.3e-53   2.4e-50  169.9   0.1   582   741   925  1084   889  1127 0.90 | transcript=PVPAM_130026500_t1 | gene=PVPAM_130026500 | organism=Plasmodium_vivax_PAM | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=CASCJQ010000013:979421-983488(-) | protein_length=1355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722764.1         -           1355 1494at5820           -            912  1.9e-107  358.9  17.7   5   5   0.00035      0.37    7.2   0.2   813   904  1249  1341  1232  1350 0.79 | transcript=PVPAM_130026500_t1 | gene=PVPAM_130026500 | organism=Plasmodium_vivax_PAM | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=CASCJQ010000013:979421-983488(-) | protein_length=1355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717981.1         -           1684 1494at5820           -            912   2.4e-11   40.9   1.4   1   6    0.0011       1.2    5.5   0.1    48   155   473   582   445   595 0.56 | transcript=PVPAM_020021300_t1 | gene=PVPAM_020021300 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=CASCJQ010000002:685471-690525(+) | protein_length=1684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717981.1         -           1684 1494at5820           -            912   2.4e-11   40.9   1.4   2   6     0.015        16    1.7   1.8   164   332   649   810   625   878 0.73 | transcript=PVPAM_020021300_t1 | gene=PVPAM_020021300 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=CASCJQ010000002:685471-690525(+) | protein_length=1684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
