#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722391.1         -            816 9467at5820           -            281  2.7e-128  425.9  67.7   1   4   5.5e-46   4.4e-43  146.3   3.9     5    94    27   116    24   151 0.88 | transcript=PVPAM_120062700_t1 | gene=PVPAM_120062700 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O5, putative | transcript_product=AP2 domain transcription factor AP2-O5, putative | location=CASCJQ010000012:2343516-2346154(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722391.1         -            816 9467at5820           -            281  2.7e-128  425.9  67.7   2   4   0.00017      0.13   10.2   6.5    87   123   207   248   183   261 0.69 | transcript=PVPAM_120062700_t1 | gene=PVPAM_120062700 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O5, putative | transcript_product=AP2 domain transcription factor AP2-O5, putative | location=CASCJQ010000012:2343516-2346154(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722391.1         -            816 9467at5820           -            281  2.7e-128  425.9  67.7   3   4   7.9e-06    0.0064   14.6   3.2    92   140   392   440   343   444 0.78 | transcript=PVPAM_120062700_t1 | gene=PVPAM_120062700 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O5, putative | transcript_product=AP2 domain transcription factor AP2-O5, putative | location=CASCJQ010000012:2343516-2346154(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722391.1         -            816 9467at5820           -            281  2.7e-128  425.9  67.7   4   4     8e-84   6.4e-81  270.5  27.6    60   281   574   816   566   816 0.76 | transcript=PVPAM_120062700_t1 | gene=PVPAM_120062700 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O5, putative | transcript_product=AP2 domain transcription factor AP2-O5, putative | location=CASCJQ010000012:2343516-2346154(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719973.1         -           1380 9467at5820           -            281   5.2e-10   37.8   5.9   1   6     0.013        11    4.0   0.6   146   271     5   129     1   139 0.54 | transcript=PVPAM_080019500_t1 | gene=PVPAM_080019500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=CASCJQ010000008:665457-669599(-) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719973.1         -           1380 9467at5820           -            281   5.2e-10   37.8   5.9   2   6       5.6   4.5e+03   -4.6   3.6   124   193   245   321   187   330 0.65 | transcript=PVPAM_080019500_t1 | gene=PVPAM_080019500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=CASCJQ010000008:665457-669599(-) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719973.1         -           1380 9467at5820           -            281   5.2e-10   37.8   5.9   3   6       5.5   4.4e+03   -4.6   4.5   120   197   281   360   265   366 0.65 | transcript=PVPAM_080019500_t1 | gene=PVPAM_080019500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=CASCJQ010000008:665457-669599(-) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719973.1         -           1380 9467at5820           -            281   5.2e-10   37.8   5.9   4   6   9.8e-08   7.9e-05   20.8   0.0    29    72   420   464   413   474 0.90 | transcript=PVPAM_080019500_t1 | gene=PVPAM_080019500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=CASCJQ010000008:665457-669599(-) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719973.1         -           1380 9467at5820           -            281   5.2e-10   37.8   5.9   5   6   9.6e-10   7.8e-07   27.4   3.0    19   128   608   720   592   757 0.57 | transcript=PVPAM_080019500_t1 | gene=PVPAM_080019500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=CASCJQ010000008:665457-669599(-) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719973.1         -           1380 9467at5820           -            281   5.2e-10   37.8   5.9   6   6     0.038        31    2.5   0.3    53    93   813   857   785   888 0.69 | transcript=PVPAM_080019500_t1 | gene=PVPAM_080019500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=CASCJQ010000008:665457-669599(-) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718007.1         -           1311 9467at5820           -            281   7.1e-07   27.5   7.6   1   7      0.19   1.6e+02    0.1   0.0    50    68   248   266   224   285 0.83 | transcript=PVPAM_020023800_t1 | gene=PVPAM_020023800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=CASCJQ010000002:808048-811983(+) | protein_length=1311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718007.1         -           1311 9467at5820           -            281   7.1e-07   27.5   7.6   2   7         8   6.5e+03  -31.2  42.7    83   195   625   741   601   746 0.45 | transcript=PVPAM_020023800_t1 | gene=PVPAM_020023800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=CASCJQ010000002:808048-811983(+) | protein_length=1311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718007.1         -           1311 9467at5820           -            281   7.1e-07   27.5   7.6   3   7         8   6.5e+03  -19.0  32.1    93   158   689   756   668   821 0.43 | transcript=PVPAM_020023800_t1 | gene=PVPAM_020023800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=CASCJQ010000002:808048-811983(+) | protein_length=1311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718007.1         -           1311 9467at5820           -            281   7.1e-07   27.5   7.6   4   7       3.5   2.8e+03   -4.0   7.5   158   220   892   956   837   966 0.67 | transcript=PVPAM_020023800_t1 | gene=PVPAM_020023800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=CASCJQ010000002:808048-811983(+) | protein_length=1311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718007.1         -           1311 9467at5820           -            281   7.1e-07   27.5   7.6   5   7   9.4e-06    0.0076   14.3   3.3     6   113   967  1077   960  1110 0.82 | transcript=PVPAM_020023800_t1 | gene=PVPAM_020023800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=CASCJQ010000002:808048-811983(+) | protein_length=1311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
