#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718888.1         -            889 3141at5820           -            730         0 1323.0  73.1   1   4   5.3e-28   6.8e-25   86.0   0.4     1    58     1    60     1    65 0.95 | transcript=PVPAM_050028000_t1 | gene=PVPAM_050028000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=CASCJQ010000005:954845-958027(-) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718888.1         -            889 3141at5820           -            730         0 1323.0  73.1   2   4  2.9e-225  3.8e-222  738.1  34.0    57   446    91   496    84   507 0.95 | transcript=PVPAM_050028000_t1 | gene=PVPAM_050028000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=CASCJQ010000005:954845-958027(-) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718888.1         -            889 3141at5820           -            730         0 1323.0  73.1   3   4   1.3e-60   1.7e-57  193.8   3.3   440   564   535   677   532   679 0.92 | transcript=PVPAM_050028000_t1 | gene=PVPAM_050028000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=CASCJQ010000005:954845-958027(-) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718888.1         -            889 3141at5820           -            730         0 1323.0  73.1   4   4   2.8e-99   3.6e-96  321.7  13.6   555   730   705   889   696   889 0.96 | transcript=PVPAM_050028000_t1 | gene=PVPAM_050028000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=CASCJQ010000005:954845-958027(-) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720969.1         -           1354 3141at5820           -            730   1.6e-10   38.5  20.0   1   5   3.2e-07   0.00041   17.3   0.1   292   325   337   370   322   381 0.83 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720969.1         -           1354 3141at5820           -            730   1.6e-10   38.5  20.0   2   5    0.0046         6    3.5   0.0   393   443   411   461   402   473 0.87 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720969.1         -           1354 3141at5820           -            730   1.6e-10   38.5  20.0   3   5         5   6.5e+03   -6.5   3.2   367   416   643   674   626   720 0.42 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720969.1         -           1354 3141at5820           -            730   1.6e-10   38.5  20.0   4   5   2.8e-07   0.00037   17.5   0.7   486   550  1166  1233  1117  1259 0.77 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720969.1         -           1354 3141at5820           -            730   1.6e-10   38.5  20.0   5   5   6.5e-06    0.0084   13.0   0.3   675   727  1267  1320  1261  1322 0.80 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720860.1         -            590 3141at5820           -            730   3.9e-10   37.2   0.9   1   3   1.5e-06     0.002   15.0   0.0   295   322   110   137    89   174 0.74 | transcript=PVPAM_100012800_t1 | gene=PVPAM_100012800 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=CASCJQ010000010:345423-347695(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720860.1         -            590 3141at5820           -            730   3.9e-10   37.2   0.9   2   3   0.00052      0.67    6.7   0.1   499   537   308   346   300   376 0.85 | transcript=PVPAM_100012800_t1 | gene=PVPAM_100012800 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=CASCJQ010000010:345423-347695(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
