#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719122.1         -           1096 1259at5820           -            946         0 1946.6  47.0   1   3   3.4e-14   7.3e-11   39.1   0.2     1    57    10    86    10   107 0.77 | transcript=PVPAM_060012900_t1 | gene=PVPAM_060012900 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase delta catalytic subunit, putative | transcript_product=DNA polymerase delta catalytic subunit, putative | location=CASCJQ010000006:343929-347219(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719122.1         -           1096 1259at5820           -            946         0 1946.6  47.0   2   3   2.6e-12   5.7e-09   32.9   1.0    49    95   113   164   104   177 0.85 | transcript=PVPAM_060012900_t1 | gene=PVPAM_060012900 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase delta catalytic subunit, putative | transcript_product=DNA polymerase delta catalytic subunit, putative | location=CASCJQ010000006:343929-347219(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719122.1         -           1096 1259at5820           -            946         0 1946.6  47.0   3   3         0         0 1882.8  34.5    79   946   177  1090   168  1090 0.97 | transcript=PVPAM_060012900_t1 | gene=PVPAM_060012900 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase delta catalytic subunit, putative | transcript_product=DNA polymerase delta catalytic subunit, putative | location=CASCJQ010000006:343929-347219(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718159.1         -           1746 1259at5820           -            946   4.4e-45  152.4  18.9   1   4   6.2e-16   1.3e-12   44.9   2.3   234   344   692   807   654   820 0.86 | transcript=PVPAM_030015900_t1 | gene=PVPAM_030015900 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase alpha catalytic subunit A, putative | transcript_product=DNA polymerase alpha catalytic subunit A, putative | location=CASCJQ010000003:470841-476677(-) | protein_length=1746 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718159.1         -           1746 1259at5820           -            946   4.4e-45  152.4  18.9   2   4   6.9e-13   1.5e-09   34.8   0.0   440   487   977  1024   944  1043 0.83 | transcript=PVPAM_030015900_t1 | gene=PVPAM_030015900 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase alpha catalytic subunit A, putative | transcript_product=DNA polymerase alpha catalytic subunit A, putative | location=CASCJQ010000003:470841-476677(-) | protein_length=1746 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718159.1         -           1746 1259at5820           -            946   4.4e-45  152.4  18.9   3   4   2.1e-26   4.6e-23   79.5   4.1   512   714  1086  1286  1077  1291 0.87 | transcript=PVPAM_030015900_t1 | gene=PVPAM_030015900 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase alpha catalytic subunit A, putative | transcript_product=DNA polymerase alpha catalytic subunit A, putative | location=CASCJQ010000003:470841-476677(-) | protein_length=1746 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718159.1         -           1746 1259at5820           -            946   4.4e-45  152.4  18.9   4   4     0.059   1.3e+02   -1.4   0.0   713   766  1308  1366  1306  1438 0.82 | transcript=PVPAM_030015900_t1 | gene=PVPAM_030015900 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase alpha catalytic subunit A, putative | transcript_product=DNA polymerase alpha catalytic subunit A, putative | location=CASCJQ010000003:470841-476677(-) | protein_length=1746 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719318.1         -           1907 1259at5820           -            946   1.2e-36  124.5  30.6   1   4   0.00012      0.27    7.5   0.4    57    80    52    75    30    91 0.82 | transcript=PVPAM_060032500_t1 | gene=PVPAM_060032500 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=CASCJQ010000006:1120991-1127220(+) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719318.1         -           1907 1259at5820           -            946   1.2e-36  124.5  30.6   2   4   1.6e-06    0.0035   13.7   3.9    82   175   108   208   101   225 0.74 | transcript=PVPAM_060032500_t1 | gene=PVPAM_060032500 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=CASCJQ010000006:1120991-1127220(+) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719318.1         -           1907 1259at5820           -            946   1.2e-36  124.5  30.6   3   4   9.2e-11     2e-07   27.8   1.3   377   487   876   993   870   997 0.85 | transcript=PVPAM_060032500_t1 | gene=PVPAM_060032500 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=CASCJQ010000006:1120991-1127220(+) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719318.1         -           1907 1259at5820           -            946   1.2e-36  124.5  30.6   4   4   9.5e-30   2.1e-26   90.6   3.8   501   704  1158  1356  1143  1367 0.88 | transcript=PVPAM_060032500_t1 | gene=PVPAM_060032500 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=CASCJQ010000006:1120991-1127220(+) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1259at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1259at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1259at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:23 2026
# [ok]
