#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718570.1         -            975 3093at5820           -            624  8.7e-266  882.0  27.0   1   7   5.1e-19   1.6e-15   55.2   0.0     6    46    10    50     2    57 0.92 | transcript=PVPAM_040031400_t1 | gene=PVPAM_040031400 | organism=Plasmodium_vivax_PAM | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=CASCJQ010000004:1093533-1096460(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718570.1         -            975 3093at5820           -            624  8.7e-266  882.0  27.0   2   7  5.6e-105  1.8e-101  339.2   0.2    46   230    91   293    85   297 0.92 | transcript=PVPAM_040031400_t1 | gene=PVPAM_040031400 | organism=Plasmodium_vivax_PAM | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=CASCJQ010000004:1093533-1096460(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718570.1         -            975 3093at5820           -            624  8.7e-266  882.0  27.0   3   7   4.4e-48   1.4e-44  151.2   0.1   232   338   324   440   321   449 0.91 | transcript=PVPAM_040031400_t1 | gene=PVPAM_040031400 | organism=Plasmodium_vivax_PAM | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=CASCJQ010000004:1093533-1096460(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718570.1         -            975 3093at5820           -            624  8.7e-266  882.0  27.0   4   7   2.9e-30   9.4e-27   92.4   0.0   337   424   463   562   457   567 0.89 | transcript=PVPAM_040031400_t1 | gene=PVPAM_040031400 | organism=Plasmodium_vivax_PAM | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=CASCJQ010000004:1093533-1096460(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718570.1         -            975 3093at5820           -            624  8.7e-266  882.0  27.0   5   7   7.1e-38   2.3e-34  117.5   0.3   423   496   636   709   631   712 0.97 | transcript=PVPAM_040031400_t1 | gene=PVPAM_040031400 | organism=Plasmodium_vivax_PAM | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=CASCJQ010000004:1093533-1096460(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718570.1         -            975 3093at5820           -            624  8.7e-266  882.0  27.0   6   7   1.2e-13     4e-10   37.5   1.3   496   526   747   777   744   780 0.94 | transcript=PVPAM_040031400_t1 | gene=PVPAM_040031400 | organism=Plasmodium_vivax_PAM | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=CASCJQ010000004:1093533-1096460(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718570.1         -            975 3093at5820           -            624  8.7e-266  882.0  27.0   7   7   3.4e-33   1.1e-29  102.1   1.2   526   600   799   878   795   884 0.92 | transcript=PVPAM_040031400_t1 | gene=PVPAM_040031400 | organism=Plasmodium_vivax_PAM | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=CASCJQ010000004:1093533-1096460(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719534.1         -           1353 3093at5820           -            624     2e-14   51.6  19.8   1   4   8.3e-09   2.7e-05   21.5   0.5    41   137    72   174    57   179 0.77 | transcript=PVPAM_070014800_t1 | gene=PVPAM_070014800 | organism=Plasmodium_vivax_PAM | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=CASCJQ010000007:501837-505898(+) | protein_length=1353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719534.1         -           1353 3093at5820           -            624     2e-14   51.6  19.8   2   4   6.5e-11   2.1e-07   28.5   0.0   120   228   189   295   186   306 0.79 | transcript=PVPAM_070014800_t1 | gene=PVPAM_070014800 | organism=Plasmodium_vivax_PAM | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=CASCJQ010000007:501837-505898(+) | protein_length=1353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719534.1         -           1353 3093at5820           -            624     2e-14   51.6  19.8   3   4   0.00089       2.9    4.9   2.0   233   337   350   462   283   473 0.65 | transcript=PVPAM_070014800_t1 | gene=PVPAM_070014800 | organism=Plasmodium_vivax_PAM | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=CASCJQ010000007:501837-505898(+) | protein_length=1353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719534.1         -           1353 3093at5820           -            624     2e-14   51.6  19.8   4   4   0.00032         1    6.4   2.1   428   486   695   755   661   770 0.66 | transcript=PVPAM_070014800_t1 | gene=PVPAM_070014800 | organism=Plasmodium_vivax_PAM | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=CASCJQ010000007:501837-505898(+) | protein_length=1353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3093at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3093at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3093at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:44 2026
# [ok]
