#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723218.1         -           3497 126at5820            -           2553         0 4268.2 363.6   1  10   5.5e-52   3.5e-48  162.0  19.9     1   176    19   219    19   232 0.85 | transcript=PVPAM_140013700_t1 | gene=PVPAM_140013700 | organism=Plasmodium_vivax_PAM | gene_product=translational activator GCN1, putative | transcript_product=translational activator GCN1, putative | location=CASCJQ010000014:414192-424870(-) | protein_length=3497 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723218.1         -           3497 126at5820            -           2553         0 4268.2 363.6   2  10  1.7e-148  1.1e-144  482.2  60.9   148   497   232   633   218   647 0.89 | transcript=PVPAM_140013700_t1 | gene=PVPAM_140013700 | organism=Plasmodium_vivax_PAM | gene_product=translational activator GCN1, putative | transcript_product=translational activator GCN1, putative | location=CASCJQ010000014:414192-424870(-) | protein_length=3497 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723218.1         -           3497 126at5820            -           2553         0 4268.2 363.6   3  10   2.1e-63   1.4e-59  199.9  15.6   487   652   668   876   657   890 0.87 | transcript=PVPAM_140013700_t1 | gene=PVPAM_140013700 | organism=Plasmodium_vivax_PAM | gene_product=translational activator GCN1, putative | transcript_product=translational activator GCN1, putative | location=CASCJQ010000014:414192-424870(-) | protein_length=3497 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723218.1         -           3497 126at5820            -           2553         0 4268.2 363.6   4  10  1.6e-266  1.1e-262  873.7  57.9   651  1128   955  1467   946  1472 0.94 | transcript=PVPAM_140013700_t1 | gene=PVPAM_140013700 | organism=Plasmodium_vivax_PAM | gene_product=translational activator GCN1, putative | transcript_product=translational activator GCN1, putative | location=CASCJQ010000014:414192-424870(-) | protein_length=3497 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723218.1         -           3497 126at5820            -           2553         0 4268.2 363.6   5  10   1.3e-52   8.4e-49  164.1   5.8  1122  1211  1530  1619  1521  1635 0.94 | transcript=PVPAM_140013700_t1 | gene=PVPAM_140013700 | organism=Plasmodium_vivax_PAM | gene_product=translational activator GCN1, putative | transcript_product=translational activator GCN1, putative | location=CASCJQ010000014:414192-424870(-) | protein_length=3497 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723218.1         -           3497 126at5820            -           2553         0 4268.2 363.6   6  10  5.5e-246  3.6e-242  805.6  50.4  1210  1614  1749  2154  1745  2168 0.98 | transcript=PVPAM_140013700_t1 | gene=PVPAM_140013700 | organism=Plasmodium_vivax_PAM | gene_product=translational activator GCN1, putative | transcript_product=translational activator GCN1, putative | location=CASCJQ010000014:414192-424870(-) | protein_length=3497 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723218.1         -           3497 126at5820            -           2553         0 4268.2 363.6   7  10    1e-230  6.6e-227  754.9  41.2  1607  2014  2342  2762  2332  2774 0.96 | transcript=PVPAM_140013700_t1 | gene=PVPAM_140013700 | organism=Plasmodium_vivax_PAM | gene_product=translational activator GCN1, putative | transcript_product=translational activator GCN1, putative | location=CASCJQ010000014:414192-424870(-) | protein_length=3497 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723218.1         -           3497 126at5820            -           2553         0 4268.2 363.6   8  10   8.1e-15   5.2e-11   38.7   0.2  2014  2055  2864  2905  2855  2909 0.93 | transcript=PVPAM_140013700_t1 | gene=PVPAM_140013700 | organism=Plasmodium_vivax_PAM | gene_product=translational activator GCN1, putative | transcript_product=translational activator GCN1, putative | location=CASCJQ010000014:414192-424870(-) | protein_length=3497 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723218.1         -           3497 126at5820            -           2553         0 4268.2 363.6   9  10   1.2e-10   7.6e-07   24.9   0.1  2055  2081  2949  2975  2927  2979 0.81 | transcript=PVPAM_140013700_t1 | gene=PVPAM_140013700 | organism=Plasmodium_vivax_PAM | gene_product=translational activator GCN1, putative | transcript_product=translational activator GCN1, putative | location=CASCJQ010000014:414192-424870(-) | protein_length=3497 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723218.1         -           3497 126at5820            -           2553         0 4268.2 363.6  10  10  3.1e-247    2e-243  809.8  48.1  2081  2553  3005  3497  2999  3497 0.97 | transcript=PVPAM_140013700_t1 | gene=PVPAM_140013700 | organism=Plasmodium_vivax_PAM | gene_product=translational activator GCN1, putative | transcript_product=translational activator GCN1, putative | location=CASCJQ010000014:414192-424870(-) | protein_length=3497 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/126at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/126at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/126at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:40 2026
# [ok]
