#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720450.1         -            690 3676at5820           -            548         0 1042.1  33.5   1   3  7.1e-110  2.6e-107  358.2   5.2     9   196    22   212     8   232 0.91 | transcript=PVPAM_090021500_t1 | gene=PVPAM_090021500 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=CASCJQ010000009:776617-778689(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720450.1         -            690 3676at5820           -            548         0 1042.1  33.5   2   3  1.1e-110  3.8e-108  360.9   6.4   187   386   251   477   245   483 0.88 | transcript=PVPAM_090021500_t1 | gene=PVPAM_090021500 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=CASCJQ010000009:776617-778689(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720450.1         -            690 3676at5820           -            548         0 1042.1  33.5   3   3  1.1e-102  3.8e-100  334.5   6.0   390   548   527   690   511   690 0.96 | transcript=PVPAM_090021500_t1 | gene=PVPAM_090021500 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=CASCJQ010000009:776617-778689(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723814.1         -            611 3676at5820           -            548   8.6e-99  330.0   0.4   1   1  3.5e-101   1.2e-98  329.5   0.4     3   537     9   564     7   570 0.81 | transcript=PVPAM_140073700_t1 | gene=PVPAM_140073700 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=CASCJQ010000014:2896289-2899508(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718091.1         -            762 3676at5820           -            548   4.3e-25   86.8  19.1   1   4      0.46   1.7e+02   -1.0   0.0    11    30    16    35     4    42 0.85 | transcript=PVPAM_030008700_t1 | gene=PVPAM_030008700 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=CASCJQ010000003:185975-188391(-) | protein_length=762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718091.1         -            762 3676at5820           -            548   4.3e-25   86.8  19.1   2   4   1.2e-10   4.1e-08   30.7   1.6   291   370   379   453   367   460 0.82 | transcript=PVPAM_030008700_t1 | gene=PVPAM_030008700 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=CASCJQ010000003:185975-188391(-) | protein_length=762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718091.1         -            762 3676at5820           -            548   4.3e-25   86.8  19.1   3   4   1.1e-11   4.1e-09   34.1   0.7   419   492   621   690   611   710 0.80 | transcript=PVPAM_030008700_t1 | gene=PVPAM_030008700 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=CASCJQ010000003:185975-188391(-) | protein_length=762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718091.1         -            762 3676at5820           -            548   4.3e-25   86.8  19.1   4   4   1.5e-10   5.3e-08   30.4   2.8   486   527   712   753   701   760 0.88 | transcript=PVPAM_030008700_t1 | gene=PVPAM_030008700 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=CASCJQ010000003:185975-188391(-) | protein_length=762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720437.1         -            495 3676at5820           -            548   3.8e-12   44.1   3.5   1   2   6.8e-07   0.00025   18.3   0.1   285   381   274   366   177   380 0.83 | transcript=PVPAM_090020200_t1 | gene=PVPAM_090020200 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=CASCJQ010000009:733568-735055(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720437.1         -            495 3676at5820           -            548   3.8e-12   44.1   3.5   2   2   2.4e-09   8.5e-07   26.4   0.5   474   514   425   471   396   483 0.84 | transcript=PVPAM_090020200_t1 | gene=PVPAM_090020200 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=CASCJQ010000009:733568-735055(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718537.1         -           1126 3676at5820           -            548   1.8e-09   35.2   3.5   1   1   7.3e-12   2.6e-09   34.7   3.0   463   518   742   799   637   819 0.89 | transcript=PVPAM_040028100_t1 | gene=PVPAM_040028100 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:972463-976449(+) | protein_length=1126 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
