#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719611.1         -            238 12899at5820          -            214   1.2e-69  232.9  20.1   1   1   1.8e-72   2.9e-69  231.7  20.1    21   214    25   237    17   237 0.75 | transcript=PVPAM_070022500_t1 | gene=PVPAM_070022500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:792248-792964(+) | protein_length=238 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717781.1         -            683 12899at5820          -            214   2.1e-05   23.0  10.6   1   4      0.96   1.6e+03   -2.7   0.6    32    51   183   201   168   223 0.44 | transcript=PVPAM_010029500_t1 | gene=PVPAM_010029500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000001:1094351-1096402(-) | protein_length=683 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717781.1         -            683 12899at5820          -            214   2.1e-05   23.0  10.6   2   4      0.35   5.6e+02   -1.3   0.6   127   148   249   268   234   286 0.45 | transcript=PVPAM_010029500_t1 | gene=PVPAM_010029500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000001:1094351-1096402(-) | protein_length=683 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717781.1         -            683 12899at5820          -            214   2.1e-05   23.0  10.6   3   4   1.3e-08   2.1e-05   23.0  10.6    83   174   309   402   305   415 0.72 | transcript=PVPAM_010029500_t1 | gene=PVPAM_010029500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000001:1094351-1096402(-) | protein_length=683 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717781.1         -            683 12899at5820          -            214   2.1e-05   23.0  10.6   4   4         4   6.5e+03   -5.2  10.2    26   148   591   622   560   668 0.54 | transcript=PVPAM_010029500_t1 | gene=PVPAM_010029500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000001:1094351-1096402(-) | protein_length=683 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719561.1         -            409 12899at5820          -            214   7.4e-05   21.2  12.7   1   4   4.6e-08   7.4e-05   21.2  12.7    80   135     2    53     1    68 0.71 | transcript=PVPAM_070017500_t1 | gene=PVPAM_070017500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:628455-629684(-) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719561.1         -            409 12899at5820          -            214   7.4e-05   21.2  12.7   2   4       2.4   3.9e+03   -4.1   0.3   143   150    86    93    79   117 0.51 | transcript=PVPAM_070017500_t1 | gene=PVPAM_070017500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:628455-629684(-) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719561.1         -            409 12899at5820          -            214   7.4e-05   21.2  12.7   3   4      0.94   1.5e+03   -2.7   0.2   111   141   139   167   132   192 0.57 | transcript=PVPAM_070017500_t1 | gene=PVPAM_070017500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:628455-629684(-) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719561.1         -            409 12899at5820          -            214   7.4e-05   21.2  12.7   4   4      0.28   4.6e+02   -1.0   2.9   180   198   350   368   313   382 0.71 | transcript=PVPAM_070017500_t1 | gene=PVPAM_070017500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:628455-629684(-) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722973.1         -            162 12899at5820          -            214       1.2    7.4  31.6   1   2       3.4   5.5e+03   -4.5  12.7    20    58    19    54     3    96 0.42 | transcript=PVPAM_130047900_t1 | gene=PVPAM_130047900 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000013:1884050-1884872(+) | protein_length=162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722973.1         -            162 12899at5820          -            214       1.2    7.4  31.6   2   2   4.2e-05     0.067   11.5  19.9    47   120    71   157    45   161 0.57 | transcript=PVPAM_130047900_t1 | gene=PVPAM_130047900 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000013:1884050-1884872(+) | protein_length=162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12899at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12899at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12899at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:09 2026
# [ok]
