#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722235.1         -            127 14524at5820          -            106   3.9e-51  170.1   6.4   1   1   3.5e-54   4.6e-51  169.9   6.4     2   106    10   121     9   121 0.94 | transcript=PVPAM_120047200_t1 | gene=PVPAM_120047200 | organism=Plasmodium_vivax_PAM | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=CASCJQ010000012:1699091-1700070(-) | protein_length=127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719767.1         -            270 14524at5820          -            106   0.00026   19.5   3.6   1   1   8.2e-07    0.0011   17.6   3.6     3    40    16    53    14    63 0.88 | transcript=PVPAM_070038100_t1 | gene=PVPAM_070038100 | organism=Plasmodium_vivax_PAM | gene_product=adenylate kinase-like protein 2, putative | transcript_product=adenylate kinase-like protein 2, putative | location=CASCJQ010000007:1391867-1393362(-) | protein_length=270 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719133.1         -            269 14524at5820          -            106     0.065   11.8   1.1   1   3   8.4e-05      0.11   11.1   0.1     7    44    95   132    90   144 0.84 | transcript=PVPAM_060014000_t1 | gene=PVPAM_060014000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:377143-377952(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719133.1         -            269 14524at5820          -            106     0.065   11.8   1.1   2   3       1.3   1.7e+03   -2.4   0.1    48    70   166   188   160   221 0.57 | transcript=PVPAM_060014000_t1 | gene=PVPAM_060014000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:377143-377952(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719133.1         -            269 14524at5820          -            106     0.065   11.8   1.1   3   3       1.7   2.2e+03   -2.7   0.1    42    68   207   233   197   240 0.60 | transcript=PVPAM_060014000_t1 | gene=PVPAM_060014000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:377143-377952(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717577.1         -            475 14524at5820          -            106      0.85    8.2  13.9   1   3     0.011        14    4.3   1.5    38    77    87   129    75   133 0.69 | transcript=PVPAM_010008600_t1 | gene=PVPAM_010008600 | organism=Plasmodium_vivax_PAM | gene_product=PIR protein | transcript_product=PIR protein | location=CASCJQ010000001:163453-165142(-) | protein_length=475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717577.1         -            475 14524at5820          -            106      0.85    8.2  13.9   2   3   0.00042      0.54    8.8   1.4     5    60   128   182   127   190 0.82 | transcript=PVPAM_010008600_t1 | gene=PVPAM_010008600 | organism=Plasmodium_vivax_PAM | gene_product=PIR protein | transcript_product=PIR protein | location=CASCJQ010000001:163453-165142(-) | protein_length=475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717577.1         -            475 14524at5820          -            106      0.85    8.2  13.9   3   3     0.028        36    3.0   0.2    19    53   403   437   392   454 0.89 | transcript=PVPAM_010008600_t1 | gene=PVPAM_010008600 | organism=Plasmodium_vivax_PAM | gene_product=PIR protein | transcript_product=PIR protein | location=CASCJQ010000001:163453-165142(-) | protein_length=475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7724086.1         -            483 14524at5820          -            106         3    6.5  12.4   1   3     0.034        44    2.7   0.2    37    79    97   139    93   143 0.87 | transcript=PVPAM_000021400_t1 | gene=PVPAM_000021400 | organism=Plasmodium_vivax_PAM | gene_product=PIR protein | transcript_product=PIR protein | location=CASCJQ010000019:94448-96154(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7724086.1         -            483 14524at5820          -            106         3    6.5  12.4   2   3   0.00084       1.1    7.9   3.5     6    60   137   190   135   195 0.84 | transcript=PVPAM_000021400_t1 | gene=PVPAM_000021400 | organism=Plasmodium_vivax_PAM | gene_product=PIR protein | transcript_product=PIR protein | location=CASCJQ010000019:94448-96154(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7724086.1         -            483 14524at5820          -            106         3    6.5  12.4   3   3     0.067        87    1.8   0.1    19    53   411   445   401   464 0.88 | transcript=PVPAM_000021400_t1 | gene=PVPAM_000021400 | organism=Plasmodium_vivax_PAM | gene_product=PIR protein | transcript_product=PIR protein | location=CASCJQ010000019:94448-96154(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
