#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720857.1         -            463 11717at5820          -            359  2.7e-220  729.0  67.5   1   3   1.3e-19   3.5e-17   60.9   5.8     1    57     4    70     4    78 0.84 | transcript=PVPAM_100012500_t1 | gene=PVPAM_100012500 | organism=Plasmodium_vivax_PAM | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=CASCJQ010000010:333754-335570(-) | protein_length=463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720857.1         -            463 11717at5820          -            359  2.7e-220  729.0  67.5   2   3  5.2e-159  1.4e-156  519.5  17.7    42   306    80   352    74   356 0.89 | transcript=PVPAM_100012500_t1 | gene=PVPAM_100012500 | organism=Plasmodium_vivax_PAM | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=CASCJQ010000010:333754-335570(-) | protein_length=463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720857.1         -            463 11717at5820          -            359  2.7e-220  729.0  67.5   3   3     2e-50   5.5e-48  162.2  33.3   257   359   349   452   348   452 0.96 | transcript=PVPAM_100012500_t1 | gene=PVPAM_100012500 | organism=Plasmodium_vivax_PAM | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=CASCJQ010000010:333754-335570(-) | protein_length=463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718835.1         -            690 11717at5820          -            359   2.9e-10   38.1  36.6   1   1   5.7e-12   1.5e-09   35.7  36.6   226   316   593   688   527   689 0.72 | transcript=PVPAM_050022900_t1 | gene=PVPAM_050022900 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone BiP, putative | transcript_product=endoplasmic reticulum chaperone BiP, putative | location=CASCJQ010000005:771409-773481(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719004.1         -            270 11717at5820          -            359   8.9e-08   29.9   8.0   1   1   4.4e-10   1.2e-07   29.5   8.0   144   304    60   223    51   232 0.77 | transcript=PVPAM_050039600_t1 | gene=PVPAM_050039600 | organism=Plasmodium_vivax_PAM | gene_product=apical asparagine-rich protein AARP | transcript_product=apical asparagine-rich protein AARP | location=CASCJQ010000005:1462301-1463113(+) | protein_length=270 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719658.1         -            606 11717at5820          -            359   6.1e-07   27.2  12.9   1   3   2.3e-09   6.1e-07   27.2  12.9   190   289    89   191    73   215 0.71 | transcript=PVPAM_070027200_t1 | gene=PVPAM_070027200 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000007:976846-979137(-) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719658.1         -            606 11717at5820          -            359   6.1e-07   27.2  12.9   2   3      0.09        24    2.2   8.8   268   304   254   290   227   299 0.69 | transcript=PVPAM_070027200_t1 | gene=PVPAM_070027200 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000007:976846-979137(-) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719658.1         -            606 11717at5820          -            359   6.1e-07   27.2  12.9   3   3       2.4   6.4e+02   -2.5   2.2   208   236   305   333   292   345 0.80 | transcript=PVPAM_070027200_t1 | gene=PVPAM_070027200 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000007:976846-979137(-) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721457.1         -            134 11717at5820          -            359   2.5e-06   25.2   0.4   1   2   8.1e-05     0.022   12.2   0.0   267   303    10    46     1    55 0.37 | transcript=PVPAM_110036200_t1 | gene=PVPAM_110036200 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000011:1315401-1315805(+) | protein_length=134 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721457.1         -            134 11717at5820          -            359   2.5e-06   25.2   0.4   2   2   4.7e-05     0.013   13.0   0.1   266   298    53    85    39   103 0.39 | transcript=PVPAM_110036200_t1 | gene=PVPAM_110036200 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000011:1315401-1315805(+) | protein_length=134 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722485.1         -           2014 11717at5820          -            359   4.6e-06   24.3  13.1   1   2     0.049        13    3.0   3.4   190   267  1477  1555  1447  1585 0.70 | transcript=PVPAM_120072200_t1 | gene=PVPAM_120072200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2775440-2782103(+) | protein_length=2014 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722485.1         -           2014 11717at5820          -            359   4.6e-06   24.3  13.1   2   2   1.7e-08   4.6e-06   24.3  13.1   240   307  1606  1674  1592  1697 0.85 | transcript=PVPAM_120072200_t1 | gene=PVPAM_120072200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2775440-2782103(+) | protein_length=2014 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718418.1         -            376 11717at5820          -            359   8.8e-06   23.4   2.5   1   1   5.7e-08   1.5e-05   22.6   2.5   263   303   249   289   238   301 0.69 | transcript=PVPAM_040016400_t1 | gene=PVPAM_040016400 | organism=Plasmodium_vivax_PAM | gene_product=pseudouridine synthase, putative | transcript_product=pseudouridine synthase, putative | location=CASCJQ010000004:511934-513453(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719254.1         -           1504 11717at5820          -            359   1.8e-05   22.3  40.0   1   3     3e-05     0.008   13.6  11.0   268   306   164   202   160   218 0.66 | transcript=PVPAM_060026100_t1 | gene=PVPAM_060026100 | organism=Plasmodium_vivax_PAM | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=CASCJQ010000006:883561-888075(+) | protein_length=1504 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719254.1         -           1504 11717at5820          -            359   1.8e-05   22.3  40.0   2   3   5.5e-06    0.0015   16.0  10.6   260   312   630   682   621   702 0.86 | transcript=PVPAM_060026100_t1 | gene=PVPAM_060026100 | organism=Plasmodium_vivax_PAM | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=CASCJQ010000006:883561-888075(+) | protein_length=1504 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719254.1         -           1504 11717at5820          -            359   1.8e-05   22.3  40.0   3   3     0.029       7.9    3.8   2.6   268   300  1105  1137  1096  1153 0.51 | transcript=PVPAM_060026100_t1 | gene=PVPAM_060026100 | organism=Plasmodium_vivax_PAM | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=CASCJQ010000006:883561-888075(+) | protein_length=1504 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718576.1         -            785 11717at5820          -            359   3.2e-05   21.5   0.9   1   1   2.8e-07   7.6e-05   20.3   0.9   215   295   535   621   529   632 0.63 | transcript=PVPAM_040032000_t1 | gene=PVPAM_040032000 | organism=Plasmodium_vivax_PAM | gene_product=condensin-2 complex subunit H2, putative | transcript_product=condensin-2 complex subunit H2, putative | location=CASCJQ010000004:1118446-1120928(-) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722836.1         -            903 11717at5820          -            359   8.6e-05   20.1   1.5   1   1   7.8e-07   0.00021   18.8   1.5   270   308    74   112    56   120 0.74 | transcript=PVPAM_130033800_t1 | gene=PVPAM_130033800 | organism=Plasmodium_vivax_PAM | gene_product=OST-HTH associated domain protein, putative | transcript_product=OST-HTH associated domain protein, putative | location=CASCJQ010000013:1310659-1313370(+) | protein_length=903 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721969.1         -            718 11717at5820          -            359   9.3e-05   20.0   9.7   1   2   3.6e-07   9.8e-05   19.9   1.1   265   319   272   327   260   334 0.61 | transcript=PVPAM_120020700_t1 | gene=PVPAM_120020700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:661514-663670(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721969.1         -            718 11717at5820          -            359   9.3e-05   20.0   9.7   2   2     0.021       5.8    4.2   1.9   178   212   569   600   543   607 0.72 | transcript=PVPAM_120020700_t1 | gene=PVPAM_120020700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:661514-663670(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720692.1         -            942 11717at5820          -            359   0.00045   17.8  13.6   1   3       2.9   7.7e+02   -2.8   0.4   213   248    60    95    53   138 0.63 | transcript=PVPAM_090045700_t1 | gene=PVPAM_090045700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1840729-1843557(+) | protein_length=942 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
