#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723682.1         -           1872 1364at5820           -            992         0 1317.2  53.1   1  13   4.3e-53   5.6e-50  168.7   1.0     1   124     1   126     1   135 0.83 | transcript=PVPAM_140060600_t1 | gene=PVPAM_140060600 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000014:2408650-2414268(+) | protein_length=1872 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723682.1         -           1872 1364at5820           -            992         0 1317.2  53.1   2  13   5.5e-05     0.071    9.4   0.0   105   125   153   173   140   179 0.84 | transcript=PVPAM_140060600_t1 | gene=PVPAM_140060600 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000014:2408650-2414268(+) | protein_length=1872 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723682.1         -           1872 1364at5820           -            992         0 1317.2  53.1   3  13   1.7e-29   2.2e-26   90.6   0.1   125   196   241   314   227   321 0.92 | transcript=PVPAM_140060600_t1 | gene=PVPAM_140060600 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000014:2408650-2414268(+) | protein_length=1872 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723682.1         -           1872 1364at5820           -            992         0 1317.2  53.1   4  13   6.1e-11   7.9e-08   29.2   0.0   203   239   501   541   492   548 0.84 | transcript=PVPAM_140060600_t1 | gene=PVPAM_140060600 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000014:2408650-2414268(+) | protein_length=1872 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723682.1         -           1872 1364at5820           -            992         0 1317.2  53.1   5  13   5.1e-44   6.6e-41  138.6   0.5   239   334   705   800   699   805 0.97 | transcript=PVPAM_140060600_t1 | gene=PVPAM_140060600 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000014:2408650-2414268(+) | protein_length=1872 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723682.1         -           1872 1364at5820           -            992         0 1317.2  53.1   6  13   2.7e-06    0.0035   13.8   0.0   335   359   866   890   861   899 0.82 | transcript=PVPAM_140060600_t1 | gene=PVPAM_140060600 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000014:2408650-2414268(+) | protein_length=1872 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723682.1         -           1872 1364at5820           -            992         0 1317.2  53.1   7  13     4e-48   5.2e-45  152.2   3.5   356   529   913  1150   909  1153 0.77 | transcript=PVPAM_140060600_t1 | gene=PVPAM_140060600 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000014:2408650-2414268(+) | protein_length=1872 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723682.1         -           1872 1364at5820           -            992         0 1317.2  53.1   8  13   1.9e-16   2.5e-13   47.4   0.0   529   566  1199  1236  1175  1243 0.92 | transcript=PVPAM_140060600_t1 | gene=PVPAM_140060600 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000014:2408650-2414268(+) | protein_length=1872 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723682.1         -           1872 1364at5820           -            992         0 1317.2  53.1   9  13   1.8e-38   2.3e-35  120.3   0.2   565   641  1292  1368  1287  1373 0.94 | transcript=PVPAM_140060600_t1 | gene=PVPAM_140060600 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000014:2408650-2414268(+) | protein_length=1872 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723682.1         -           1872 1364at5820           -            992         0 1317.2  53.1  10  13   2.1e-70   2.8e-67  226.0   0.3   643   766  1396  1519  1391  1528 0.96 | transcript=PVPAM_140060600_t1 | gene=PVPAM_140060600 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000014:2408650-2414268(+) | protein_length=1872 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723682.1         -           1872 1364at5820           -            992         0 1317.2  53.1  11  13   5.2e-08   6.7e-05   19.5   0.0   766   799  1557  1590  1555  1593 0.94 | transcript=PVPAM_140060600_t1 | gene=PVPAM_140060600 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000014:2408650-2414268(+) | protein_length=1872 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
