#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723382.1         -            783 3852at5820           -            646         0 1194.8  84.0   1   3  4.5e-176  7.2e-173  574.9  48.3     1   322    11   365    11   374 0.94 | transcript=PVPAM_140030100_t1 | gene=PVPAM_140030100 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=CASCJQ010000014:1095927-1099706(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723382.1         -            783 3852at5820           -            646         0 1194.8  84.0   2   3    0.0012       1.9    5.2   0.3   319   337   389   407   384   419 0.87 | transcript=PVPAM_140030100_t1 | gene=PVPAM_140030100 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=CASCJQ010000014:1095927-1099706(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723382.1         -            783 3852at5820           -            646         0 1194.8  84.0   3   3  1.2e-190  1.9e-187  623.1  21.8   334   646   443   778   421   778 0.96 | transcript=PVPAM_140030100_t1 | gene=PVPAM_140030100 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=CASCJQ010000014:1095927-1099706(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723381.1         -           1164 3852at5820           -            646   1.5e-63  213.7  22.3   1   4       2.5     4e+03   -5.8   9.6   244   397   241   388   223   396 0.72 | transcript=PVPAM_140030000_t1 | gene=PVPAM_140030000 | organism=Plasmodium_vivax_PAM | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=CASCJQ010000014:1087357-1092596(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723381.1         -           1164 3852at5820           -            646   1.5e-63  213.7  22.3   2   4   2.7e-05     0.044   10.6  33.3    12   275   415   695   406   767 0.67 | transcript=PVPAM_140030000_t1 | gene=PVPAM_140030000 | organism=Plasmodium_vivax_PAM | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=CASCJQ010000014:1087357-1092596(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723381.1         -           1164 3852at5820           -            646   1.5e-63  213.7  22.3   3   4   9.1e-67   1.5e-63  213.7  22.3   323   623   815  1124   757  1132 0.87 | transcript=PVPAM_140030000_t1 | gene=PVPAM_140030000 | organism=Plasmodium_vivax_PAM | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=CASCJQ010000014:1087357-1092596(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723381.1         -           1164 3852at5820           -            646   1.5e-63  213.7  22.3   4   4      0.15   2.5e+02   -1.8   0.6   607   629  1133  1155  1122  1162 0.83 | transcript=PVPAM_140030000_t1 | gene=PVPAM_140030000 | organism=Plasmodium_vivax_PAM | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=CASCJQ010000014:1087357-1092596(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722739.1         -           1005 3852at5820           -            646   4.7e-45  152.6  29.7   1   4       0.7   1.1e+03   -4.0   0.4   606   628    91   113    78   115 0.86 | transcript=PVPAM_130024000_t1 | gene=PVPAM_130024000 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=CASCJQ010000013:862745-866256(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722739.1         -           1005 3852at5820           -            646   4.7e-45  152.6  29.7   2   4         4   6.5e+03   -9.7   6.6    74   108   285   320   256   341 0.50 | transcript=PVPAM_130024000_t1 | gene=PVPAM_130024000 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=CASCJQ010000013:862745-866256(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722739.1         -           1005 3852at5820           -            646   4.7e-45  152.6  29.7   3   4         4   6.5e+03  -13.2  10.6    77   103   406   429   377   458 0.35 | transcript=PVPAM_130024000_t1 | gene=PVPAM_130024000 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=CASCJQ010000013:862745-866256(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722739.1         -           1005 3852at5820           -            646   4.7e-45  152.6  29.7   4   4   2.9e-48   4.7e-45  152.6  29.7   236   623   582   982   563   995 0.78 | transcript=PVPAM_130024000_t1 | gene=PVPAM_130024000 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=CASCJQ010000013:862745-866256(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
