#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719782.1         -            884 6632at5820           -            510  2.1e-147  490.7   1.2   1   9     9e-38   5.8e-34  116.4   1.3     1   115     1   156     1   160 0.89 | transcript=PVPAM_070039600_t1 | gene=PVPAM_070039600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1436405-1439059(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719782.1         -            884 6632at5820           -            510  2.1e-147  490.7   1.2   2   9   1.9e-22   1.2e-18   65.9   0.1   110   178   177   246   174   249 0.93 | transcript=PVPAM_070039600_t1 | gene=PVPAM_070039600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1436405-1439059(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719782.1         -            884 6632at5820           -            510  2.1e-147  490.7   1.2   3   9   3.2e-31     2e-27   94.8   0.1   179   259   272   356   270   362 0.93 | transcript=PVPAM_070039600_t1 | gene=PVPAM_070039600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1436405-1439059(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719782.1         -            884 6632at5820           -            510  2.1e-147  490.7   1.2   4   9   4.3e-11   2.8e-07   28.4   0.0   259   308   385   442   382   448 0.84 | transcript=PVPAM_070039600_t1 | gene=PVPAM_070039600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1436405-1439059(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719782.1         -            884 6632at5820           -            510  2.1e-147  490.7   1.2   5   9   8.3e-11   5.4e-07   27.4   0.0   305   347   462   510   457   515 0.86 | transcript=PVPAM_070039600_t1 | gene=PVPAM_070039600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1436405-1439059(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719782.1         -            884 6632at5820           -            510  2.1e-147  490.7   1.2   6   9   1.3e-05     0.084   10.3   0.0   339   364   550   575   543   580 0.83 | transcript=PVPAM_070039600_t1 | gene=PVPAM_070039600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1436405-1439059(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719782.1         -            884 6632at5820           -            510  2.1e-147  490.7   1.2   7   9   8.2e-09   5.3e-05   20.9   0.0   364   388   603   627   598   636 0.89 | transcript=PVPAM_070039600_t1 | gene=PVPAM_070039600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1436405-1439059(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719782.1         -            884 6632at5820           -            510  2.1e-147  490.7   1.2   8   9   3.4e-15   2.2e-11   41.9   0.0   385   427   664   707   661   711 0.91 | transcript=PVPAM_070039600_t1 | gene=PVPAM_070039600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1436405-1439059(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719782.1         -            884 6632at5820           -            510  2.1e-147  490.7   1.2   9   9   3.5e-23   2.2e-19   68.3   0.0   425   509   781   882   776   883 0.83 | transcript=PVPAM_070039600_t1 | gene=PVPAM_070039600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1436405-1439059(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6632at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6632at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6632at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:49 2026
# [ok]
