#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720112.1         -            108 14695at5820          -             87   3.7e-57  189.2  15.1   1   1     9e-60   7.3e-57  188.3  15.1     1    87    12   106    12   106 0.97 | transcript=PVPAM_080033400_t1 | gene=PVPAM_080033400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=CASCJQ010000008:1279894-1280220(+) | protein_length=108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721388.1         -             89 14695at5820          -             87   1.5e-10   39.9  12.7   1   1   4.3e-13   3.5e-10   38.7  12.7     3    84     5    83     3    86 0.86 | transcript=PVPAM_110029100_t1 | gene=PVPAM_110029100 | organism=Plasmodium_vivax_PAM | gene_product=anaphase-promoting complex subunit 11, putative | transcript_product=anaphase-promoting complex subunit 11, putative | location=CASCJQ010000011:1048379-1048648(-) | protein_length=89 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722913.1         -            520 14695at5820          -             87    0.0098   14.8   2.8   1   2       2.4     2e+03   -2.2   0.0    19    29   295   305   292   311 0.82 | transcript=PVPAM_130041500_t1 | gene=PVPAM_130041500 | organism=Plasmodium_vivax_PAM | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=CASCJQ010000013:1614114-1616407(-) | protein_length=520 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722913.1         -            520 14695at5820          -             87    0.0098   14.8   2.8   2   2   1.7e-05     0.014   14.3   0.9    55    82   313   340   309   345 0.89 | transcript=PVPAM_130041500_t1 | gene=PVPAM_130041500 | organism=Plasmodium_vivax_PAM | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=CASCJQ010000013:1614114-1616407(-) | protein_length=520 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720838.1         -            284 14695at5820          -             87     0.016   14.1   3.2   1   2       5.7   4.6e+03   -3.4   0.0    10    41     8    39     6    44 0.65 | transcript=PVPAM_100010300_t1 | gene=PVPAM_100010300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000010:253460-254795(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720838.1         -            284 14695at5820          -             87     0.016   14.1   3.2   2   2   5.7e-05     0.046   12.6   2.1    55    78   253   276   224   281 0.81 | transcript=PVPAM_100010300_t1 | gene=PVPAM_100010300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000010:253460-254795(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720156.1         -           1194 14695at5820          -             87     0.017   14.0   1.1   1   1     6e-05     0.048   12.6   1.1    52    79  1161  1188  1134  1193 0.85 | transcript=PVPAM_080037800_t1 | gene=PVPAM_080037800 | organism=Plasmodium_vivax_PAM | gene_product=RING finger protein RNF1, putative | transcript_product=RING finger protein RNF1, putative | location=CASCJQ010000008:1496683-1500267(+) | protein_length=1194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719236.1         -            272 14695at5820          -             87     0.027   13.4   1.1   1   1   8.2e-05     0.066   12.1   1.1    48    77   229   258   212   266 0.86 | transcript=PVPAM_060024300_t1 | gene=PVPAM_060024300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000006:822169-822987(-) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719938.1         -           1167 14695at5820          -             87     0.029   13.3   3.2   1   1   9.9e-05      0.08   11.9   3.2    33    77   370   413   349   419 0.72 | transcript=PVPAM_080016100_t1 | gene=PVPAM_080016100 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000008:552494-555997(-) | protein_length=1167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720240.1         -            391 14695at5820          -             87      0.37    9.7   4.6   1   2   0.00062       0.5    9.3   0.5    36    80   228   271   199   278 0.72 | transcript=PVPAM_080046300_t1 | gene=PVPAM_080046300 | organism=Plasmodium_vivax_PAM | gene_product=activator of Hsp90 ATPase, putative | transcript_product=activator of Hsp90 ATPase, putative | location=CASCJQ010000008:1794366-1796340(-) | protein_length=391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720240.1         -            391 14695at5820          -             87      0.37    9.7   4.6   2   2      0.18   1.4e+02    1.4   0.3    16    53   287   326   273   347 0.65 | transcript=PVPAM_080046300_t1 | gene=PVPAM_080046300 | organism=Plasmodium_vivax_PAM | gene_product=activator of Hsp90 ATPase, putative | transcript_product=activator of Hsp90 ATPase, putative | location=CASCJQ010000008:1794366-1796340(-) | protein_length=391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14695at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14695at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14695at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:13 2026
# [ok]
