#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723764.1         -            330 10503at5820          -            265  3.3e-131  435.0  23.6   1   3     7e-67     9e-64  214.0   6.6     1   125     1   133     1   142 0.91 | transcript=PVPAM_140068700_t1 | gene=PVPAM_140068700 | organism=Plasmodium_vivax_PAM | gene_product=syntaxin-16, putative | transcript_product=syntaxin-16, putative | location=CASCJQ010000014:2728479-2729471(+) | protein_length=330 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723764.1         -            330 10503at5820          -            265  3.3e-131  435.0  23.6   2   3   1.7e-20   2.2e-17   61.9   0.3   123   167   161   205   152   216 0.91 | transcript=PVPAM_140068700_t1 | gene=PVPAM_140068700 | organism=Plasmodium_vivax_PAM | gene_product=syntaxin-16, putative | transcript_product=syntaxin-16, putative | location=CASCJQ010000014:2728479-2729471(+) | protein_length=330 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723764.1         -            330 10503at5820          -            265  3.3e-131  435.0  23.6   3   3   3.4e-53   4.4e-50  169.1   3.4   167   265   229   330   221   330 0.93 | transcript=PVPAM_140068700_t1 | gene=PVPAM_140068700 | organism=Plasmodium_vivax_PAM | gene_product=syntaxin-16, putative | transcript_product=syntaxin-16, putative | location=CASCJQ010000014:2728479-2729471(+) | protein_length=330 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722034.1         -            281 10503at5820          -            265   8.3e-06   23.9   0.9   1   2     0.042        54    1.6   0.4    98   148    35    84    23   114 0.74 | transcript=PVPAM_120027300_t1 | gene=PVPAM_120027300 | organism=Plasmodium_vivax_PAM | gene_product=syntaxin, Qa-SNARE family, putative | transcript_product=syntaxin, Qa-SNARE family, putative | location=CASCJQ010000012:873487-875027(+) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722034.1         -            281 10503at5820          -            265   8.3e-06   23.9   0.9   2   2   6.4e-09   8.3e-06   23.9   0.9   176   261   193   279   180   281 0.84 | transcript=PVPAM_120027300_t1 | gene=PVPAM_120027300 | organism=Plasmodium_vivax_PAM | gene_product=syntaxin, Qa-SNARE family, putative | transcript_product=syntaxin, Qa-SNARE family, putative | location=CASCJQ010000012:873487-875027(+) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722361.1         -            212 10503at5820          -            265   0.00017   19.7   4.6   1   2     0.037        48    1.8   3.1   149   189    40    81    18   105 0.71 | transcript=PVPAM_120059700_t1 | gene=PVPAM_120059700 | organism=Plasmodium_vivax_PAM | gene_product=syntaxin-6, putative | transcript_product=syntaxin-6, putative | location=CASCJQ010000012:2217035-2218793(+) | protein_length=212 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722361.1         -            212 10503at5820          -            265   0.00017   19.7   4.6   2   2   1.3e-07   0.00017   19.7   4.6   168   261   116   211    86   212 0.77 | transcript=PVPAM_120059700_t1 | gene=PVPAM_120059700 | organism=Plasmodium_vivax_PAM | gene_product=syntaxin-6, putative | transcript_product=syntaxin-6, putative | location=CASCJQ010000012:2217035-2218793(+) | protein_length=212 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720330.1         -            362 10503at5820          -            265    0.0002   19.4   5.7   1   2     0.027        35    2.2   8.7    63   167    26   132     9   157 0.66 | transcript=PVPAM_090009600_t1 | gene=PVPAM_090009600 | organism=Plasmodium_vivax_PAM | gene_product=syntaxin, Qa-SNARE family, putative | transcript_product=syntaxin, Qa-SNARE family, putative | location=CASCJQ010000009:302350-304112(-) | protein_length=362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720330.1         -            362 10503at5820          -            265    0.0002   19.4   5.7   2   2   1.5e-07    0.0002   19.4   5.7   172   259   268   355   253   360 0.79 | transcript=PVPAM_090009600_t1 | gene=PVPAM_090009600 | organism=Plasmodium_vivax_PAM | gene_product=syntaxin, Qa-SNARE family, putative | transcript_product=syntaxin, Qa-SNARE family, putative | location=CASCJQ010000009:302350-304112(-) | protein_length=362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721705.1         -            249 10503at5820          -            265    0.0033   15.4   1.5   1   1   3.2e-06    0.0042   15.1   1.5    87   252    50   220    15   234 0.69 | transcript=PVPAM_110060700_t1 | gene=PVPAM_110060700 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000011:2374104-2374958(+) | protein_length=249 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
