#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719471.1         -            206 11314at5820          -            167    5e-119  392.7   3.7   1   1  1.6e-121  5.9e-119  392.4   3.7     1   167    17   183    17   183 1.00 | transcript=PVPAM_070008500_t1 | gene=PVPAM_070008500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=CASCJQ010000007:187577-189993(-) | protein_length=206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721008.1         -            200 11314at5820          -            167     7e-32  109.2   3.3   1   1   2.4e-34   8.8e-32  108.8   3.3     1   165    17   176    17   179 0.90 | transcript=PVPAM_100027700_t1 | gene=PVPAM_100027700 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=CASCJQ010000010:968337-969961(-) | protein_length=200 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723650.1         -            213 11314at5820          -            167   8.6e-32  108.9   0.0   1   1   3.2e-34   1.1e-31  108.5   0.0     2   159    17   168    16   174 0.93 | transcript=PVPAM_140057400_t1 | gene=PVPAM_140057400 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=CASCJQ010000014:2254682-2256145(+) | protein_length=213 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720996.1         -            207 11314at5820          -            167   1.2e-28   98.7   0.8   1   1   3.9e-31   1.4e-28   98.4   0.8     1   164    21   179    21   182 0.93 | transcript=PVPAM_100026500_t1 | gene=PVPAM_100026500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=CASCJQ010000010:930208-930831(+) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717749.1         -            201 11314at5820          -            167   1.2e-28   98.6   3.6   1   1   4.5e-31   1.6e-28   98.2   3.6     1   159    19   172    19   177 0.89 | transcript=PVPAM_010026300_t1 | gene=PVPAM_010026300 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=CASCJQ010000001:951416-952500(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723372.1         -            216 11314at5820          -            167   2.2e-28   97.8   1.7   1   1   8.7e-31   3.1e-28   97.3   1.7     1   157    20   172    20   186 0.90 | transcript=PVPAM_140029100_t1 | gene=PVPAM_140029100 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=CASCJQ010000014:1044385-1045933(+) | protein_length=216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720733.1         -            207 11314at5820          -            167   2.6e-28   97.6   0.4   1   1   9.4e-31   3.4e-28   97.2   0.4     2   158    21   172    20   181 0.93 | transcript=PVPAM_090049800_t1 | gene=PVPAM_090049800 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=CASCJQ010000009:1997786-1999218(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717926.1         -            194 11314at5820          -            167     4e-27   93.7   0.4   1   1   1.5e-29   5.3e-27   93.3   0.4     2   158    17   168    16   177 0.87 | transcript=PVPAM_020015800_t1 | gene=PVPAM_020015800 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=CASCJQ010000002:455366-457119(-) | protein_length=194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721950.1         -            229 11314at5820          -            167     3e-24   84.3   0.1   1   1   1.2e-26   4.1e-24   83.9   0.1     2   158    19   175    18   185 0.85 | transcript=PVPAM_120018600_t1 | gene=PVPAM_120018600 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=CASCJQ010000012:585822-587159(+) | protein_length=229 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723272.1         -            205 11314at5820          -            167     1e-23   82.6   0.1   1   1   3.8e-26   1.4e-23   82.2   0.1     1   157    41   191    41   198 0.90 | transcript=PVPAM_140019100_t1 | gene=PVPAM_140019100 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=CASCJQ010000014:641770-643260(-) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718501.1         -            245 11314at5820          -            167   1.8e-20   72.0   6.9   1   2    0.0029         1    7.7   0.1     1    44    15    56    15    70 0.86 | transcript=PVPAM_040024500_t1 | gene=PVPAM_040024500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=CASCJQ010000004:818004-818741(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
