#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719662.1         -           1441 2771at5820           -            662    4e-293  972.3 119.7   1   9   6.5e-46     7e-43  145.4   5.9     1   103     3   105     3   122 0.89 | transcript=PVPAM_070027600_t1 | gene=PVPAM_070027600 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=CASCJQ010000007:990105-995619(+) | protein_length=1441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719662.1         -           1441 2771at5820           -            662    4e-293  972.3 119.7   2   9   1.6e-34   1.7e-31  107.8   6.0    90   158   154   222   115   227 0.86 | transcript=PVPAM_070027600_t1 | gene=PVPAM_070027600 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=CASCJQ010000007:990105-995619(+) | protein_length=1441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719662.1         -           1441 2771at5820           -            662    4e-293  972.3 119.7   3   9       0.3   3.2e+02   -2.2   3.3   158   185   370   396   288   417 0.68 | transcript=PVPAM_070027600_t1 | gene=PVPAM_070027600 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=CASCJQ010000007:990105-995619(+) | protein_length=1441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719662.1         -           1441 2771at5820           -            662    4e-293  972.3 119.7   4   9       0.4   4.3e+02   -2.6   9.9   157   181   455   479   446   499 0.72 | transcript=PVPAM_070027600_t1 | gene=PVPAM_070027600 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=CASCJQ010000007:990105-995619(+) | protein_length=1441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719662.1         -           1441 2771at5820           -            662    4e-293  972.3 119.7   5   9      0.11   1.1e+02   -0.7  12.3   158   197   500   537   492   559 0.69 | transcript=PVPAM_070027600_t1 | gene=PVPAM_070027600 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=CASCJQ010000007:990105-995619(+) | protein_length=1441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719662.1         -           1441 2771at5820           -            662    4e-293  972.3 119.7   6   9    1e-123  1.1e-120  402.5  18.0   202   420   658   889   602   907 0.89 | transcript=PVPAM_070027600_t1 | gene=PVPAM_070027600 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=CASCJQ010000007:990105-995619(+) | protein_length=1441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719662.1         -           1441 2771at5820           -            662    4e-293  972.3 119.7   7   9   2.8e-18     3e-15   54.1   1.2   410   458   921   973   910   995 0.88 | transcript=PVPAM_070027600_t1 | gene=PVPAM_070027600 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=CASCJQ010000007:990105-995619(+) | protein_length=1441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719662.1         -           1441 2771at5820           -            662    4e-293  972.3 119.7   8   9   1.2e-09   1.3e-06   25.5   4.0   478   519  1155  1197  1128  1202 0.76 | transcript=PVPAM_070027600_t1 | gene=PVPAM_070027600 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=CASCJQ010000007:990105-995619(+) | protein_length=1441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719662.1         -           1441 2771at5820           -            662    4e-293  972.3 119.7   9   9   5.4e-88   5.8e-85  284.5   0.2   517   662  1279  1433  1263  1433 0.95 | transcript=PVPAM_070027600_t1 | gene=PVPAM_070027600 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=CASCJQ010000007:990105-995619(+) | protein_length=1441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 2771at5820           -            662   2.1e-44  150.4   0.8   1   4   4.1e-13   4.4e-10   37.0   0.0     6    78     2    74     1    78 0.96 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 2771at5820           -            662   2.1e-44  150.4   0.8   2   4   3.7e-13   3.9e-10   37.2   0.0     4    78    76   150    73   154 0.95 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
