#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717904.1         -           1087 1806at5820           -            857         0 1369.4   3.2   1   4    6e-162  1.3e-158  527.7   0.0     1   284    14   304    14   322 0.96 | transcript=PVPAM_020013600_t1 | gene=PVPAM_020013600 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000002:370344-373811(-) | protein_length=1087 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717904.1         -           1087 1806at5820           -            857         0 1369.4   3.2   2   4    1e-195  2.2e-192  639.4   0.1   283   699   360   846   351   861 0.91 | transcript=PVPAM_020013600_t1 | gene=PVPAM_020013600 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000002:370344-373811(-) | protein_length=1087 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717904.1         -           1087 1806at5820           -            857         0 1369.4   3.2   3   4   5.5e-14   1.2e-10   38.2   0.0   709   753   893   939   866   952 0.86 | transcript=PVPAM_020013600_t1 | gene=PVPAM_020013600 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000002:370344-373811(-) | protein_length=1087 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717904.1         -           1087 1806at5820           -            857         0 1369.4   3.2   4   4   8.9e-51   1.9e-47  160.0   0.0   749   857   966  1086   958  1086 0.91 | transcript=PVPAM_020013600_t1 | gene=PVPAM_020013600 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000002:370344-373811(-) | protein_length=1087 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722370.1         -            862 1806at5820           -            857  8.8e-124  412.5  18.4   1   3     6e-86   1.3e-82  276.3   3.6    11   281    25   300    17   322 0.93 | transcript=PVPAM_120060600_t1 | gene=PVPAM_120060600 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000012:2256261-2259009(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722370.1         -            862 1806at5820           -            857  8.8e-124  412.5  18.4   2   3     2e-40   4.3e-37  125.7   6.7   279   612   326   686   315   705 0.82 | transcript=PVPAM_120060600_t1 | gene=PVPAM_120060600 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000012:2256261-2259009(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722370.1         -            862 1806at5820           -            857  8.8e-124  412.5  18.4   3   3   6.5e-07    0.0014   14.8   0.0   717   842   705   847   694   859 0.66 | transcript=PVPAM_120060600_t1 | gene=PVPAM_120060600 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000012:2256261-2259009(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723061.1         -           1306 1806at5820           -            857   2.2e-12   43.9   6.7   1   4    0.0083        18    1.2   0.1   611   674   284   347   257   410 0.76 | transcript=PVPAM_130056700_t1 | gene=PVPAM_130056700 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000013:2296955-2300875(-) | protein_length=1306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723061.1         -           1306 1806at5820           -            857   2.2e-12   43.9   6.7   2   4   6.2e-08   0.00013   18.2   0.1   649   697   727   783   681   805 0.63 | transcript=PVPAM_130056700_t1 | gene=PVPAM_130056700 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000013:2296955-2300875(-) | protein_length=1306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723061.1         -           1306 1806at5820           -            857   2.2e-12   43.9   6.7   3   4   1.1e-05     0.023   10.8   0.1   652   674  1127  1150  1113  1169 0.87 | transcript=PVPAM_130056700_t1 | gene=PVPAM_130056700 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000013:2296955-2300875(-) | protein_length=1306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723061.1         -           1306 1806at5820           -            857   2.2e-12   43.9   6.7   4   4   1.2e-06    0.0025   14.0   0.0   651   699  1239  1294  1228  1306 0.71 | transcript=PVPAM_130056700_t1 | gene=PVPAM_130056700 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000013:2296955-2300875(-) | protein_length=1306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
