#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722995.1         -           1263 2674at5820           -            536  6.4e-167  554.9  59.5   1   9     2e-48   6.4e-45  152.2   4.9     4   108    46   153    42   160 0.91 | transcript=PVPAM_130050100_t1 | gene=PVPAM_130050100 | organism=Plasmodium_vivax_PAM | gene_product=DET1 domain-containing protein, putative | transcript_product=DET1 domain-containing protein, putative | location=CASCJQ010000013:1989815-1995560(+) | protein_length=1263 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722995.1         -           1263 2674at5820           -            536  6.4e-167  554.9  59.5   2   9   5.5e-21   1.8e-17   61.7   0.5   121   183   233   303   214   313 0.88 | transcript=PVPAM_130050100_t1 | gene=PVPAM_130050100 | organism=Plasmodium_vivax_PAM | gene_product=DET1 domain-containing protein, putative | transcript_product=DET1 domain-containing protein, putative | location=CASCJQ010000013:1989815-1995560(+) | protein_length=1263 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722995.1         -           1263 2674at5820           -            536  6.4e-167  554.9  59.5   3   9   1.2e-22   3.8e-19   67.2   0.0   180   237   326   385   318   393 0.89 | transcript=PVPAM_130050100_t1 | gene=PVPAM_130050100 | organism=Plasmodium_vivax_PAM | gene_product=DET1 domain-containing protein, putative | transcript_product=DET1 domain-containing protein, putative | location=CASCJQ010000013:1989815-1995560(+) | protein_length=1263 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722995.1         -           1263 2674at5820           -            536  6.4e-167  554.9  59.5   4   9    0.0087        28    1.6   0.4   233   255   403   425   398   446 0.78 | transcript=PVPAM_130050100_t1 | gene=PVPAM_130050100 | organism=Plasmodium_vivax_PAM | gene_product=DET1 domain-containing protein, putative | transcript_product=DET1 domain-containing protein, putative | location=CASCJQ010000013:1989815-1995560(+) | protein_length=1263 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722995.1         -           1263 2674at5820           -            536  6.4e-167  554.9  59.5   5   9   4.4e-05      0.14    9.2   3.3   247   274   452   482   420   486 0.65 | transcript=PVPAM_130050100_t1 | gene=PVPAM_130050100 | organism=Plasmodium_vivax_PAM | gene_product=DET1 domain-containing protein, putative | transcript_product=DET1 domain-containing protein, putative | location=CASCJQ010000013:1989815-1995560(+) | protein_length=1263 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722995.1         -           1263 2674at5820           -            536  6.4e-167  554.9  59.5   6   9   5.6e-10   1.8e-06   25.4   0.3   273   326   503   557   492   567 0.68 | transcript=PVPAM_130050100_t1 | gene=PVPAM_130050100 | organism=Plasmodium_vivax_PAM | gene_product=DET1 domain-containing protein, putative | transcript_product=DET1 domain-containing protein, putative | location=CASCJQ010000013:1989815-1995560(+) | protein_length=1263 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722995.1         -           1263 2674at5820           -            536  6.4e-167  554.9  59.5   7   9   1.2e-08   3.9e-05   21.0   0.1   308   350   591   633   586   648 0.81 | transcript=PVPAM_130050100_t1 | gene=PVPAM_130050100 | organism=Plasmodium_vivax_PAM | gene_product=DET1 domain-containing protein, putative | transcript_product=DET1 domain-containing protein, putative | location=CASCJQ010000013:1989815-1995560(+) | protein_length=1263 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722995.1         -           1263 2674at5820           -            536  6.4e-167  554.9  59.5   8   9   2.6e-23   8.3e-20   69.4   7.0   334   430   776   881   739   897 0.75 | transcript=PVPAM_130050100_t1 | gene=PVPAM_130050100 | organism=Plasmodium_vivax_PAM | gene_product=DET1 domain-containing protein, putative | transcript_product=DET1 domain-containing protein, putative | location=CASCJQ010000013:1989815-1995560(+) | protein_length=1263 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722995.1         -           1263 2674at5820           -            536  6.4e-167  554.9  59.5   9   9   9.5e-56   3.1e-52  176.4   0.1   433   536  1095  1201  1086  1201 0.96 | transcript=PVPAM_130050100_t1 | gene=PVPAM_130050100 | organism=Plasmodium_vivax_PAM | gene_product=DET1 domain-containing protein, putative | transcript_product=DET1 domain-containing protein, putative | location=CASCJQ010000013:1989815-1995560(+) | protein_length=1263 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721634.1         -            628 2674at5820           -            536      0.57    7.2  15.0   1   2   6.1e-06      0.02   12.0   9.0   236   374    40   180    26   200 0.84 | transcript=PVPAM_110053800_t1 | gene=PVPAM_110053800 | organism=Plasmodium_vivax_PAM | gene_product=PIR protein | transcript_product=PIR protein | location=CASCJQ010000011:2068250-2070597(-) | protein_length=628 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721634.1         -            628 2674at5820           -            536      0.57    7.2  15.0   2   2      0.36   1.2e+03   -3.7   0.3    47    59   589   601   582   607 0.43 | transcript=PVPAM_110053800_t1 | gene=PVPAM_110053800 | organism=Plasmodium_vivax_PAM | gene_product=PIR protein | transcript_product=PIR protein | location=CASCJQ010000011:2068250-2070597(-) | protein_length=628 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
