#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723655.1         -           1089 2430at5820           -            789         0 1586.0  61.9   1   4   3.3e-42   2.6e-39  133.4  13.1     8   103    41   142    35   149 0.92 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723655.1         -           1089 2430at5820           -            789         0 1586.0  61.9   2   4   1.3e-08   1.1e-05   22.3   0.7   102   159   164   226   158   233 0.65 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723655.1         -           1089 2430at5820           -            789         0 1586.0  61.9   3   4  8.1e-210  6.5e-207  687.8   9.6   125   437   357   671   351   673 0.99 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723655.1         -           1089 2430at5820           -            789         0 1586.0  61.9   4   4  1.4e-231  1.2e-228  759.7  15.9   435   789   722  1085   711  1085 0.97 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719618.1         -            840 2430at5820           -            789  1.2e-166  554.6   0.9   1   1    2e-169  1.6e-166  554.2   0.9   155   787   174   818   158   820 0.91 | transcript=PVPAM_070023200_t1 | gene=PVPAM_070023200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000007:816022-818544(-) | protein_length=840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719256.1         -           1230 2430at5820           -            789  2.8e-164  546.8   8.4   1   1  5.8e-167  4.6e-164  546.0   8.4   163   775   564  1179   547  1194 0.94 | transcript=PVPAM_060026300_t1 | gene=PVPAM_060026300 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000006:890977-895342(-) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721214.1         -           1127 2430at5820           -            789  2.6e-145  484.0  40.6   1   3      0.33   2.7e+02   -2.1   2.3    64   113   154   205   150   217 0.80 | transcript=PVPAM_110011600_t1 | gene=PVPAM_110011600 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=CASCJQ010000011:251214-254597(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721214.1         -           1127 2430at5820           -            789  2.6e-145  484.0  40.6   2   3     3e-71   2.4e-68  229.5  12.5    82   409   342   676   268   679 0.77 | transcript=PVPAM_110011600_t1 | gene=PVPAM_110011600 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=CASCJQ010000011:251214-254597(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721214.1         -           1127 2430at5820           -            789  2.6e-145  484.0  40.6   3   3   3.5e-83   2.9e-80  268.9   9.0   412   777   748  1110   735  1123 0.90 | transcript=PVPAM_110011600_t1 | gene=PVPAM_110011600 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=CASCJQ010000011:251214-254597(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 2430at5820           -            789   1.5e-89  299.7  14.8   1   5   5.2e-08   4.2e-05   20.4   0.1   169   208     3    42     1    53 0.89 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 2430at5820           -            789   1.5e-89  299.7  14.8   2   5   8.7e-42   7.1e-39  132.0   0.1   219   378    76   236    67   243 0.97 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
