#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721436.1         -           1314 1244at5820           -           1042         0 1765.5  63.2   1   5   4.5e-84   1.5e-80  270.1   8.4     2   154     5   160     4   162 0.97 | transcript=PVPAM_110034200_t1 | gene=PVPAM_110034200 | organism=Plasmodium_vivax_PAM | gene_product=acyl-CoA synthetase, putative | transcript_product=acyl-CoA synthetase, putative | location=CASCJQ010000011:1235158-1239102(+) | protein_length=1314 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721436.1         -           1314 1244at5820           -           1042         0 1765.5  63.2   2   5  3.6e-182  1.1e-178  594.9   8.1   154   463   187   520   182   527 0.96 | transcript=PVPAM_110034200_t1 | gene=PVPAM_110034200 | organism=Plasmodium_vivax_PAM | gene_product=acyl-CoA synthetase, putative | transcript_product=acyl-CoA synthetase, putative | location=CASCJQ010000011:1235158-1239102(+) | protein_length=1314 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721436.1         -           1314 1244at5820           -           1042         0 1765.5  63.2   3   5  2.1e-102   6.6e-99  330.8   1.3   456   679   550   808   544   819 0.90 | transcript=PVPAM_110034200_t1 | gene=PVPAM_110034200 | organism=Plasmodium_vivax_PAM | gene_product=acyl-CoA synthetase, putative | transcript_product=acyl-CoA synthetase, putative | location=CASCJQ010000011:1235158-1239102(+) | protein_length=1314 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721436.1         -           1314 1244at5820           -           1042         0 1765.5  63.2   4   5   7.7e-82   2.5e-78  262.7  14.0   677   860   843  1064   818  1068 0.85 | transcript=PVPAM_110034200_t1 | gene=PVPAM_110034200 | organism=Plasmodium_vivax_PAM | gene_product=acyl-CoA synthetase, putative | transcript_product=acyl-CoA synthetase, putative | location=CASCJQ010000011:1235158-1239102(+) | protein_length=1314 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721436.1         -           1314 1244at5820           -           1042         0 1765.5  63.2   5   5  3.2e-102     1e-98  330.2   1.1   862  1042  1118  1313  1110  1313 0.95 | transcript=PVPAM_110034200_t1 | gene=PVPAM_110034200 | organism=Plasmodium_vivax_PAM | gene_product=acyl-CoA synthetase, putative | transcript_product=acyl-CoA synthetase, putative | location=CASCJQ010000011:1235158-1239102(+) | protein_length=1314 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721355.1         -            990 1244at5820           -           1042   3.8e-09   33.7   0.8   1   4     0.019        60   -0.1   0.0    23    71   137   185   126   198 0.83 | transcript=PVPAM_110025800_t1 | gene=PVPAM_110025800 | organism=Plasmodium_vivax_PAM | gene_product=acetyl-CoA synthetase, putative | transcript_product=acetyl-CoA synthetase, putative | location=CASCJQ010000011:913238-916210(+) | protein_length=990 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721355.1         -            990 1244at5820           -           1042   3.8e-09   33.7   0.8   2   4     8e-06     0.026   11.1   0.0   120   275   483   643   435   660 0.74 | transcript=PVPAM_110025800_t1 | gene=PVPAM_110025800 | organism=Plasmodium_vivax_PAM | gene_product=acetyl-CoA synthetase, putative | transcript_product=acetyl-CoA synthetase, putative | location=CASCJQ010000011:913238-916210(+) | protein_length=990 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721355.1         -            990 1244at5820           -           1042   3.8e-09   33.7   0.8   3   4   7.8e-08   0.00025   17.7   0.0   395   446   760   811   740   831 0.85 | transcript=PVPAM_110025800_t1 | gene=PVPAM_110025800 | organism=Plasmodium_vivax_PAM | gene_product=acetyl-CoA synthetase, putative | transcript_product=acetyl-CoA synthetase, putative | location=CASCJQ010000011:913238-916210(+) | protein_length=990 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721355.1         -            990 1244at5820           -           1042   3.8e-09   33.7   0.8   4   4     0.045   1.5e+02   -1.4   0.0   461   514   905   959   899   981 0.68 | transcript=PVPAM_110025800_t1 | gene=PVPAM_110025800 | organism=Plasmodium_vivax_PAM | gene_product=acetyl-CoA synthetase, putative | transcript_product=acetyl-CoA synthetase, putative | location=CASCJQ010000011:913238-916210(+) | protein_length=990 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1244at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1244at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1244at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:54 2026
# [ok]
