#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722392.1         -           1372 2267at5820           -            910         0 1179.3 103.3   1   7   3.8e-98   6.2e-95  317.7  12.2     1   212     1   216     1   228 0.84 | transcript=PVPAM_120062800_t1 | gene=PVPAM_120062800 | organism=Plasmodium_vivax_PAM | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=CASCJQ010000012:2356275-2360590(+) | protein_length=1372 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722392.1         -           1372 2267at5820           -            910         0 1179.3 103.3   2   7   6.9e-39   1.1e-35  121.6  22.4   202   330   286   439   236   481 0.75 | transcript=PVPAM_120062800_t1 | gene=PVPAM_120062800 | organism=Plasmodium_vivax_PAM | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=CASCJQ010000012:2356275-2360590(+) | protein_length=1372 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722392.1         -           1372 2267at5820           -            910         0 1179.3 103.3   3   7   8.8e-07    0.0014   15.3   5.1   322   366   477   523   465   528 0.82 | transcript=PVPAM_120062800_t1 | gene=PVPAM_120062800 | organism=Plasmodium_vivax_PAM | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=CASCJQ010000012:2356275-2360590(+) | protein_length=1372 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722392.1         -           1372 2267at5820           -            910         0 1179.3 103.3   4   7   5.2e-12   8.4e-09   32.6   8.4   420   492   648   719   582   814 0.74 | transcript=PVPAM_120062800_t1 | gene=PVPAM_120062800 | organism=Plasmodium_vivax_PAM | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=CASCJQ010000012:2356275-2360590(+) | protein_length=1372 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722392.1         -           1372 2267at5820           -            910         0 1179.3 103.3   5   7   7.7e-06     0.012   12.2   6.6   499   578   869   959   848   963 0.67 | transcript=PVPAM_120062800_t1 | gene=PVPAM_120062800 | organism=Plasmodium_vivax_PAM | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=CASCJQ010000012:2356275-2360590(+) | protein_length=1372 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722392.1         -           1372 2267at5820           -            910         0 1179.3 103.3   6   7   1.8e-49   2.9e-46  156.6  11.0   530   663   940  1076   936  1085 0.70 | transcript=PVPAM_120062800_t1 | gene=PVPAM_120062800 | organism=Plasmodium_vivax_PAM | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=CASCJQ010000012:2356275-2360590(+) | protein_length=1372 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722392.1         -           1372 2267at5820           -            910         0 1179.3 103.3   7   7  3.1e-167    5e-164  546.3   3.1   656   908  1119  1372  1100  1372 0.94 | transcript=PVPAM_120062800_t1 | gene=PVPAM_120062800 | organism=Plasmodium_vivax_PAM | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=CASCJQ010000012:2356275-2360590(+) | protein_length=1372 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720548.1         -            318 2267at5820           -            910     0.026   11.2  25.6   1   1   2.5e-05     0.041   10.5  25.6   369   539    56   223    31   249 0.70 | transcript=PVPAM_090031400_t1 | gene=PVPAM_090031400 | organism=Plasmodium_vivax_PAM | gene_product=mediator of RNA polymerase II transcription subunit 21, putative | transcript_product=mediator of RNA polymerase II transcription subunit 21, putative | location=CASCJQ010000009:1198966-1200328(+) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723426.1         -            318 2267at5820           -            910      0.27    7.8  35.0   1   1   0.00021      0.34    7.5  35.0   382   567    81   254    42   273 0.50 | transcript=PVPAM_140034800_t1 | gene=PVPAM_140034800 | organism=Plasmodium_vivax_PAM | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=CASCJQ010000014:1267733-1269184(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718974.1         -            298 2267at5820           -            910       8.3    2.9  60.7   1   1    0.0057       9.2    2.7  60.7   430   584   142   294    81   298 0.41 | transcript=PVPAM_050036600_t1 | gene=PVPAM_050036600 | organism=Plasmodium_vivax_PAM | gene_product=ran-specific GTPase-activating protein 1, putative | transcript_product=ran-specific GTPase-activating protein 1, putative | location=CASCJQ010000005:1316265-1317533(+) | protein_length=298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
