#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720860.1         -            590 5794at5820           -            446  7.2e-261  864.0  24.5   1   3  1.2e-143  1.3e-140  467.7   2.7     1   239     1   243     1   247 0.98 | transcript=PVPAM_100012800_t1 | gene=PVPAM_100012800 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=CASCJQ010000010:345423-347695(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720860.1         -            590 5794at5820           -            446  7.2e-261  864.0  24.5   2   3   9.2e-79   9.9e-76  253.8   0.8   238   366   274   403   267   426 0.94 | transcript=PVPAM_100012800_t1 | gene=PVPAM_100012800 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=CASCJQ010000010:345423-347695(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720860.1         -            590 5794at5820           -            446  7.2e-261  864.0  24.5   3   3   8.6e-46   9.3e-43  145.1   6.5   362   446   482   585   478   585 0.85 | transcript=PVPAM_100012800_t1 | gene=PVPAM_100012800 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=CASCJQ010000010:345423-347695(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 5794at5820           -            446   1.3e-11   42.4   4.5   1   4   5.7e-05     0.061   10.6   0.0    16    72    13    70     1    75 0.84 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 5794at5820           -            446   1.3e-11   42.4   4.5   2   4   6.2e-05     0.067   10.4   0.0    16    72    89   146    76   151 0.83 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 5794at5820           -            446   1.3e-11   42.4   4.5   3   4   6.1e-05     0.066   10.5   0.0    16    72   165   222   153   230 0.84 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 5794at5820           -            446   1.3e-11   42.4   4.5   4   4   6.5e-05      0.07   10.4   0.0    16    72   241   298   227   301 0.83 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718888.1         -            889 5794at5820           -            446   1.2e-10   39.3  13.5   1   3   5.9e-06    0.0064   13.8   3.1   109   205   340   440   289   483 0.67 | transcript=PVPAM_050028000_t1 | gene=PVPAM_050028000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=CASCJQ010000005:954845-958027(-) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718888.1         -            889 5794at5820           -            446   1.2e-10   39.3  13.5   2   3   0.00019       0.2    8.9   0.3   272   309   612   650   597   666 0.76 | transcript=PVPAM_050028000_t1 | gene=PVPAM_050028000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=CASCJQ010000005:954845-958027(-) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718888.1         -            889 5794at5820           -            446   1.2e-10   39.3  13.5   3   3   1.6e-08   1.7e-05   22.3   0.1   350   412   814   872   764   879 0.78 | transcript=PVPAM_050028000_t1 | gene=PVPAM_050028000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=CASCJQ010000005:954845-958027(-) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719485.1         -           1589 5794at5820           -            446   4.4e-10   37.4   9.9   1   2   3.4e-05     0.037   11.3   0.3   110   143  1236  1269  1212  1311 0.79 | transcript=PVPAM_070009900_t1 | gene=PVPAM_070009900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=CASCJQ010000007:271893-276833(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
