#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718745.1         -            268 10390at5820          -            231  5.5e-140  463.3  21.3   1   1  6.8e-143  6.2e-140  463.1  21.3     1   231    33   264    33   264 0.99 | transcript=PVPAM_050013900_t1 | gene=PVPAM_050013900 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM3, putative | transcript_product=rhomboid protease ROM3, putative | location=CASCJQ010000005:411304-412529(-) | protein_length=268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720425.1         -            276 10390at5820          -            231   8.9e-42  142.0  17.1   1   1   1.1e-44     1e-41  141.7  17.1     2   229    43   274    42   276 0.87 | transcript=PVPAM_090019000_t1 | gene=PVPAM_090019000 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM1, putative | transcript_product=rhomboid protease ROM1, putative | location=CASCJQ010000009:684278-685731(+) | protein_length=276 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721067.1         -            633 10390at5820          -            231   4.4e-20   71.0  12.2   1   1   1.1e-22   1.1e-19   69.7  12.2    39   188   313   461   306   470 0.88 | transcript=PVPAM_100033500_t1 | gene=PVPAM_100033500 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM4, putative | transcript_product=rhomboid protease ROM4, putative | location=CASCJQ010000010:1228738-1230639(+) | protein_length=633 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723020.1         -            822 10390at5820          -            231   1.5e-17   62.7  29.3   1   1   2.6e-20   2.4e-17   62.1  29.3     3   217   586   804   584   820 0.80 | transcript=PVPAM_130052600_t1 | gene=PVPAM_130052600 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM8, putative | transcript_product=rhomboid protease ROM8, putative | location=CASCJQ010000013:2089851-2092754(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721447.1         -            273 10390at5820          -            231   3.7e-16   58.2  16.4   1   1     4e-19   3.7e-16   58.2  16.4     2   216    42   256    41   272 0.71 | transcript=PVPAM_110035200_t1 | gene=PVPAM_110035200 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM10, putative | transcript_product=rhomboid protease ROM10, putative | location=CASCJQ010000011:1280800-1282678(+) | protein_length=273 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720984.1         -            416 10390at5820          -            231    0.0011   17.4   1.5   1   2       2.9   2.7e+03   -3.6   0.1   153   175   173   193   162   200 0.56 | transcript=PVPAM_100025200_t1 | gene=PVPAM_100025200 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM9, putative | transcript_product=rhomboid protease ROM9, putative | location=CASCJQ010000010:889169-890729(+) | protein_length=416 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720984.1         -            416 10390at5820          -            231    0.0011   17.4   1.5   2   2   1.2e-06    0.0011   17.4   1.5    52   115   250   312   226   409 0.79 | transcript=PVPAM_100025200_t1 | gene=PVPAM_100025200 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM9, putative | transcript_product=rhomboid protease ROM9, putative | location=CASCJQ010000010:889169-890729(+) | protein_length=416 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721274.1         -            335 10390at5820          -            231    0.0042   15.4   4.8   1   3       2.9   2.6e+03   -3.5   0.1     3    17   105   119    94   129 0.48 | transcript=PVPAM_110017600_t1 | gene=PVPAM_110017600 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM7, putative | transcript_product=rhomboid protease ROM7, putative | location=CASCJQ010000011:537283-538290(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721274.1         -            335 10390at5820          -            231    0.0042   15.4   4.8   2   3   4.6e-06    0.0042   15.4   4.8    56   114   166   224   154   229 0.88 | transcript=PVPAM_110017600_t1 | gene=PVPAM_110017600 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM7, putative | transcript_product=rhomboid protease ROM7, putative | location=CASCJQ010000011:537283-538290(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721274.1         -            335 10390at5820          -            231    0.0042   15.4   4.8   3   3     0.027        25    3.1  10.9   115   190   253   325   226   331 0.71 | transcript=PVPAM_110017600_t1 | gene=PVPAM_110017600 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM7, putative | transcript_product=rhomboid protease ROM7, putative | location=CASCJQ010000011:537283-538290(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
