#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723456.1         -            559 6754at5820           -            365  1.7e-227  752.9  27.6   1   3   2.5e-21   2.7e-18   64.6   3.7     1    48    26    73    26    80 0.94 | transcript=PVPAM_140037800_t1 | gene=PVPAM_140037800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=CASCJQ010000014:1410342-1413715(+) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723456.1         -            559 6754at5820           -            365  1.7e-227  752.9  27.6   2   3   6.9e-89   7.5e-86  286.8   4.8    31   177    80   224    71   230 0.93 | transcript=PVPAM_140037800_t1 | gene=PVPAM_140037800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=CASCJQ010000014:1410342-1413715(+) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723456.1         -            559 6754at5820           -            365  1.7e-227  752.9  27.6   3   3  2.4e-127  2.6e-124  413.4   4.0   166   365   344   553   306   553 0.94 | transcript=PVPAM_140037800_t1 | gene=PVPAM_140037800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=CASCJQ010000014:1410342-1413715(+) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723258.1         -            782 6754at5820           -            365   6.2e-72  241.0   3.4   1   1   1.5e-74   1.6e-71  239.7   3.4    82   359   497   781   480   782 0.91 | transcript=PVPAM_140017700_t1 | gene=PVPAM_140017700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM6, putative | transcript_product=protein phosphatase PPM6, putative | location=CASCJQ010000014:599875-602547(+) | protein_length=782 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718144.1         -            953 6754at5820           -            365   6.3e-14   50.2   0.7   1   2      0.17   1.9e+02   -0.7   0.2   315   349     8    42     3    45 0.84 | transcript=PVPAM_030014200_t1 | gene=PVPAM_030014200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=CASCJQ010000003:407884-410935(-) | protein_length=953 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718144.1         -            953 6754at5820           -            365   6.3e-14   50.2   0.7   2   2   5.9e-17   6.3e-14   50.2   0.7   114   326   686   883   680   913 0.70 | transcript=PVPAM_030014200_t1 | gene=PVPAM_030014200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=CASCJQ010000003:407884-410935(-) | protein_length=953 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722336.1         -            411 6754at5820           -            365   1.1e-10   39.5   0.4   1   1     2e-13   2.1e-10   38.6   0.4   185   334   105   258    34   278 0.79 | transcript=PVPAM_120057200_t1 | gene=PVPAM_120057200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=CASCJQ010000012:2117673-2120639(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723454.1         -            303 6754at5820           -            365   3.2e-09   34.7   0.1   1   1     2e-11   2.2e-08   32.0   0.1   175   321   115   252    48   272 0.71 | transcript=PVPAM_140037600_t1 | gene=PVPAM_140037600 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=CASCJQ010000014:1400671-1403169(+) | protein_length=303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723829.1         -           1106 6754at5820           -            365   4.5e-07   27.6   0.1   1   1   7.6e-10   8.2e-07   26.8   0.1   186   342   887  1058   797  1068 0.73 | transcript=PVPAM_140075200_t1 | gene=PVPAM_140075200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=CASCJQ010000014:2948173-2951726(+) | protein_length=1106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6754at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6754at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6754at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:26 2026
# [ok]
