#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720085.1         -            761 4681at5820           -            517  3.5e-270  895.7  60.1   1   5   1.5e-09   2.7e-07   28.2   1.0     5    31    34    60    30    73 0.83 | transcript=PVPAM_080030700_t1 | gene=PVPAM_080030700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=CASCJQ010000008:1172150-1174672(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720085.1         -            761 4681at5820           -            517  3.5e-270  895.7  60.1   2   5   1.6e-09     3e-07   28.1   3.5    27    57   126   156   118   162 0.84 | transcript=PVPAM_080030700_t1 | gene=PVPAM_080030700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=CASCJQ010000008:1172150-1174672(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720085.1         -            761 4681at5820           -            517  3.5e-270  895.7  60.1   3   5   1.6e-76     3e-74  249.2   6.4    45   187   184   325   167   329 0.93 | transcript=PVPAM_080030700_t1 | gene=PVPAM_080030700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=CASCJQ010000008:1172150-1174672(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720085.1         -            761 4681at5820           -            517  3.5e-270  895.7  60.1   4   5  4.5e-184  8.2e-182  604.1  22.8   184   504   376   708   371   714 0.97 | transcript=PVPAM_080030700_t1 | gene=PVPAM_080030700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=CASCJQ010000008:1172150-1174672(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720085.1         -            761 4681at5820           -            517  3.5e-270  895.7  60.1   5   5     0.012       2.3    5.4   0.1   501   517   744   760   720   760 0.81 | transcript=PVPAM_080030700_t1 | gene=PVPAM_080030700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=CASCJQ010000008:1172150-1174672(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722427.1         -            528 4681at5820           -            517   9.6e-61  204.6   0.0   1   1   6.6e-63   1.2e-60  204.2   0.0    58   478    56   493    41   504 0.89 | transcript=PVPAM_120066400_t1 | gene=PVPAM_120066400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX17, putative | transcript_product=ATP-dependent RNA helicase DDX17, putative | location=CASCJQ010000012:2501497-2504933(-) | protein_length=528 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721049.1         -           1475 4681at5820           -            517   1.2e-59  201.0   4.5   1   2   6.5e-62   1.2e-59  201.0   4.5    55   481   615  1064   580  1083 0.81 | transcript=PVPAM_100031700_t1 | gene=PVPAM_100031700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | transcript_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | location=CASCJQ010000010:1161244-1165671(-) | protein_length=1475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721049.1         -           1475 4681at5820           -            517   1.2e-59  201.0   4.5   2   2       4.3     8e+02   -3.0   1.5   464   495  1326  1357  1296  1369 0.70 | transcript=PVPAM_100031700_t1 | gene=PVPAM_100031700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | transcript_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | location=CASCJQ010000010:1161244-1165671(-) | protein_length=1475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722193.1         -            398 4681at5820           -            517   1.5e-50  171.0   0.8   1   1   1.1e-52     2e-50  170.6   0.8   124   455    31   372    26   394 0.90 | transcript=PVPAM_120043100_t1 | gene=PVPAM_120043100 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic initiation factor 4a, putative | transcript_product=eukaryotic initiation factor 4a, putative | location=CASCJQ010000012:1490010-1491552(-) | protein_length=398 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719270.1         -           1015 4681at5820           -            517   2.9e-47  160.1   2.0   1   1   2.1e-49   3.9e-47  159.7   2.0   107   478   616  1014   608  1015 0.84 | transcript=PVPAM_060027700_t1 | gene=PVPAM_060027700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA helicase DDX3X, putative | transcript_product=ATP-dependent DNA helicase DDX3X, putative | location=CASCJQ010000006:939088-943184(+) | protein_length=1015 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718426.1         -            536 4681at5820           -            517   4.4e-44  149.6  10.1   1   1   3.3e-46   6.1e-44  149.1  10.1   123   473   136   495   130   523 0.82 | transcript=PVPAM_040017200_t1 | gene=PVPAM_040017200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=CASCJQ010000004:538028-539638(+) | protein_length=536 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
