#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719246.1         -            626 6506at5820           -            426  1.3e-220  731.4  85.5   1   4    0.0029       3.1    5.4   0.7     1    21     8    29     8    54 0.85 | transcript=PVPAM_060025300_t1 | gene=PVPAM_060025300 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000006:859282-861162(+) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719246.1         -            626 6506at5820           -            426  1.3e-220  731.4  85.5   2   4   5.1e-31   5.5e-28   96.8  10.9    19    76    57   114    43   117 0.92 | transcript=PVPAM_060025300_t1 | gene=PVPAM_060025300 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000006:859282-861162(+) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719246.1         -            626 6506at5820           -            426  1.3e-220  731.4  85.5   3   4   3.6e-97   3.9e-94  314.8  23.0    76   255   174   365   171   377 0.96 | transcript=PVPAM_060025300_t1 | gene=PVPAM_060025300 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000006:859282-861162(+) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719246.1         -            626 6506at5820           -            426  1.3e-220  731.4  85.5   4   4  3.9e-102   4.2e-99  331.1  29.2   250   425   444   623   441   624 0.97 | transcript=PVPAM_060025300_t1 | gene=PVPAM_060025300 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000006:859282-861162(+) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 6506at5820           -            426   3.8e-09   34.8   1.3   1   3      0.25   2.6e+02   -1.0   0.0   353   391    87   126    51   131 0.67 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 6506at5820           -            426   3.8e-09   34.8   1.3   2   3   4.4e-06    0.0047   14.7   0.1   307   340   132   165   106   173 0.83 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 6506at5820           -            426   3.8e-09   34.8   1.3   3   3   3.9e-07   0.00042   18.1   0.0   264   401   174   307   166   317 0.82 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 6506at5820           -            426    0.0012   16.7   0.2   1   3     0.015        17    3.0   0.0   312   396    38   122     4   131 0.67 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 6506at5820           -            426    0.0012   16.7   0.2   2   3    0.0067       7.2    4.2   0.0   266   328   127   190   112   205 0.80 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 6506at5820           -            426    0.0012   16.7   0.2   3   3   0.00084      0.91    7.1   0.0   352   376   294   319   252   322 0.68 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719290.1         -            706 6506at5820           -            426    0.0036   15.1   8.3   1   2   1.6e-05     0.017   12.8   3.5   293   361   185   250   137   276 0.76 | transcript=PVPAM_060029700_t1 | gene=PVPAM_060029700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=CASCJQ010000006:1015798-1017918(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
