#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722764.1         -           1355 1301at5820           -           1082         0 2248.2  13.1   1   1         0         0 2247.1  13.1    11  1082   201  1355   193  1355 0.95 | transcript=PVPAM_130026500_t1 | gene=PVPAM_130026500 | organism=Plasmodium_vivax_PAM | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=CASCJQ010000013:979421-983488(-) | protein_length=1355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717931.1         -           1191 1301at5820           -           1082  3.4e-122  407.7  20.2   1   4     1e-59   1.4e-56  190.5   3.5    17   383    12   399     3   442 0.86 | transcript=PVPAM_020016300_t1 | gene=PVPAM_020016300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=CASCJQ010000002:474480-478546(+) | protein_length=1191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717931.1         -           1191 1301at5820           -           1082  3.4e-122  407.7  20.2   2   4   1.2e-14   1.5e-11   41.4   0.1   518   648   655   785   633   799 0.86 | transcript=PVPAM_020016300_t1 | gene=PVPAM_020016300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=CASCJQ010000002:474480-478546(+) | protein_length=1191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717931.1         -           1191 1301at5820           -           1082  3.4e-122  407.7  20.2   3   4   1.4e-53   1.8e-50  170.2   0.2   677   837   847  1007   833  1037 0.92 | transcript=PVPAM_020016300_t1 | gene=PVPAM_020016300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=CASCJQ010000002:474480-478546(+) | protein_length=1191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717931.1         -           1191 1301at5820           -           1082  3.4e-122  407.7  20.2   4   4     6e-07   0.00077   15.8   0.8   976  1069  1078  1173  1048  1182 0.87 | transcript=PVPAM_020016300_t1 | gene=PVPAM_020016300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=CASCJQ010000002:474480-478546(+) | protein_length=1191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721096.1         -           1914 1301at5820           -           1082   1.3e-17   61.4   9.1   1   4   9.3e-11   1.2e-07   28.4   1.2    24   193   363   531   341   544 0.81 | transcript=PVPAM_100036400_t1 | gene=PVPAM_100036400 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=CASCJQ010000010:1349520-1355445(-) | protein_length=1914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721096.1         -           1914 1301at5820           -           1082   1.3e-17   61.4   9.1   2   4     0.094   1.2e+02   -1.4   0.0   292   362   684   754   664   771 0.71 | transcript=PVPAM_100036400_t1 | gene=PVPAM_100036400 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=CASCJQ010000010:1349520-1355445(-) | protein_length=1914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721096.1         -           1914 1301at5820           -           1082   1.3e-17   61.4   9.1   3   4   0.00048      0.62    6.2   0.0   534   664  1188  1314  1118  1325 0.79 | transcript=PVPAM_100036400_t1 | gene=PVPAM_100036400 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=CASCJQ010000010:1349520-1355445(-) | protein_length=1914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721096.1         -           1914 1301at5820           -           1082   1.3e-17   61.4   9.1   4   4   5.2e-11   6.8e-08   29.3   0.1   669   776  1553  1659  1476  1715 0.69 | transcript=PVPAM_100036400_t1 | gene=PVPAM_100036400 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=CASCJQ010000010:1349520-1355445(-) | protein_length=1914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717981.1         -           1684 1301at5820           -           1082     7e-11   39.1   2.2   1   4    0.0027       3.5    3.7   0.0   125   188   517   584   432   629 0.73 | transcript=PVPAM_020021300_t1 | gene=PVPAM_020021300 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=CASCJQ010000002:685471-690525(+) | protein_length=1684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717981.1         -           1684 1301at5820           -           1082     7e-11   39.1   2.2   2   4     0.011        15    1.7   0.1   337   367   788   819   667   829 0.65 | transcript=PVPAM_020021300_t1 | gene=PVPAM_020021300 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=CASCJQ010000002:685471-690525(+) | protein_length=1684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
