#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718789.1         -            622 7587at5820           -            324  4.9e-136  451.9  62.4   1   5   6.6e-96   8.5e-93  309.8  36.6     2   155    51   204    50   225 0.95 | transcript=PVPAM_050018300_t1 | gene=PVPAM_050018300 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=CASCJQ010000005:595994-597862(+) | protein_length=622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718789.1         -            622 7587at5820           -            324  4.9e-136  451.9  62.4   2   5   2.8e-06    0.0037   15.2   0.1   153   172   241   260   237   264 0.91 | transcript=PVPAM_050018300_t1 | gene=PVPAM_050018300 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=CASCJQ010000005:595994-597862(+) | protein_length=622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718789.1         -            622 7587at5820           -            324  4.9e-136  451.9  62.4   3   5   6.2e-05      0.08   10.8   0.2   176   195   304   323   293   340 0.83 | transcript=PVPAM_050018300_t1 | gene=PVPAM_050018300 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=CASCJQ010000005:595994-597862(+) | protein_length=622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718789.1         -            622 7587at5820           -            324  4.9e-136  451.9  62.4   4   5   6.2e-07    0.0008   17.4   0.1   187   224   385   426   368   444 0.75 | transcript=PVPAM_050018300_t1 | gene=PVPAM_050018300 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=CASCJQ010000005:595994-597862(+) | protein_length=622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718789.1         -            622 7587at5820           -            324  4.9e-136  451.9  62.4   5   5   1.2e-35   1.6e-32  111.7   4.9   208   324   475   620   457   620 0.74 | transcript=PVPAM_050018300_t1 | gene=PVPAM_050018300 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=CASCJQ010000005:595994-597862(+) | protein_length=622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720876.1         -            301 7587at5820           -            324   3.1e-29  100.9  31.7   1   1   3.2e-32   4.1e-29  100.5  31.7    11   185    31   206    21   253 0.85 | transcript=PVPAM_100014400_t1 | gene=PVPAM_100014400 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=CASCJQ010000010:410217-411122(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720262.1         -            530 7587at5820           -            324   8.8e-15   53.4  35.6   1   3   6.8e-18   8.8e-15   53.4  35.6    17   129    89   201    84   203 0.96 | transcript=PVPAM_080048500_t1 | gene=PVPAM_080048500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=CASCJQ010000008:1882262-1883854(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720262.1         -            530 7587at5820           -            324   8.8e-15   53.4  35.6   2   3      0.11   1.4e+02    0.2  14.3    74   113   194   235   188   247 0.44 | transcript=PVPAM_080048500_t1 | gene=PVPAM_080048500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=CASCJQ010000008:1882262-1883854(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720262.1         -            530 7587at5820           -            324   8.8e-15   53.4  35.6   3   3    0.0074       9.6    4.0  17.3    21   118   247   338   241   487 0.87 | transcript=PVPAM_080048500_t1 | gene=PVPAM_080048500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=CASCJQ010000008:1882262-1883854(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719932.1         -            286 7587at5820           -            324   4.4e-05   21.5  31.8   1   2   3.4e-08   4.4e-05   21.5  31.8    13    96    51   136    41   154 0.90 | transcript=PVPAM_080015500_t1 | gene=PVPAM_080015500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=CASCJQ010000008:519959-520819(+) | protein_length=286 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719932.1         -            286 7587at5820           -            324   4.4e-05   21.5  31.8   2   2         5   6.5e+03   -6.3  12.0   185   281   166   225   136   254 0.40 | transcript=PVPAM_080015500_t1 | gene=PVPAM_080015500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=CASCJQ010000008:519959-520819(+) | protein_length=286 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
