#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717653.1         -           1327 2235at5820           -            813         0 1304.8  95.7   1   7   9.6e-49   3.1e-45  153.1   5.6     1   130     1   137     1   151 0.72 | transcript=PVPAM_010016300_t1 | gene=PVPAM_010016300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:512821-516804(-) | protein_length=1327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717653.1         -           1327 2235at5820           -            813         0 1304.8  95.7   2   7   5.6e-61   1.8e-57  193.5  15.2    81   217   251   398   238   407 0.87 | transcript=PVPAM_010016300_t1 | gene=PVPAM_010016300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:512821-516804(-) | protein_length=1327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717653.1         -           1327 2235at5820           -            813         0 1304.8  95.7   3   7   5.5e-34   1.8e-30  104.3   0.4   226   301   453   532   408   537 0.90 | transcript=PVPAM_010016300_t1 | gene=PVPAM_010016300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:512821-516804(-) | protein_length=1327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717653.1         -           1327 2235at5820           -            813         0 1304.8  95.7   4   7   1.5e-18   4.7e-15   53.2   0.2   295   348   566   620   558   641 0.81 | transcript=PVPAM_010016300_t1 | gene=PVPAM_010016300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:512821-516804(-) | protein_length=1327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717653.1         -           1327 2235at5820           -            813         0 1304.8  95.7   5   7  6.3e-103     2e-99  332.3  12.0   339   557   722   967   707   981 0.89 | transcript=PVPAM_010016300_t1 | gene=PVPAM_010016300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:512821-516804(-) | protein_length=1327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717653.1         -           1327 2235at5820           -            813         0 1304.8  95.7   6   7  1.3e-141  4.3e-138  460.2  26.3   554   769  1020  1235  1017  1263 0.96 | transcript=PVPAM_010016300_t1 | gene=PVPAM_010016300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:512821-516804(-) | protein_length=1327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717653.1         -           1327 2235at5820           -            813         0 1304.8  95.7   7   7   1.1e-12   3.4e-09   33.8   0.0   766   813  1270  1327  1256  1327 0.80 | transcript=PVPAM_010016300_t1 | gene=PVPAM_010016300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:512821-516804(-) | protein_length=1327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721619.1         -            268 2235at5820           -            813       8.3    2.8  21.4   1   2   3.8e-05      0.12    8.9   1.7    44   127    13   106     4   129 0.61 | transcript=PVPAM_110052300_t1 | gene=PVPAM_110052300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000011:1984393-1985554(+) | protein_length=268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721619.1         -            268 2235at5820           -            813       8.3    2.8  21.4   2   2     0.026        84   -0.5  12.3    58   152   171   265   161   267 0.68 | transcript=PVPAM_110052300_t1 | gene=PVPAM_110052300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000011:1984393-1985554(+) | protein_length=268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2235at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2235at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2235at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:52 2026
# [ok]
