#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723100.1         -           1263 2335at5820           -            732  5.6e-293  972.3  74.9   1   7   8.1e-35   2.6e-31  107.2   3.7    13   114   109   235   102   307 0.74 | transcript=PVPAM_130060600_t1 | gene=PVPAM_130060600 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000013:2444780-2448571(+) | protein_length=1263 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723100.1         -           1263 2335at5820           -            732  5.6e-293  972.3  74.9   2   7   1.6e-10   5.2e-07   26.9   0.4   108   142   309   343   304   354 0.88 | transcript=PVPAM_130060600_t1 | gene=PVPAM_130060600 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000013:2444780-2448571(+) | protein_length=1263 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723100.1         -           1263 2335at5820           -            732  5.6e-293  972.3  74.9   3   7   2.9e-45   9.3e-42  141.8   1.9   150   237   509   596   495   608 0.92 | transcript=PVPAM_130060600_t1 | gene=PVPAM_130060600 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000013:2444780-2448571(+) | protein_length=1263 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723100.1         -           1263 2335at5820           -            732  5.6e-293  972.3  74.9   4   7   1.7e-24   5.6e-21   73.1   0.1   234   297   627   697   621   700 0.89 | transcript=PVPAM_130060600_t1 | gene=PVPAM_130060600 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000013:2444780-2448571(+) | protein_length=1263 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723100.1         -           1263 2335at5820           -            732  5.6e-293  972.3  74.9   5   7  3.5e-158  1.1e-154  515.1  20.7   295   622   726  1069   718  1073 0.94 | transcript=PVPAM_130060600_t1 | gene=PVPAM_130060600 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000013:2444780-2448571(+) | protein_length=1263 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723100.1         -           1263 2335at5820           -            732  5.6e-293  972.3  74.9   6   7   1.3e-09   4.1e-06   24.0   1.5   622   650  1100  1128  1093  1134 0.89 | transcript=PVPAM_130060600_t1 | gene=PVPAM_130060600 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000013:2444780-2448571(+) | protein_length=1263 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723100.1         -           1263 2335at5820           -            732  5.6e-293  972.3  74.9   7   7   8.5e-37   2.7e-33  113.8   6.3   651   728  1171  1248  1163  1253 0.93 | transcript=PVPAM_130060600_t1 | gene=PVPAM_130060600 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000013:2444780-2448571(+) | protein_length=1263 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721131.1         -            780 2335at5820           -            732   6.3e-08   30.0  23.5   1   4      0.21   6.6e+02   -3.2   1.3    92   132   105   145    84   185 0.71 | transcript=PVPAM_100039900_t1 | gene=PVPAM_100039900 | organism=Plasmodium_vivax_PAM | gene_product=anaphase-promoting complex subunit 3, putative | transcript_product=anaphase-promoting complex subunit 3, putative | location=CASCJQ010000010:1481153-1483495(+) | protein_length=780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721131.1         -            780 2335at5820           -            732   6.3e-08   30.0  23.5   2   4      0.11   3.6e+02   -2.3   0.3   239   268   190   219   185   229 0.82 | transcript=PVPAM_100039900_t1 | gene=PVPAM_100039900 | organism=Plasmodium_vivax_PAM | gene_product=anaphase-promoting complex subunit 3, putative | transcript_product=anaphase-promoting complex subunit 3, putative | location=CASCJQ010000010:1481153-1483495(+) | protein_length=780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721131.1         -            780 2335at5820           -            732   6.3e-08   30.0  23.5   3   4   0.00054       1.7    5.3   3.1   445   497   436   487   416   496 0.79 | transcript=PVPAM_100039900_t1 | gene=PVPAM_100039900 | organism=Plasmodium_vivax_PAM | gene_product=anaphase-promoting complex subunit 3, putative | transcript_product=anaphase-promoting complex subunit 3, putative | location=CASCJQ010000010:1481153-1483495(+) | protein_length=780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721131.1         -            780 2335at5820           -            732   6.3e-08   30.0  23.5   4   4   1.9e-11   6.3e-08   30.0  23.5   441   604   500   662   490   775 0.80 | transcript=PVPAM_100039900_t1 | gene=PVPAM_100039900 | organism=Plasmodium_vivax_PAM | gene_product=anaphase-promoting complex subunit 3, putative | transcript_product=anaphase-promoting complex subunit 3, putative | location=CASCJQ010000010:1481153-1483495(+) | protein_length=780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
