#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722719.1         -            182 12413at5820          -            142   2.6e-89  295.0   7.3   1   1   2.4e-92   3.1e-89  294.8   7.3     1   142    35   177    35   177 0.98 | transcript=PVPAM_130022000_t1 | gene=PVPAM_130022000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein | transcript_product=RNA-binding protein | location=CASCJQ010000013:766073-767096(+) | protein_length=182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720107.1         -            299 12413at5820          -            142     7e-05   21.4   0.0   1   2   5.4e-08     7e-05   21.4   0.0    46   125    34   111     5   122 0.86 | transcript=PVPAM_080032900_t1 | gene=PVPAM_080032900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000008:1265540-1266874(-) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720107.1         -            299 12413at5820          -            142     7e-05   21.4   0.0   2   2      0.97   1.2e+03   -2.1   0.7    13    46   235   268   225   285 0.72 | transcript=PVPAM_080032900_t1 | gene=PVPAM_080032900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000008:1265540-1266874(-) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722140.1         -           1026 12413at5820          -            142   0.00042   18.8   0.2   1   2   4.9e-05     0.063   11.8   0.1    27   137   614   724   594   726 0.82 | transcript=PVPAM_120037800_t1 | gene=PVPAM_120037800 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=CASCJQ010000012:1308793-1312028(-) | protein_length=1026 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722140.1         -           1026 12413at5820          -            142   0.00042   18.8   0.2   2   2    0.0085        11    4.5   0.0    79   121   766   808   748   825 0.79 | transcript=PVPAM_120037800_t1 | gene=PVPAM_120037800 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=CASCJQ010000012:1308793-1312028(-) | protein_length=1026 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 12413at5820          -            142     0.004   15.7   3.7   1   3      0.14   1.8e+02    0.6   0.0    59   115    27    83    12    93 0.68 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 12413at5820          -            142     0.004   15.7   3.7   2   3   9.5e-06     0.012   14.1   0.3    45   129   101   182    86   195 0.86 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 12413at5820          -            142     0.004   15.7   3.7   3   3      0.45   5.8e+02   -1.1   0.0    44    74   446   475   430   512 0.70 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 12413at5820          -            142    0.0091   14.5   3.0   1   2      0.14   1.8e+02    0.6   0.0    49    99    21    69    15    82 0.77 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 12413at5820          -            142    0.0091   14.5   3.0   2   2   1.6e-05      0.02   13.4   0.9    38   131    98   187    83   195 0.80 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12413at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12413at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12413at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:45 2026
# [ok]
