#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720584.1         -            571 7061at5820           -            416  2.3e-250  829.4  40.2   1   2  1.2e-149  1.6e-146  487.4  12.7     1   239    46   296    46   301 0.96 | transcript=PVPAM_090034900_t1 | gene=PVPAM_090034900 | organism=Plasmodium_vivax_PAM | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=CASCJQ010000009:1334056-1335771(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720584.1         -            571 7061at5820           -            416  2.3e-250  829.4  40.2   2   2  2.2e-107  2.9e-104  348.1  19.5   226   416   364   566   361   566 0.92 | transcript=PVPAM_090034900_t1 | gene=PVPAM_090034900 | organism=Plasmodium_vivax_PAM | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=CASCJQ010000009:1334056-1335771(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717945.1         -            638 7061at5820           -            416   2.8e-30  104.4  35.2   1   2   1.1e-26   1.5e-23   82.3  12.0    34   222    33   236    19   241 0.86 | transcript=PVPAM_020017700_t1 | gene=PVPAM_020017700 | organism=Plasmodium_vivax_PAM | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=CASCJQ010000002:525711-527627(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717945.1         -            638 7061at5820           -            416   2.8e-30  104.4  35.2   2   2   3.6e-10   4.7e-07   27.9  15.2   270   388   480   602   451   621 0.83 | transcript=PVPAM_020017700_t1 | gene=PVPAM_020017700 | organism=Plasmodium_vivax_PAM | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=CASCJQ010000002:525711-527627(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717944.1         -            571 7061at5820           -            416   5.6e-30  103.4  30.6   1   2   1.1e-24   1.4e-21   75.7   4.3    23   222    28   226    15   243 0.91 | transcript=PVPAM_020017600_t1 | gene=PVPAM_020017600 | organism=Plasmodium_vivax_PAM | gene_product=novel putative transporter 1, putative | transcript_product=novel putative transporter 1, putative | location=CASCJQ010000002:522563-524278(-) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717944.1         -            571 7061at5820           -            416   5.6e-30  103.4  30.6   2   2   7.1e-12   9.2e-09   33.5  18.4   234   400   363   538   354   549 0.81 | transcript=PVPAM_020017600_t1 | gene=PVPAM_020017600 | organism=Plasmodium_vivax_PAM | gene_product=novel putative transporter 1, putative | transcript_product=novel putative transporter 1, putative | location=CASCJQ010000002:522563-524278(-) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719587.1         -            484 7061at5820           -            416   3.8e-09   34.8   9.6   1   2   2.9e-12   3.8e-09   34.8   9.6    73   227    78   238     6   245 0.70 | transcript=PVPAM_070020100_t1 | gene=PVPAM_070020100 | organism=Plasmodium_vivax_PAM | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=CASCJQ010000007:713184-714638(+) | protein_length=484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719587.1         -            484 7061at5820           -            416   3.8e-09   34.8   9.6   2   2       2.5   3.3e+03   -4.5  18.5   278   379   337   439   301   451 0.76 | transcript=PVPAM_070020100_t1 | gene=PVPAM_070020100 | organism=Plasmodium_vivax_PAM | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=CASCJQ010000007:713184-714638(+) | protein_length=484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720178.1         -            539 7061at5820           -            416    0.0047   14.7  33.2   1   2     0.001       1.3    6.7   0.9    38   134    13   112     6   129 0.70 | transcript=PVPAM_080040000_t1 | gene=PVPAM_080040000 | organism=Plasmodium_vivax_PAM | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=CASCJQ010000008:1559582-1561201(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720178.1         -            539 7061at5820           -            416    0.0047   14.7  33.2   2   2     2e-05     0.026   12.3  25.5   263   395   359   496   334   516 0.79 | transcript=PVPAM_080040000_t1 | gene=PVPAM_080040000 | organism=Plasmodium_vivax_PAM | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=CASCJQ010000008:1559582-1561201(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
