#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722516.1         -           5560 39at5820             -           4063         0 6018.2 541.2   1  11  5.5e-301    9e-298  990.0 132.7     2   950    16  1285    15  1325 0.82 | transcript=PVPAM_120075500_t1 | gene=PVPAM_120075500 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=CASCJQ010000012:2937532-2954359(-) | protein_length=5560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722516.1         -           5560 39at5820             -           4063         0 6018.2 541.2   2  11  2.6e-220  4.2e-217  722.2  45.1   946  1498  1361  1982  1354  1994 0.89 | transcript=PVPAM_120075500_t1 | gene=PVPAM_120075500 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=CASCJQ010000012:2937532-2954359(-) | protein_length=5560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722516.1         -           5560 39at5820             -           4063         0 6018.2 541.2   3  11  1.5e-113  2.4e-110  367.9  36.1  1456  1808  2176  2587  2161  2601 0.86 | transcript=PVPAM_120075500_t1 | gene=PVPAM_120075500 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=CASCJQ010000012:2937532-2954359(-) | protein_length=5560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722516.1         -           5560 39at5820             -           4063         0 6018.2 541.2   4  11   1.7e-06    0.0028   12.5   2.2  1799  1849  2722  2773  2707  2800 0.75 | transcript=PVPAM_120075500_t1 | gene=PVPAM_120075500 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=CASCJQ010000012:2937532-2954359(-) | protein_length=5560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722516.1         -           5560 39at5820             -           4063         0 6018.2 541.2   5  11  2.8e-268  4.6e-265  881.4  57.8  1839  2336  2832  3352  2827  3360 0.96 | transcript=PVPAM_120075500_t1 | gene=PVPAM_120075500 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=CASCJQ010000012:2937532-2954359(-) | protein_length=5560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722516.1         -           5560 39at5820             -           4063         0 6018.2 541.2   6  11  1.9e-112    3e-109  364.3  13.3  2342  2542  3401  3601  3397  3606 0.98 | transcript=PVPAM_120075500_t1 | gene=PVPAM_120075500 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=CASCJQ010000012:2937532-2954359(-) | protein_length=5560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722516.1         -           5560 39at5820             -           4063         0 6018.2 541.2   7  11         0         0 1152.8  65.8  2521  3127  3661  4292  3656  4336 0.93 | transcript=PVPAM_120075500_t1 | gene=PVPAM_120075500 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=CASCJQ010000012:2937532-2954359(-) | protein_length=5560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722516.1         -           5560 39at5820             -           4063         0 6018.2 541.2   8  11  9.4e-133  1.5e-129  431.6  26.4  3128  3361  4363  4599  4353  4605 0.97 | transcript=PVPAM_120075500_t1 | gene=PVPAM_120075500 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=CASCJQ010000012:2937532-2954359(-) | protein_length=5560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722516.1         -           5560 39at5820             -           4063         0 6018.2 541.2   9  11  2.5e-252  4.1e-249  828.5  54.5  3369  3849  4705  5233  4691  5244 0.91 | transcript=PVPAM_120075500_t1 | gene=PVPAM_120075500 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=CASCJQ010000012:2937532-2954359(-) | protein_length=5560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722516.1         -           5560 39at5820             -           4063         0 6018.2 541.2  10  11   4.1e-17   6.6e-14   47.8   1.2  3847  3892  5259  5304  5255  5311 0.92 | transcript=PVPAM_120075500_t1 | gene=PVPAM_120075500 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=CASCJQ010000012:2937532-2954359(-) | protein_length=5560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722516.1         -           5560 39at5820             -           4063         0 6018.2 541.2  11  11   1.2e-85   1.9e-82  275.3  27.2  3879  4063  5359  5554  5344  5554 0.90 | transcript=PVPAM_120075500_t1 | gene=PVPAM_120075500 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=CASCJQ010000012:2937532-2954359(-) | protein_length=5560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 39at5820             -           4063  2.8e-169  563.5 230.5   1   7   1.1e-44   1.8e-41  139.3  40.9  1535  2246   244   975   239   989 0.73 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 39at5820             -           4063  2.8e-169  563.5 230.5   2   7   1.8e-05     0.028    9.2   6.2  2152  2198   989  1035   980  1040 0.92 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 39at5820             -           4063  2.8e-169  563.5 230.5   3   7     9e-29   1.5e-25   86.5  14.3  2356  2481  1081  1206  1053  1214 0.92 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 39at5820             -           4063  2.8e-169  563.5 230.5   4   7     3e-23   4.9e-20   68.2  23.0  2568  2817  1455  1693  1422  1710 0.80 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 39at5820             -           4063  2.8e-169  563.5 230.5   5   7   1.1e-69   1.7e-66  222.3  35.5  2904  3392  1852  2371  1847  2382 0.74 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 39at5820             -           4063  2.8e-169  563.5 230.5   6   7   1.3e-26   2.2e-23   79.3  29.9  3368  3640  2462  2748  2452  2769 0.80 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
