#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721274.1         -            335 10505at5820          -            263  3.2e-131  434.9  50.3   1   1  1.1e-133  1.1e-130  433.1  50.3     1   263    51   334    51   334 0.93 | transcript=PVPAM_110017600_t1 | gene=PVPAM_110017600 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM7, putative | transcript_product=rhomboid protease ROM7, putative | location=CASCJQ010000011:537283-538290(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718745.1         -            268 10505at5820          -            263   5.3e-05   21.2   1.6   1   3      0.19     2e+02   -0.4   0.2   126   153    39    64    31    75 0.70 | transcript=PVPAM_050013900_t1 | gene=PVPAM_050013900 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM3, putative | transcript_product=rhomboid protease ROM3, putative | location=CASCJQ010000005:411304-412529(-) | protein_length=268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718745.1         -            268 10505at5820          -            263   5.3e-05   21.2   1.6   2   3   4.9e-08   5.3e-05   21.2   1.6   104   159    92   147    78   151 0.90 | transcript=PVPAM_050013900_t1 | gene=PVPAM_050013900 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM3, putative | transcript_product=rhomboid protease ROM3, putative | location=CASCJQ010000005:411304-412529(-) | protein_length=268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718745.1         -            268 10505at5820          -            263   5.3e-05   21.2   1.6   3   3   0.00018       0.2    9.5   6.1   187   254   152   222   147   226 0.74 | transcript=PVPAM_050013900_t1 | gene=PVPAM_050013900 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM3, putative | transcript_product=rhomboid protease ROM3, putative | location=CASCJQ010000005:411304-412529(-) | protein_length=268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720936.1         -            491 10505at5820          -            263   0.00034   18.6   6.2   1   1     5e-07   0.00053   17.9   6.2    62   162   301   406   264   429 0.72 | transcript=PVPAM_100020400_t1 | gene=PVPAM_100020400 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000010:676384-677859(+) | protein_length=491 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721067.1         -            633 10505at5820          -            263     0.003   15.5   0.3   1   3     0.092        99    0.6   0.2   185   226   209   248   182   254 0.74 | transcript=PVPAM_100033500_t1 | gene=PVPAM_100033500 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM4, putative | transcript_product=rhomboid protease ROM4, putative | location=CASCJQ010000010:1228738-1230639(+) | protein_length=633 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721067.1         -            633 10505at5820          -            263     0.003   15.5   0.3   2   3   2.8e-06     0.003   15.5   0.3   103   159   334   390   321   393 0.88 | transcript=PVPAM_100033500_t1 | gene=PVPAM_100033500 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM4, putative | transcript_product=rhomboid protease ROM4, putative | location=CASCJQ010000010:1228738-1230639(+) | protein_length=633 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721067.1         -            633 10505at5820          -            263     0.003   15.5   0.3   3   3      0.11   1.2e+02    0.3   3.4   187   246   395   458   391   475 0.57 | transcript=PVPAM_100033500_t1 | gene=PVPAM_100033500 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM4, putative | transcript_product=rhomboid protease ROM4, putative | location=CASCJQ010000010:1228738-1230639(+) | protein_length=633 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720425.1         -            276 10505at5820          -            263    0.0042   15.0   4.7   1   2   3.9e-06    0.0042   15.0   4.7   102   157   100   155    89   164 0.88 | transcript=PVPAM_090019000_t1 | gene=PVPAM_090019000 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM1, putative | transcript_product=rhomboid protease ROM1, putative | location=CASCJQ010000009:684278-685731(+) | protein_length=276 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720425.1         -            276 10505at5820          -            263    0.0042   15.0   4.7   2   2     0.075        80    0.9   5.7   188   255   163   234   158   240 0.65 | transcript=PVPAM_090019000_t1 | gene=PVPAM_090019000 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM1, putative | transcript_product=rhomboid protease ROM1, putative | location=CASCJQ010000009:684278-685731(+) | protein_length=276 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720984.1         -            416 10505at5820          -            263      0.88    7.4  11.1   1   1    0.0018       1.9    6.3  11.1    93   254   248   406   234   411 0.72 | transcript=PVPAM_100025200_t1 | gene=PVPAM_100025200 | organism=Plasmodium_vivax_PAM | gene_product=rhomboid protease ROM9, putative | transcript_product=rhomboid protease ROM9, putative | location=CASCJQ010000010:889169-890729(+) | protein_length=416 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10505at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10505at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10505at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:29 2026
# [ok]
