#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720191.1         -           1253 2069at5820           -            719  6.5e-264  876.4   1.2   1   6   1.2e-98   2.7e-95  319.0   0.0    21   215   219   419   213   435 0.95 | transcript=PVPAM_080041300_t1 | gene=PVPAM_080041300 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000008:1614033-1618069(-) | protein_length=1253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720191.1         -           1253 2069at5820           -            719  6.5e-264  876.4   1.2   2   6   1.1e-19   2.3e-16   58.1   0.0   228   280   507   560   496   574 0.93 | transcript=PVPAM_080041300_t1 | gene=PVPAM_080041300 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000008:1614033-1618069(-) | protein_length=1253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720191.1         -           1253 2069at5820           -            719  6.5e-264  876.4   1.2   3   6     0.098   2.1e+02   -1.3   0.0   278   294   583   599   578   603 0.79 | transcript=PVPAM_080041300_t1 | gene=PVPAM_080041300 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000008:1614033-1618069(-) | protein_length=1253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720191.1         -           1253 2069at5820           -            719  6.5e-264  876.4   1.2   4   6   7.3e-30   1.6e-26   91.7   0.0   293   367   658   742   652   745 0.87 | transcript=PVPAM_080041300_t1 | gene=PVPAM_080041300 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000008:1614033-1618069(-) | protein_length=1253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720191.1         -           1253 2069at5820           -            719  6.5e-264  876.4   1.2   5   6   3.2e-50   6.9e-47  159.0   0.1   368   466   780   879   776   882 0.97 | transcript=PVPAM_080041300_t1 | gene=PVPAM_080041300 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000008:1614033-1618069(-) | protein_length=1253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720191.1         -           1253 2069at5820           -            719  6.5e-264  876.4   1.2   6   6   1.9e-72     4e-69  232.5   0.3   466   713   917  1211   915  1214 0.80 | transcript=PVPAM_080041300_t1 | gene=PVPAM_080041300 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000008:1614033-1618069(-) | protein_length=1253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 2069at5820           -            719   4.7e-40  136.4  14.4   1   4   2.1e-22   4.4e-19   67.1   2.9    13   218    16   237     7   264 0.81 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 2069at5820           -            719   4.7e-40  136.4  14.4   2   4   1.8e-09   3.8e-06   24.3   0.1   308   366   412   477   404   493 0.80 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 2069at5820           -            719   4.7e-40  136.4  14.4   3   4   6.9e-16   1.5e-12   45.5   0.0   373   491   513   626   505   639 0.79 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 2069at5820           -            719   4.7e-40  136.4  14.4   4   4    0.0018       3.9    4.4   0.2   494   549   666   721   652   792 0.76 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 2069at5820           -            719   0.00043   17.6  25.5   1   5   3.1e-05     0.066   10.3   1.6    73   212   145   278   136   314 0.87 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
