#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723552.1         -            567 6193at5820           -            407  2.1e-217  720.6  62.9   1   3   7.8e-11   1.3e-07   29.6   1.4     6    37     8    42     3    57 0.79 | transcript=PVPAM_140047600_t1 | gene=PVPAM_140047600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=CASCJQ010000014:1811247-1812950(+) | protein_length=567 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723552.1         -            567 6193at5820           -            407  2.1e-217  720.6  62.9   2   3    3e-143  4.8e-140  465.7  41.9    36   255    88   311    67   367 0.93 | transcript=PVPAM_140047600_t1 | gene=PVPAM_140047600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=CASCJQ010000014:1811247-1812950(+) | protein_length=567 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723552.1         -            567 6193at5820           -            407  2.1e-217  720.6  62.9   3   3   5.9e-72   9.5e-69  230.9   5.7   263   407   375   566   349   566 0.84 | transcript=PVPAM_140047600_t1 | gene=PVPAM_140047600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=CASCJQ010000014:1811247-1812950(+) | protein_length=567 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720262.1         -            530 6193at5820           -            407   1.5e-07   29.4  31.9   1   3   9.1e-11   1.5e-07   29.4  31.9   123   221    96   188    88   191 0.85 | transcript=PVPAM_080048500_t1 | gene=PVPAM_080048500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=CASCJQ010000008:1882262-1883854(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720262.1         -            530 6193at5820           -            407   1.5e-07   29.4  31.9   2   3   3.2e-05     0.051   11.2  18.5   164   218   187   239   186   260 0.85 | transcript=PVPAM_080048500_t1 | gene=PVPAM_080048500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=CASCJQ010000008:1882262-1883854(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720262.1         -            530 6193at5820           -            407   1.5e-07   29.4  31.9   3   3         4   6.5e+03   -9.0  13.1   136   221   251   336   241   451 0.63 | transcript=PVPAM_080048500_t1 | gene=PVPAM_080048500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=CASCJQ010000008:1882262-1883854(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720876.1         -            301 6193at5820           -            407   2.6e-07   28.6  35.1   1   1   3.8e-10   6.2e-07   27.4  35.1   105   303    30   225    22   252 0.73 | transcript=PVPAM_100014400_t1 | gene=PVPAM_100014400 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=CASCJQ010000010:410217-411122(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719932.1         -            286 6193at5820           -            407    0.0013   16.4  34.0   1   3   0.00038      0.61    7.6   5.5   121   149    48    76    32    78 0.80 | transcript=PVPAM_080015500_t1 | gene=PVPAM_080015500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=CASCJQ010000008:519959-520819(+) | protein_length=286 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719932.1         -            286 6193at5820           -            407    0.0013   16.4  34.0   2   3   8.3e-07    0.0013   16.4  34.0   111   215    52   158    43   166 0.79 | transcript=PVPAM_080015500_t1 | gene=PVPAM_080015500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=CASCJQ010000008:519959-520819(+) | protein_length=286 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719932.1         -            286 6193at5820           -            407    0.0013   16.4  34.0   3   3         1   1.7e+03   -3.7   1.4   273   304   203   234   179   240 0.42 | transcript=PVPAM_080015500_t1 | gene=PVPAM_080015500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=CASCJQ010000008:519959-520819(+) | protein_length=286 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6193at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6193at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6193at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:26 2026
# [ok]
