#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721227.1         -           1076 2366at5820           -            702  2.7e-293  973.3  56.8   1   9   1.3e-44   8.3e-41  138.7   0.7     1    95     4   111     4   115 0.86 | transcript=PVPAM_110012900_t1 | gene=PVPAM_110012900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:299936-303166(-) | protein_length=1076 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721227.1         -           1076 2366at5820           -            702  2.7e-293  973.3  56.8   2   9   5.5e-58   3.5e-54  182.9   0.0    81   192   129   243   124   245 0.95 | transcript=PVPAM_110012900_t1 | gene=PVPAM_110012900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:299936-303166(-) | protein_length=1076 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721227.1         -           1076 2366at5820           -            702  2.7e-293  973.3  56.8   3   9   8.9e-23   5.7e-19   66.5   0.8   193   243   280   330   275   341 0.87 | transcript=PVPAM_110012900_t1 | gene=PVPAM_110012900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:299936-303166(-) | protein_length=1076 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721227.1         -           1076 2366at5820           -            702  2.7e-293  973.3  56.8   4   9     4e-36   2.6e-32  110.6   6.5   238   309   375   446   352   449 0.89 | transcript=PVPAM_110012900_t1 | gene=PVPAM_110012900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:299936-303166(-) | protein_length=1076 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721227.1         -           1076 2366at5820           -            702  2.7e-293  973.3  56.8   5   9   1.9e-07    0.0012   15.8   0.1   310   342   470   515   466   525 0.75 | transcript=PVPAM_110012900_t1 | gene=PVPAM_110012900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:299936-303166(-) | protein_length=1076 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721227.1         -           1076 2366at5820           -            702  2.7e-293  973.3  56.8   6   9   1.6e-77   1.1e-73  247.4  12.0   339   498   569   750   565   754 0.89 | transcript=PVPAM_110012900_t1 | gene=PVPAM_110012900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:299936-303166(-) | protein_length=1076 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721227.1         -           1076 2366at5820           -            702  2.7e-293  973.3  56.8   7   9   5.4e-31   3.5e-27   93.7   0.0   495   567   780   854   773   857 0.95 | transcript=PVPAM_110012900_t1 | gene=PVPAM_110012900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:299936-303166(-) | protein_length=1076 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721227.1         -           1076 2366at5820           -            702  2.7e-293  973.3  56.8   8   9   1.2e-28   7.6e-25   85.9   0.1   565   648   888   992   885  1001 0.85 | transcript=PVPAM_110012900_t1 | gene=PVPAM_110012900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:299936-303166(-) | protein_length=1076 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721227.1         -           1076 2366at5820           -            702  2.7e-293  973.3  56.8   9   9   5.6e-19   3.6e-15   54.0   0.0   652   702  1019  1072  1002  1072 0.91 | transcript=PVPAM_110012900_t1 | gene=PVPAM_110012900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:299936-303166(-) | protein_length=1076 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2366at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2366at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2366at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:22 2026
# [ok]
