#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722954.1         -            972 1986at5820           -            897         0 1991.7  39.2   1   1         0         0 1983.0  39.2     1   897    11   972    11   972 0.97 | transcript=PVPAM_130046000_t1 | gene=PVPAM_130046000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=CASCJQ010000013:1768405-1771500(-) | protein_length=972 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721305.1         -            944 1986at5820           -            897   5.7e-74  248.0   9.1   1   3         8   6.5e+03  -13.7  16.5    28   131    13   114     2   123 0.53 | transcript=PVPAM_110020800_t1 | gene=PVPAM_110020800 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=CASCJQ010000011:671628-674462(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721305.1         -            944 1986at5820           -            897   5.7e-74  248.0   9.1   2   3   2.2e-19   1.7e-16   57.8   0.3   190   399   142   353   123   373 0.82 | transcript=PVPAM_110020800_t1 | gene=PVPAM_110020800 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=CASCJQ010000011:671628-674462(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721305.1         -            944 1986at5820           -            897   5.7e-74  248.0   9.1   3   3   3.6e-63   2.9e-60  202.7   3.3   421   778   421   758   388   778 0.84 | transcript=PVPAM_110020800_t1 | gene=PVPAM_110020800 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=CASCJQ010000011:671628-674462(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722762.1         -            758 1986at5820           -            897     1e-70  237.3   4.2   1   2   6.1e-65   4.9e-62  208.5   0.6   263   665   162   582   150   589 0.82 | transcript=PVPAM_130026300_t1 | gene=PVPAM_130026300 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=CASCJQ010000013:971149-973889(+) | protein_length=758 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722762.1         -            758 1986at5820           -            897     1e-70  237.3   4.2   2   2   2.4e-10   1.9e-07   27.9   0.2   693   777   588   673   580   694 0.82 | transcript=PVPAM_130026300_t1 | gene=PVPAM_130026300 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=CASCJQ010000013:971149-973889(+) | protein_length=758 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723338.1         -            955 1986at5820           -            897   2.5e-69  232.7  12.5   1   3     6e-11   4.8e-08   29.9   4.0   249   448   252   461   222   465 0.79 | transcript=PVPAM_140025700_t1 | gene=PVPAM_140025700 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=CASCJQ010000014:900877-903744(+) | protein_length=955 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723338.1         -            955 1986at5820           -            897   2.5e-69  232.7  12.5   2   3   7.1e-64   5.8e-61  205.0   0.1   429   657   474   701   459   710 0.91 | transcript=PVPAM_140025700_t1 | gene=PVPAM_140025700 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=CASCJQ010000014:900877-903744(+) | protein_length=955 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723338.1         -            955 1986at5820           -            897   2.5e-69  232.7  12.5   3   3     0.012       9.6    2.4   0.1   692   774   774   851   757   861 0.78 | transcript=PVPAM_140025700_t1 | gene=PVPAM_140025700 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=CASCJQ010000014:900877-903744(+) | protein_length=955 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717675.1         -            832 1986at5820           -            897   3.2e-68  229.0   0.3   1   2      0.54   4.4e+02   -3.1   0.1   823   872   136   189    93   194 0.68 | transcript=PVPAM_010018500_t1 | gene=PVPAM_010018500 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=CASCJQ010000001:655820-658318(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717675.1         -            832 1986at5820           -            897   3.2e-68  229.0   0.3   2   2   3.9e-71   3.2e-68  229.0   0.3   284   784   227   720   199   742 0.79 | transcript=PVPAM_010018500_t1 | gene=PVPAM_010018500 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=CASCJQ010000001:655820-658318(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
