#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721264.1         -           1000 1945at5820           -            869         0 1663.1  57.3   1   2  9.2e-104    2e-100  335.9  29.2     1   207     3   234     3   244 0.92 | transcript=PVPAM_110016600_t1 | gene=PVPAM_110016600 | organism=Plasmodium_vivax_PAM | gene_product=exosome complex exonuclease RRP44, putative | transcript_product=exosome complex exonuclease RRP44, putative | location=CASCJQ010000011:492234-495236(-) | protein_length=1000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721264.1         -           1000 1945at5820           -            869         0 1663.1  57.3   2   2         0         0 1332.7  20.1   201   869   253  1000   246  1000 0.97 | transcript=PVPAM_110016600_t1 | gene=PVPAM_110016600 | organism=Plasmodium_vivax_PAM | gene_product=exosome complex exonuclease RRP44, putative | transcript_product=exosome complex exonuclease RRP44, putative | location=CASCJQ010000011:492234-495236(-) | protein_length=1000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721477.1         -           2707 1945at5820           -            869   8.8e-41  138.6  37.5   1   3   9.7e-18   2.1e-14   51.3  10.0   204   443  1450  1735  1435  1761 0.76 | transcript=PVPAM_110038200_t1 | gene=PVPAM_110038200 | organism=Plasmodium_vivax_PAM | gene_product=ribonuclease, putative | transcript_product=ribonuclease, putative | location=CASCJQ010000011:1395628-1405203(+) | protein_length=2707 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721477.1         -           2707 1945at5820           -            869   8.8e-41  138.6  37.5   2   3   1.6e-19   3.4e-16   57.2   0.9   443   540  2052  2151  2016  2170 0.88 | transcript=PVPAM_110038200_t1 | gene=PVPAM_110038200 | organism=Plasmodium_vivax_PAM | gene_product=ribonuclease, putative | transcript_product=ribonuclease, putative | location=CASCJQ010000011:1395628-1405203(+) | protein_length=2707 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721477.1         -           2707 1945at5820           -            869   8.8e-41  138.6  37.5   3   3     2e-14   4.3e-11   40.3  11.5   599   744  2390  2538  2320  2549 0.71 | transcript=PVPAM_110038200_t1 | gene=PVPAM_110038200 | organism=Plasmodium_vivax_PAM | gene_product=ribonuclease, putative | transcript_product=ribonuclease, putative | location=CASCJQ010000011:1395628-1405203(+) | protein_length=2707 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719500.1         -           1772 1945at5820           -            869   3.3e-31  106.9  21.7   1   4     0.031        66    0.0   0.9   214   302   380   489   353   495 0.51 | transcript=PVPAM_070011400_t1 | gene=PVPAM_070011400 | organism=Plasmodium_vivax_PAM | gene_product=exoribonuclease II, putative | transcript_product=exoribonuclease II, putative | location=CASCJQ010000007:371016-376483(-) | protein_length=1772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719500.1         -           1772 1945at5820           -            869   3.3e-31  106.9  21.7   2   4      0.25   5.4e+02   -3.0   0.0   340   368   601   629   594   646 0.86 | transcript=PVPAM_070011400_t1 | gene=PVPAM_070011400 | organism=Plasmodium_vivax_PAM | gene_product=exoribonuclease II, putative | transcript_product=exoribonuclease II, putative | location=CASCJQ010000007:371016-376483(-) | protein_length=1772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719500.1         -           1772 1945at5820           -            869   3.3e-31  106.9  21.7   3   4   5.9e-25   1.3e-21   75.2   0.1   410   519   745   864   723   936 0.83 | transcript=PVPAM_070011400_t1 | gene=PVPAM_070011400 | organism=Plasmodium_vivax_PAM | gene_product=exoribonuclease II, putative | transcript_product=exoribonuclease II, putative | location=CASCJQ010000007:371016-376483(-) | protein_length=1772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719500.1         -           1772 1945at5820           -            869   3.3e-31  106.9  21.7   4   4   4.6e-14     1e-10   39.1   8.2   588   745  1086  1243  1042  1287 0.68 | transcript=PVPAM_070011400_t1 | gene=PVPAM_070011400 | organism=Plasmodium_vivax_PAM | gene_product=exoribonuclease II, putative | transcript_product=exoribonuclease II, putative | location=CASCJQ010000007:371016-376483(-) | protein_length=1772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1945at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1945at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1945at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:26 2026
# [ok]
