#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721459.1         -           1287 2168at5820           -            946         0 1725.9 128.5   1   5  1.2e-146  2.5e-143  477.7  30.5     1   233     1   234     1   242 0.98 | transcript=PVPAM_110036400_t1 | gene=PVPAM_110036400 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=CASCJQ010000011:1321187-1325970(-) | protein_length=1287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721459.1         -           1287 2168at5820           -            946         0 1725.9 128.5   2   5     7e-69   1.5e-65  220.3  11.7   232   362   339   481   335   488 0.93 | transcript=PVPAM_110036400_t1 | gene=PVPAM_110036400 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=CASCJQ010000011:1321187-1325970(-) | protein_length=1287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721459.1         -           1287 2168at5820           -            946         0 1725.9 128.5   3   5  7.5e-111  1.6e-107  359.2  17.5   363   552   538   727   522   731 0.94 | transcript=PVPAM_110036400_t1 | gene=PVPAM_110036400 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=CASCJQ010000011:1321187-1325970(-) | protein_length=1287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721459.1         -           1287 2168at5820           -            946         0 1725.9 128.5   4   5     5e-91   1.1e-87  293.6   8.1   549   707   771   936   766   957 0.94 | transcript=PVPAM_110036400_t1 | gene=PVPAM_110036400 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=CASCJQ010000011:1321187-1325970(-) | protein_length=1287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721459.1         -           1287 2168at5820           -            946         0 1725.9 128.5   5   5  3.5e-121  7.5e-118  393.4  28.8   705   946  1010  1287  1002  1287 0.90 | transcript=PVPAM_110036400_t1 | gene=PVPAM_110036400 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=CASCJQ010000011:1321187-1325970(-) | protein_length=1287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722329.1         -           1038 2168at5820           -            946   8.8e-31  105.3  45.5   1   4   6.7e-27   1.4e-23   81.4   9.3     9   178     5   169     1   182 0.93 | transcript=PVPAM_120056600_t1 | gene=PVPAM_120056600 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=CASCJQ010000012:2092170-2095721(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722329.1         -           1038 2168at5820           -            946   8.8e-31  105.3  45.5   2   4   9.3e-12     2e-08   31.3  12.6   370   540   321   487   304   537 0.79 | transcript=PVPAM_120056600_t1 | gene=PVPAM_120056600 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=CASCJQ010000012:2092170-2095721(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722329.1         -           1038 2168at5820           -            946   8.8e-31  105.3  45.5   3   4      0.05   1.1e+02   -0.9   2.3   341   434   553   646   547   651 0.66 | transcript=PVPAM_120056600_t1 | gene=PVPAM_120056600 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=CASCJQ010000012:2092170-2095721(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722329.1         -           1038 2168at5820           -            946   8.8e-31  105.3  45.5   4   4   2.8e-05     0.061    9.8   1.4   613   683   637   707   620   727 0.83 | transcript=PVPAM_120056600_t1 | gene=PVPAM_120056600 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=CASCJQ010000012:2092170-2095721(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719480.1         -           1319 2168at5820           -            946   9.7e-21   72.0  33.1   1   4   3.2e-17   6.9e-14   49.3  14.4    13   214    20   212    13   222 0.84 | transcript=PVPAM_070009400_t1 | gene=PVPAM_070009400 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=CASCJQ010000007:246961-251977(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719480.1         -           1319 2168at5820           -            946   9.7e-21   72.0  33.1   2   4   7.6e-14   1.6e-10   38.2  10.7   330   524   243   434   218   456 0.80 | transcript=PVPAM_070009400_t1 | gene=PVPAM_070009400 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=CASCJQ010000007:246961-251977(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
