#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720711.1         -            584 6639at5820           -            446  7.7e-218  722.4  26.3   1   3     4e-70   5.2e-67  225.3   8.9     1   138    23   169    23   182 0.92 | transcript=PVPAM_090047600_t1 | gene=PVPAM_090047600 | organism=Plasmodium_vivax_PAM | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=CASCJQ010000009:1926734-1928488(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720711.1         -            584 6639at5820           -            446  7.7e-218  722.4  26.3   2   3   1.6e-27   2.1e-24   84.8   0.0   139   190   206   257   199   263 0.95 | transcript=PVPAM_090047600_t1 | gene=PVPAM_090047600 | organism=Plasmodium_vivax_PAM | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=CASCJQ010000009:1926734-1928488(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720711.1         -            584 6639at5820           -            446  7.7e-218  722.4  26.3   3   3    5e-129  6.5e-126  419.4   6.4   188   446   293   583   288   583 0.93 | transcript=PVPAM_090047600_t1 | gene=PVPAM_090047600 | organism=Plasmodium_vivax_PAM | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=CASCJQ010000009:1926734-1928488(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720005.1         -            188 6639at5820           -            446   2.6e-06   25.2   1.8   1   2   5.7e-09   7.4e-06   23.7   1.0     9    89    46   125    41   141 0.86 | transcript=PVPAM_080022700_t1 | gene=PVPAM_080022700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000008:822474-824204(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720005.1         -            188 6639at5820           -            446   2.6e-06   25.2   1.8   2   2      0.03        38    1.5   0.1    22    61   125   163   120   179 0.67 | transcript=PVPAM_080022700_t1 | gene=PVPAM_080022700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000008:822474-824204(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 6639at5820           -            446   0.00051   17.6   5.1   1   2   0.00033      0.43    8.0   0.7    12    91  1056  1133  1046  1141 0.81 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 6639at5820           -            446   0.00051   17.6   5.1   2   2   3.5e-05     0.046   11.2   0.3    17    66  1169  1218  1157  1231 0.76 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722131.1         -            641 6639at5820           -            446   0.00084   16.9   0.0   1   3   6.5e-07   0.00084   16.9   0.0    16    86    26    96    13   100 0.83 | transcript=PVPAM_120036900_t1 | gene=PVPAM_120036900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=CASCJQ010000012:1252674-1255416(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722131.1         -            641 6639at5820           -            446   0.00084   16.9   0.0   2   3     0.088   1.1e+02   -0.0   0.2    33    97   142   207   139   243 0.68 | transcript=PVPAM_120036900_t1 | gene=PVPAM_120036900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=CASCJQ010000012:1252674-1255416(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722131.1         -            641 6639at5820           -            446   0.00084   16.9   0.0   3   3         2   2.5e+03   -4.4   0.5   131   150   381   400   375   416 0.51 | transcript=PVPAM_120036900_t1 | gene=PVPAM_120036900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=CASCJQ010000012:1252674-1255416(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718773.1         -            185 6639at5820           -            446   0.00098   16.7   7.9   1   2   1.1e-06    0.0014   16.2   4.7     4    80    15    90    12    99 0.78 | transcript=PVPAM_050016700_t1 | gene=PVPAM_050016700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000005:539579-541022(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
