#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723290.1         -           1066 2273at5820           -            873         0 1677.7  32.0   1   2  4.8e-180  2.6e-177  590.3   0.0     1   330     7   393     7   401 0.98 | transcript=PVPAM_140020900_t1 | gene=PVPAM_140020900 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000014:701480-704680(+) | protein_length=1066 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723290.1         -           1066 2273at5820           -            873         0 1677.7  32.0   2   2         0         0 1081.1  29.1   324   873   447  1066   435  1066 0.92 | transcript=PVPAM_140020900_t1 | gene=PVPAM_140020900 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000014:701480-704680(+) | protein_length=1066 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718754.1         -           1164 2273at5820           -            873   3.5e-30  103.5   2.9   1   2   3.4e-28   1.8e-25   87.9   0.2   117   257   567   707   523   728 0.79 | transcript=PVPAM_050014800_t1 | gene=PVPAM_050014800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000005:449467-452961(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718754.1         -           1164 2273at5820           -            873   3.5e-30  103.5   2.9   2   2   2.2e-06    0.0012   15.7   0.3   334   459   743   871   716   880 0.81 | transcript=PVPAM_050014800_t1 | gene=PVPAM_050014800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000005:449467-452961(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720970.1         -           1376 2273at5820           -            873   5.9e-22   76.3   4.1   1   2   3.3e-24   1.8e-21   74.7   2.3   135   257   761   885   743  1078 0.75 | transcript=PVPAM_100023800_t1 | gene=PVPAM_100023800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2 | transcript_product=translation initiation factor IF-2 | location=CASCJQ010000010:834489-838619(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720970.1         -           1376 2273at5820           -            873   5.9e-22   76.3   4.1   2   2      0.12        64    0.1   0.0   766   799  1192  1225  1182  1275 0.81 | transcript=PVPAM_100023800_t1 | gene=PVPAM_100023800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2 | transcript_product=translation initiation factor IF-2 | location=CASCJQ010000010:834489-838619(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721562.1         -           1016 2273at5820           -            873   2.7e-16   57.6   1.6   1   3      0.35   1.9e+02   -1.5   3.3   525   590   204   273   202   353 0.65 | transcript=PVPAM_110046700_t1 | gene=PVPAM_110046700 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000011:1732633-1735683(-) | protein_length=1016 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721562.1         -           1016 2273at5820           -            873   2.7e-16   57.6   1.6   2   3   3.1e-17   1.7e-14   51.6   0.2   138   255   427   562   400   692 0.76 | transcript=PVPAM_110046700_t1 | gene=PVPAM_110046700 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000011:1732633-1735683(-) | protein_length=1016 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721562.1         -           1016 2273at5820           -            873   2.7e-16   57.6   1.6   3   3   5.4e-06    0.0029   14.4   0.1   778   851   800   876   789   880 0.91 | transcript=PVPAM_110046700_t1 | gene=PVPAM_110046700 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000011:1732633-1735683(-) | protein_length=1016 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721609.1         -            920 2273at5820           -            873   9.2e-08   29.3   7.2   1   1   3.8e-10     2e-07   28.2   7.2    96   343    77   340    37   363 0.68 | transcript=PVPAM_110051300_t1 | gene=PVPAM_110051300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000011:1932145-1935382(+) | protein_length=920 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722048.1         -            456 2273at5820           -            873   5.8e-05   20.1   0.1   1   1   2.1e-07   0.00011   19.1   0.0   135   266    65   213    50   234 0.73 | transcript=PVPAM_120028600_t1 | gene=PVPAM_120028600 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:912230-913600(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719557.1         -            910 2273at5820           -            873   6.3e-05   19.9   2.3   1   2   1.6e-07   8.4e-05   19.5   0.7   158   268   219   332   196   358 0.81 | transcript=PVPAM_070017100_t1 | gene=PVPAM_070017100 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000007:614121-616853(+) | protein_length=910 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719557.1         -            910 2273at5820           -            873   6.3e-05   19.9   2.3   2   2      0.22   1.2e+02   -0.8   0.1   347   383   364   400   332   417 0.78 | transcript=PVPAM_070017100_t1 | gene=PVPAM_070017100 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000007:614121-616853(+) | protein_length=910 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 2273at5820           -            873    0.0003   17.7   0.4   1   2   5.7e-07    0.0003   17.7   0.4   156   268    56   168    32   185 0.84 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 2273at5820           -            873    0.0003   17.7   0.4   2   2       2.2   1.2e+03   -4.1   0.2   606   627   931   952   905   969 0.47 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721286.1         -            443 2273at5820           -            873    0.0042   13.9   0.0   1   1   1.1e-05    0.0061   13.4   0.0   165   270    61   173    42   210 0.74 | transcript=PVPAM_110018800_t1 | gene=PVPAM_110018800 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:582675-584006(-) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721287.1         -            443 2273at5820           -            873    0.0042   13.9   0.0   1   1   1.1e-05    0.0061   13.4   0.0   165   270    61   173    42   210 0.74 | transcript=PVPAM_110018900_t1 | gene=PVPAM_110018900 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:585419-586750(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720517.1         -            547 2273at5820           -            873    0.0045   13.8   0.0   1   1   1.3e-05    0.0068   13.2   0.0   175   302   175   308   156   320 0.70 | transcript=PVPAM_090028200_t1 | gene=PVPAM_090028200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=CASCJQ010000009:1083019-1084861(+) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 2273at5820           -            873     0.018   11.8   0.0   1   1   5.2e-05     0.028   11.2   0.0   188   270   119   201   113   209 0.85 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2273at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2273at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2273at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:04 2026
# [ok]
