#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719609.1         -            340 9867at5820           -            284  2.7e-172  570.0  32.2   1   2         1   2.5e+02   -0.8   0.1     1    14     1    14     1    26 0.75 | transcript=PVPAM_070022300_t1 | gene=PVPAM_070022300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=CASCJQ010000007:784356-785378(-) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719609.1         -            340 9867at5820           -            284  2.7e-172  570.0  32.2   2   2  3.4e-173  8.2e-171  565.2  28.9     7   284    33   340    25   340 0.95 | transcript=PVPAM_070022300_t1 | gene=PVPAM_070022300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=CASCJQ010000007:784356-785378(-) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 9867at5820           -            284   2.6e-20   71.3   6.2   1   3     5e-11   1.2e-08   33.0   0.1    56   201    11   161     4   185 0.84 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 9867at5820           -            284   2.6e-20   71.3   6.2   2   3     0.002      0.48    8.1   0.1    60   117   192   247   167   264 0.65 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 9867at5820           -            284   2.6e-20   71.3   6.2   3   3     1e-10   2.5e-08   32.0   0.3   140   252   445   557   428   583 0.79 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 9867at5820           -            284   5.5e-18   63.7   1.1   1   1   3.7e-20   8.9e-18   63.0   1.1    49   246   106   304    94   344 0.87 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 9867at5820           -            284   1.2e-15   56.0   0.2   1   2   4.4e-12     1e-09   36.5   0.2    58   202    85   246    71   329 0.72 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 9867at5820           -            284   1.2e-15   56.0   0.2   2   2   4.6e-06    0.0011   16.7   0.0    55   131   366   445   358   463 0.82 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 9867at5820           -            284     9e-12   43.3  21.5   1   2   4.4e-09   1.1e-06   26.6   7.8    50   203    74   243    59   302 0.71 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 9867at5820           -            284     9e-12   43.3  21.5   2   2     2e-07   4.8e-05   21.2   0.0    43   131   380   471   374   501 0.81 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 9867at5820           -            284   1.8e-11   42.3   0.0   1   2    0.0064       1.5    6.4   0.0   144   202     7    65     2   110 0.82 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
