#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723308.1         -           2511 644at5820            -           1421         0 2371.0 248.1   1   9  5.6e-135  3.6e-131  437.5  31.4     2   253   106   363   105   370 0.98 | transcript=PVPAM_140022700_t1 | gene=PVPAM_140022700 | organism=Plasmodium_vivax_PAM | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=CASCJQ010000014:792328-799863(+) | protein_length=2511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723308.1         -           2511 644at5820            -           1421         0 2371.0 248.1   2   9   1.4e-18   9.3e-15   51.7   1.2   250   303   490   550   466   558 0.83 | transcript=PVPAM_140022700_t1 | gene=PVPAM_140022700 | organism=Plasmodium_vivax_PAM | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=CASCJQ010000014:792328-799863(+) | protein_length=2511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723308.1         -           2511 644at5820            -           1421         0 2371.0 248.1   3   9   1.3e-55   8.2e-52  174.5  14.8   307   403   606   702   599   709 0.96 | transcript=PVPAM_140022700_t1 | gene=PVPAM_140022700 | organism=Plasmodium_vivax_PAM | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=CASCJQ010000014:792328-799863(+) | protein_length=2511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723308.1         -           2511 644at5820            -           1421         0 2371.0 248.1   4   9   4.3e-87   2.7e-83  278.8  31.4   400   567   747   914   743   920 0.97 | transcript=PVPAM_140022700_t1 | gene=PVPAM_140022700 | organism=Plasmodium_vivax_PAM | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=CASCJQ010000014:792328-799863(+) | protein_length=2511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723308.1         -           2511 644at5820            -           1421         0 2371.0 248.1   5   9   8.2e-50   5.3e-46  155.3  14.1   562   651   971  1061   952  1067 0.94 | transcript=PVPAM_140022700_t1 | gene=PVPAM_140022700 | organism=Plasmodium_vivax_PAM | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=CASCJQ010000014:792328-799863(+) | protein_length=2511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723308.1         -           2511 644at5820            -           1421         0 2371.0 248.1   6   9   2.7e-32   1.8e-28   97.2   9.7   649   735  1171  1272  1161  1279 0.90 | transcript=PVPAM_140022700_t1 | gene=PVPAM_140022700 | organism=Plasmodium_vivax_PAM | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=CASCJQ010000014:792328-799863(+) | protein_length=2511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723308.1         -           2511 644at5820            -           1421         0 2371.0 248.1   7   9  1.1e-204  6.8e-201  668.5  59.6   720  1080  1319  1681  1303  1688 0.94 | transcript=PVPAM_140022700_t1 | gene=PVPAM_140022700 | organism=Plasmodium_vivax_PAM | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=CASCJQ010000014:792328-799863(+) | protein_length=2511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723308.1         -           2511 644at5820            -           1421         0 2371.0 248.1   8   9   3.9e-64   2.5e-60  202.7   4.8  1077  1198  1877  2016  1868  2022 0.92 | transcript=PVPAM_140022700_t1 | gene=PVPAM_140022700 | organism=Plasmodium_vivax_PAM | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=CASCJQ010000014:792328-799863(+) | protein_length=2511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723308.1         -           2511 644at5820            -           1421         0 2371.0 248.1   9   9  1.6e-109    1e-105  353.2  18.0  1214  1421  2280  2501  2271  2501 0.96 | transcript=PVPAM_140022700_t1 | gene=PVPAM_140022700 | organism=Plasmodium_vivax_PAM | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=CASCJQ010000014:792328-799863(+) | protein_length=2511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/644at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/644at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/644at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:32 2026
# [ok]
