#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719704.1         -            950 2786at5820           -            668         0 1172.0  49.1   1   4   2.7e-91   3.5e-88  295.4   3.3     1   187   129   326   129   336 0.96 | transcript=PVPAM_070031800_t1 | gene=PVPAM_070031800 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1163727-1169753(+) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719704.1         -            950 2786at5820           -            668         0 1172.0  49.1   2   4   3.7e-09   4.8e-06   24.0   2.3   174   229   363   423   348   435 0.81 | transcript=PVPAM_070031800_t1 | gene=PVPAM_070031800 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1163727-1169753(+) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719704.1         -            950 2786at5820           -            668         0 1172.0  49.1   3   4   1.4e-27   1.8e-24   84.9   5.4   219   279   438   498   425   503 0.94 | transcript=PVPAM_070031800_t1 | gene=PVPAM_070031800 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1163727-1169753(+) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719704.1         -            950 2786at5820           -            668         0 1172.0  49.1   4   4  1.3e-239  1.7e-236  785.5  15.1   278   668   524   938   511   938 0.95 | transcript=PVPAM_070031800_t1 | gene=PVPAM_070031800 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1163727-1169753(+) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720212.1         -           1622 2786at5820           -            668     2e-09   35.2   0.8   1   1   2.4e-12   3.1e-09   34.6   0.8   414   605  1378  1568  1345  1576 0.68 | transcript=PVPAM_080043400_t1 | gene=PVPAM_080043400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK2, putative | transcript_product=serine/threonine protein kinase ARK2, putative | location=CASCJQ010000008:1697725-1702833(+) | protein_length=1622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720651.1         -            323 2786at5820           -            668   2.5e-06   24.9   0.9   1   2     0.038        50    0.8   0.0   395   416     4    25     2    40 0.85 | transcript=PVPAM_090041500_t1 | gene=PVPAM_090041500 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=CASCJQ010000009:1615302-1617735(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720651.1         -            323 2786at5820           -            668   2.5e-06   24.9   0.9   2   2   1.3e-08   1.7e-05   22.2   0.2   487   562    80   157    75   165 0.82 | transcript=PVPAM_090041500_t1 | gene=PVPAM_090041500 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=CASCJQ010000009:1615302-1617735(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721288.1         -            288 2786at5820           -            668   5.7e-06   23.7   0.0   1   1   6.2e-09     8e-06   23.3   0.0   406   605    10   195     1   202 0.71 | transcript=PVPAM_110019000_t1 | gene=PVPAM_110019000 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=CASCJQ010000011:587643-589375(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719702.1         -           3230 2786at5820           -            668   0.00096   16.4   0.4   1   2   2.2e-06    0.0029   14.8   0.1   515   562  3044  3093  3030  3106 0.83 | transcript=PVPAM_070031600_t1 | gene=PVPAM_070031600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1146503-1156195(-) | protein_length=3230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719702.1         -           3230 2786at5820           -            668   0.00096   16.4   0.4   2   2      0.17   2.2e+02   -1.3   0.0   623   656  3185  3218  3182  3221 0.87 | transcript=PVPAM_070031600_t1 | gene=PVPAM_070031600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1146503-1156195(-) | protein_length=3230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2786at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2786at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2786at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:46 2026
# [ok]
