#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722093.1         -            338 9865at5820           -            291    3e-159  527.5  25.0   1   1    7e-162  7.5e-159  526.2  25.0     1   291    12   334    12   334 0.92 | transcript=PVPAM_120033100_t1 | gene=PVPAM_120033100 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000012:1115843-1117537(-) | protein_length=338 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 9865at5820           -            291   3.2e-05   21.9   5.8   1   3   4.6e-07    0.0005   18.0   0.3    16   128   287   395   273   397 0.79 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 9865at5820           -            291   3.2e-05   21.9   5.8   2   3       0.1   1.1e+02    0.4   0.0   239   255   422   438   401   475 0.71 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 9865at5820           -            291   3.2e-05   21.9   5.8   3   3      0.14   1.6e+02   -0.0   0.1   232   255   503   526   489   538 0.82 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 9865at5820           -            291   0.00027   18.9   0.1   1   7       1.7   1.9e+03   -3.6   0.2   130   183    44    97    38   104 0.68 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 9865at5820           -            291   0.00027   18.9   0.1   2   7     0.071        77    1.0   0.0   232   259   130   157   121   190 0.75 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 9865at5820           -            291   0.00027   18.9   0.1   3   7      0.41   4.5e+02   -1.5   0.0   231   260   171   200   167   206 0.83 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 9865at5820           -            291   0.00027   18.9   0.1   4   7      0.44   4.7e+02   -1.6   0.0   240   261   342   363   335   378 0.75 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 9865at5820           -            291   0.00027   18.9   0.1   5   7      0.11   1.2e+02    0.3   2.8    57   112   408   466   396   471 0.80 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 9865at5820           -            291   0.00027   18.9   0.1   6   7   2.5e-07   0.00027   18.9   0.1   160   255   474   568   466   579 0.75 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 9865at5820           -            291   0.00027   18.9   0.1   7   7    0.0017       1.8    6.3   0.1   228   252   634   659   629   660 0.84 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 9865at5820           -            291    0.0022   15.9   3.7   1   6      0.39   4.2e+02   -1.5   0.0   239   255    37    53    29    61 0.84 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 9865at5820           -            291    0.0022   15.9   3.7   2   6     0.051        55    1.5   0.0   233   260    80   107    66   114 0.82 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 9865at5820           -            291    0.0022   15.9   3.7   3   6     0.027        29    2.4   0.0   189   256   117   190   108   207 0.59 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 9865at5820           -            291    0.0022   15.9   3.7   4   6    0.0017       1.8    6.3   0.1   233   257   209   234   202   269 0.83 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 9865at5820           -            291    0.0022   15.9   3.7   5   6      0.28     3e+02   -1.0   0.0   236   260   252   276   231   281 0.79 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 9865at5820           -            291    0.0022   15.9   3.7   6   6      0.05        53    1.5   0.0   232   256   296   320   291   322 0.84 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720447.1         -            469 9865at5820           -            291     0.012   13.5   5.2   1   3      0.21   2.3e+02   -0.6   0.1   228   247    10    32     4    57 0.70 | transcript=PVPAM_090021200_t1 | gene=PVPAM_090021200 | organism=Plasmodium_vivax_PAM | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=CASCJQ010000009:766466-767875(-) | protein_length=469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720447.1         -            469 9865at5820           -            291     0.012   13.5   5.2   2   3   0.00044      0.48    8.2   0.0   227   254   113   140    83   146 0.71 | transcript=PVPAM_090021200_t1 | gene=PVPAM_090021200 | organism=Plasmodium_vivax_PAM | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=CASCJQ010000009:766466-767875(-) | protein_length=469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720447.1         -            469 9865at5820           -            291     0.012   13.5   5.2   3   3    0.0068       7.3    4.3   2.2   149   253   289   399   231   409 0.74 | transcript=PVPAM_090021200_t1 | gene=PVPAM_090021200 | organism=Plasmodium_vivax_PAM | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=CASCJQ010000009:766466-767875(-) | protein_length=469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 9865at5820           -            291      0.03   12.2   7.7   1   3     9e-06    0.0097   13.8   0.9   216   257   930   971   900   998 0.84 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 9865at5820           -            291      0.03   12.2   7.7   2   3      0.18   1.9e+02   -0.3   0.0   236   255  1125  1144  1118  1155 0.84 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
