#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719592.1         -            159 12619at5820          -            157  2.6e-110  363.4   0.6   1   1  5.9e-113  2.9e-110  363.2   0.6     1   157     1   159     1   159 0.99 | transcript=PVPAM_070020600_t1 | gene=PVPAM_070020600 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-conjugating enzyme UBC9, putative | transcript_product=SUMO-conjugating enzyme UBC9, putative | location=CASCJQ010000007:727735-728625(-) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723432.1         -            164 12619at5820          -            157   2.6e-31  106.7   0.1   1   1   6.1e-34     3e-31  106.5   0.1     3   148     4   143     1   153 0.92 | transcript=PVPAM_140035400_t1 | gene=PVPAM_140035400 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000014:1293037-1293836(+) | protein_length=164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720109.1         -            160 12619at5820          -            157   1.6e-24   84.6   0.0   1   1     4e-27     2e-24   84.3   0.0     3   146     4   141     1   147 0.92 | transcript=PVPAM_080033100_t1 | gene=PVPAM_080033100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000008:1274470-1275087(-) | protein_length=160 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722682.1         -            147 12619at5820          -            157   4.8e-23   79.8   0.2   1   1   1.2e-25     6e-23   79.5   0.2     4   148     2   140     1   146 0.90 | transcript=PVPAM_130018300_t1 | gene=PVPAM_130018300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000013:601598-603216(+) | protein_length=147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719651.1         -            163 12619at5820          -            157   3.1e-22   77.2   0.1   1   1   1.4e-24   6.8e-22   76.1   0.1     3   148     4   158     2   162 0.86 | transcript=PVPAM_070026500_t1 | gene=PVPAM_070026500 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000007:948202-949547(-) | protein_length=163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721294.1         -            202 12619at5820          -            157   1.6e-19   68.4   0.1   1   1     5e-22   2.5e-19   67.8   0.1    34   142    34   143    25   156 0.88 | transcript=PVPAM_110019600_t1 | gene=PVPAM_110019600 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000011:619877-621629(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720861.1         -            152 12619at5820          -            157   3.9e-18   63.9   0.1   1   1   8.9e-21   4.4e-18   63.7   0.1    44   144    37   137     1   146 0.83 | transcript=PVPAM_100012900_t1 | gene=PVPAM_100012900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2 13, putative | transcript_product=ubiquitin-conjugating enzyme E2 13, putative | location=CASCJQ010000010:349551-350631(+) | protein_length=152 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719294.1         -            191 12619at5820          -            157   2.6e-12   45.0   0.0   1   1   6.6e-15   3.3e-12   44.6   0.0    46   156    39   151     6   152 0.84 | transcript=PVPAM_060030100_t1 | gene=PVPAM_060030100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000006:1030787-1032223(-) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723788.1         -            150 12619at5820          -            157   9.1e-12   43.2   0.1   1   1   2.3e-14   1.1e-11   42.9   0.1    60   142    61   142    37   147 0.83 | transcript=PVPAM_140071100_t1 | gene=PVPAM_140071100 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-conjugating enzyme UBC12, putative | transcript_product=NEDD8-conjugating enzyme UBC12, putative | location=CASCJQ010000014:2811631-2812838(+) | protein_length=150 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721569.1         -            152 12619at5820          -            157   4.4e-11   41.0   0.0   1   1   9.5e-14   4.7e-11   40.9   0.0    37   144    29   138     2   151 0.83 | transcript=PVPAM_110047400_t1 | gene=PVPAM_110047400 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2 PEX4, putative | transcript_product=ubiquitin-conjugating enzyme E2 PEX4, putative | location=CASCJQ010000011:1766059-1767359(+) | protein_length=152 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723003.1         -            301 12619at5820          -            157   6.5e-11   40.4   0.3   1   2      0.32   1.6e+02    0.2   0.0    71   144    49   123    18   130 0.67 | transcript=PVPAM_130050900_t1 | gene=PVPAM_130050900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000013:2018252-2020428(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723003.1         -            301 12619at5820          -            157   6.5e-11   40.4   0.3   2   2   7.3e-13   3.6e-10   38.0   0.1    40   120   186   267   157   280 0.89 | transcript=PVPAM_130050900_t1 | gene=PVPAM_130050900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000013:2018252-2020428(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721905.1         -            262 12619at5820          -            157   1.6e-08   32.7   0.1   1   1   5.2e-11   2.6e-08   32.0   0.1    36   121   145   231   118   248 0.87 | transcript=PVPAM_120013900_t1 | gene=PVPAM_120013900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000012:367779-368567(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
