#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721223.1         -            887 3438at5820           -            675         0 1102.3  80.6   1   6   5.6e-13   2.8e-10   37.9   0.0     1    43     1    58     1    61 0.85 | transcript=PVPAM_110012500_t1 | gene=PVPAM_110012500 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=CASCJQ010000011:289044-291920(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721223.1         -            887 3438at5820           -            675         0 1102.3  80.6   2   6   6.5e-52   3.2e-49  166.6   1.4    42   140    87   190    80   196 0.93 | transcript=PVPAM_110012500_t1 | gene=PVPAM_110012500 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=CASCJQ010000011:289044-291920(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721223.1         -            887 3438at5820           -            675         0 1102.3  80.6   3   6   4.2e-81   2.1e-78  263.0  12.0   137   274   214   351   210   359 0.98 | transcript=PVPAM_110012500_t1 | gene=PVPAM_110012500 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=CASCJQ010000011:289044-291920(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721223.1         -            887 3438at5820           -            675         0 1102.3  80.6   4   6   5.4e-22   2.7e-19   67.7   0.3   273   318   372   417   366   433 0.89 | transcript=PVPAM_110012500_t1 | gene=PVPAM_110012500 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=CASCJQ010000011:289044-291920(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721223.1         -            887 3438at5820           -            675         0 1102.3  80.6   5   6   4.7e-66   2.4e-63  213.3   6.4   314   431   451   569   446   573 0.95 | transcript=PVPAM_110012500_t1 | gene=PVPAM_110012500 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=CASCJQ010000011:289044-291920(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721223.1         -            887 3438at5820           -            675         0 1102.3  80.6   6   6    2e-115    1e-112  376.5  29.2   431   675   598   885   595   885 0.92 | transcript=PVPAM_110012500_t1 | gene=PVPAM_110012500 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=CASCJQ010000011:289044-291920(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 3438at5820           -            675   6.2e-18   63.2   4.7   1   2   3.4e-19   1.7e-16   58.4   1.9    67   290   210   434   184   460 0.76 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 3438at5820           -            675   6.2e-18   63.2   4.7   2   2    0.0027       1.3    5.9   0.0   214   263   447   498   430   498 0.76 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 3438at5820           -            675   2.9e-11   41.2   8.0   1   2   4.2e-09   2.1e-06   25.1   4.2    79   265    50   234    31   241 0.75 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 3438at5820           -            675   2.9e-11   41.2   8.0   2   2   1.3e-06   0.00065   16.9   0.1   203   259   262   319   253   322 0.89 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718135.1         -            499 3438at5820           -            675   2.9e-11   41.1   0.6   1   2   5.9e-14   2.9e-11   41.1   0.6   191   265    63   139    45   141 0.89 | transcript=PVPAM_030013100_t1 | gene=PVPAM_030013100 | organism=Plasmodium_vivax_PAM | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=CASCJQ010000003:374669-376168(+) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
