#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719978.1         -            407 7741at5820           -            337  4.6e-215  711.8  30.4   1   1  7.2e-218  1.2e-214  710.5  30.4     1   337     1   407     1   407 0.99 | transcript=PVPAM_080020000_t1 | gene=PVPAM_080020000 | organism=Plasmodium_vivax_PAM | gene_product=flap endonuclease, putative | transcript_product=flap endonuclease, putative | location=CASCJQ010000008:712436-713659(-) | protein_length=407 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718128.1         -            623 7741at5820           -            337     1e-24   86.0   5.4   1   2   6.3e-06      0.01   13.7   0.0     1    45     1    44     1    79 0.90 | transcript=PVPAM_030012400_t1 | gene=PVPAM_030012400 | organism=Plasmodium_vivax_PAM | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=CASCJQ010000003:342440-344311(-) | protein_length=623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718128.1         -            623 7741at5820           -            337     1e-24   86.0   5.4   2   2   1.7e-23   2.8e-20   71.5   3.4   155   307   116   287    96   298 0.77 | transcript=PVPAM_030012400_t1 | gene=PVPAM_030012400 | organism=Plasmodium_vivax_PAM | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=CASCJQ010000003:342440-344311(-) | protein_length=623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718556.1         -           1484 7741at5820           -            337   1.8e-15   55.6   4.9   1   3    0.0027       4.4    5.0   0.5    26    99    21    93     9   131 0.89 | transcript=PVPAM_040030000_t1 | gene=PVPAM_040030000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=CASCJQ010000004:1051281-1055735(+) | protein_length=1484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718556.1         -           1484 7741at5820           -            337   1.8e-15   55.6   4.9   2   3         4   6.5e+03   -7.6   6.8   136   233   508   614   497   644 0.49 | transcript=PVPAM_040030000_t1 | gene=PVPAM_040030000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=CASCJQ010000004:1051281-1055735(+) | protein_length=1484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718556.1         -           1484 7741at5820           -            337   1.8e-15   55.6   4.9   3   3   1.1e-18   1.8e-15   55.6   4.9   165   294  1135  1265  1119  1295 0.87 | transcript=PVPAM_040030000_t1 | gene=PVPAM_040030000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=CASCJQ010000004:1051281-1055735(+) | protein_length=1484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718254.1         -           1247 7741at5820           -            337   1.8e-07   29.3   8.9   1   3    0.0015       2.5    5.9   1.3   132   229   112   214    90   238 0.77 | transcript=PVPAM_030025400_t1 | gene=PVPAM_030025400 | organism=Plasmodium_vivax_PAM | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=CASCJQ010000003:842377-846120(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718254.1         -           1247 7741at5820           -            337   1.8e-07   29.3   8.9   2   3   6.9e-10   1.1e-06   26.7   0.4   244   297   333   391   307   430 0.71 | transcript=PVPAM_030025400_t1 | gene=PVPAM_030025400 | organism=Plasmodium_vivax_PAM | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=CASCJQ010000003:842377-846120(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718254.1         -           1247 7741at5820           -            337   1.8e-07   29.3   8.9   3   3      0.25   4.1e+02   -1.4   0.0   229   255  1192  1218  1178  1221 0.83 | transcript=PVPAM_030025400_t1 | gene=PVPAM_030025400 | organism=Plasmodium_vivax_PAM | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=CASCJQ010000003:842377-846120(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7741at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7741at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7741at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:41 2026
# [ok]
