#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721926.1         -           1529 865at5820            -           1065         0 2059.4  80.1   1   6    0.0031       1.7    4.6   0.0    10    26    25    41     1    50 0.72 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 865at5820            -           1065         0 2059.4  80.1   2   6  8.3e-130  4.5e-127  423.7  26.8    23   275    67   355    64   361 0.90 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 865at5820            -           1065         0 2059.4  80.1   3   6   4.1e-49   2.2e-46  156.5   3.1   276   370   406   500   388   516 0.90 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 865at5820            -           1065         0 2059.4  80.1   4   6  4.1e-111  2.2e-108  361.8   1.2   363   547   661   850   650   856 0.95 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 865at5820            -           1065         0 2059.4  80.1   5   6  1.4e-142  7.6e-140  466.0   6.2   540   758   935  1152   921  1156 0.94 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 865at5820            -           1065         0 2059.4  80.1   6   6  1.2e-203  6.3e-201  668.2   8.5   758  1065  1213  1526  1197  1526 0.97 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 865at5820            -           1065     2e-82  275.9  24.0   1   6   3.7e-08     2e-05   20.9   0.0   411   459   232   281   205   287 0.82 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 865at5820            -           1065     2e-82  275.9  24.0   2   6   2.2e-16   1.2e-13   48.2   0.3   476   547   370   441   360   455 0.93 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 865at5820            -           1065     2e-82  275.9  24.0   3   6   7.5e-20   4.1e-17   59.6   0.0   544   627   940  1024   906  1045 0.83 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 865at5820            -           1065     2e-82  275.9  24.0   4   6   1.8e-18   9.6e-16   55.1   1.2   657   760  1092  1192  1082  1229 0.89 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 865at5820            -           1065     2e-82  275.9  24.0   5   6   3.3e-08   1.8e-05   21.1   1.6   853   933  1405  1486  1391  1488 0.90 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
